period,Scenario,trade
2045,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,3.53146
2045,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,3.46382
2045,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,3.58626
2045,Trade Emission cut 90% Vestas V164 7000 Fixed,3.35171
2045,Trade Emission cut 90% Vestas V164 7000 Single-Axis,3.59179
2045,Trade Emission cut 90% Vestas V90 2000 Fixed,3.52063
2045,Trade Emission cut 90% Vestas V90 2000 Single-Axis,3.39674
2045,Trade Emission cut 90% Vestas V90 3000 Fixed,3.5107
2045,Trade Emission cut 90% Vestas V90 3000 Single-Axis,3.41314
2045,Trade Enercon E101 3000 Fixed,3.93316
2045,Trade Enercon E101 3000 Single-Axis,3.52804
2045,Trade Enercon E126 7000 Fixed,4.17288
2045,Trade Enercon E126 7000 Single-Axis,4.31056
2045,Trade GE 1.5sle Fixed,3.63859
2045,Trade GE 1.5sle Single-Axis,3.73239
2045,Trade GE 2.5xl Fixed,3.54872
2045,Trade GE 2.5xl Single-Axis,3.46346
2045,Trade Gamesa G80 2000 Fixed,4.17644
2045,Trade Gamesa G80 2000 Single-Axis,4.35663
2045,Trade Siemens SWT 2.3 93 Fixed,3.7165
2045,Trade Siemens SWT 2.3 93 Single-Axis,3.7353
2045,Trade Siemens SWT 3.6 107 Fixed,3.70722
2045,Trade Siemens SWT 3.6 107 Single-Axis,4.02937
2045,Trade Vestas V164 7000 Fixed,3.71906
2045,Trade Vestas V164 7000 Single-Axis,3.79793
2045,Trade Vestas V90 2000 Fixed,3.60541
2045,Trade Vestas V90 2000 Single-Axis,3.50085
2045,Trade Vestas V90 3000 Fixed,4.36339
2045,Trade Vestas V90 3000 Single-Axis,4.43121
2045,Vestas V90 2000 Single-Axis,18.83599
2050,Emission cut 90% Vestas V90 2000 Single-Axis,127.04313
2050,Trade Emission cut 90% Enercon E101 3000 Fixed,3.68538
2050,Trade Emission cut 90% Enercon E101 3000 Single-Axis,3.98158
2050,Trade Emission cut 90% Enercon E126 7000 Fixed,3.52706
2050,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.73904
2050,Trade Emission cut 90% GE 1.5sle Fixed,3.33175
2050,Trade Emission cut 90% GE 1.5sle Single-Axis,3.6564
