period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2020,0.0,84.76,11.78,51.3,14.58,160.7,0.35,542.07,32.83,14.39,-0.41,27.62,trd_cut90_enercon3_1axis,187.06,702.02,42.01,889.08,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,65.46,11.85,43.27,0.0,163.45,0.35,639.64,32.83,119.85,-0.62,178.99,trd_cut90_enercon3_1axis,175.3,1037.14,298.85,1212.44,0.53,0.13,0.1,0.15,0.86,0.25,0.14
2040,0.0,54.93,0.0,48.24,0.0,118.23,2.1,766.75,32.83,259.83,-0.6,379.17,trd_cut90_enercon3_1axis,118.23,1495.62,639.01,1613.85,0.48,0.07,0.16,0.23,0.93,0.4,0.07
2050,-29.34,29.97,0.0,177.16,0.02,24.22,2.1,789.02,32.83,399.03,-0.8,881.58,trd_cut90_enercon3_1axis,24.23,2134.52,1280.61,2158.76,0.37,0.01,0.18,0.41,0.99,0.59,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.48,32.83,14.35,-0.46,27.3,trd_cut90_vestas2_fixed,187.06,702.06,41.65,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,69.47,10.95,41.87,0.0,164.74,0.35,633.76,32.83,21.83,-0.58,278.47,trd_cut90_vestas2_fixed,175.69,1036.71,300.3,1212.4,0.52,0.14,0.02,0.23,0.86,0.25,0.14
2040,0.0,61.27,0.0,44.74,0.0,118.33,2.1,768.9,32.83,72.38,-0.54,557.98,trd_cut90_vestas2_fixed,118.33,1495.46,630.36,1613.8,0.48,0.07,0.04,0.35,0.93,0.39,0.07
2050,-11.73,28.54,0.0,184.31,0.02,24.22,2.1,794.18,32.83,277.9,-0.7,995.53,trd_cut90_vestas2_fixed,24.24,2131.07,1273.43,2155.31,0.37,0.01,0.13,0.46,0.99,0.59,0.01
2020,0.0,84.76,11.78,51.3,14.58,160.7,0.35,542.06,32.83,14.39,-0.41,27.62,trd_cut90_vestas7_fixed,187.06,702.02,42.01,889.07,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,74.46,11.42,41.65,0.0,166.2,0.35,641.36,32.83,76.83,-0.6,208.96,trd_cut90_vestas7_fixed,177.62,1034.79,285.79,1212.41,0.53,0.14,0.06,0.17,0.85,0.24,0.15
2040,-0.06,58.67,0.0,44.64,0.0,118.89,2.1,779.29,32.83,187.62,-0.55,434.41,trd_cut90_vestas7_fixed,118.89,1494.92,622.03,1613.81,0.48,0.07,0.12,0.27,0.93,0.39,0.07
2050,-19.75,50.2,0.0,185.6,0.02,24.22,2.1,804.76,82.19,315.84,-0.6,877.05,trd_cut90_vestas7_fixed,24.24,2132.14,1192.89,2156.38,0.37,0.01,0.15,0.41,0.99,0.55,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.29,32.83,14.37,-0.46,27.47,trd_cut90_vestas3_fixed,187.06,702.06,41.84,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,73.14,12.56,43.15,0.0,165.81,2.1,643.21,32.83,141.3,-0.6,141.46,trd_cut90_vestas3_fixed,178.37,1034.04,282.76,1212.41,0.53,0.14,0.12,0.12,0.85,0.23,0.15
2040,0.0,57.11,0.0,45.75,0.0,119.63,2.1,783.45,32.83,253.44,-0.57,365.26,trd_cut90_vestas3_fixed,119.63,1494.2,618.7,1613.83,0.49,0.07,0.16,0.23,0.93,0.38,0.07
