,type,period,load_zone,trade,Scenario,multiplier,trade_1
136,import,2050,Brazil,1.19467,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,1.19467
137,import,2050,Chile,0.00583,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,0.00583
138,import,2050,Paraguay,0.00451,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,0.00451
139,import,2050,Uruguay,2.02387,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,2.02387
140,export,2020,Argentina,0.385,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.385
141,export,2020,Brazil,0.6515,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.6515
142,export,2020,Chile,0.0,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.0
143,export,2020,Paraguay,0.00861,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00861
144,export,2020,Uruguay,1.59467,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.59467
145,export,2025,Argentina,1.11122,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.11122
146,export,2025,Brazil,1.6735,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.6735
147,export,2025,Chile,0.00192,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00192
148,export,2025,Paraguay,0.00785,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00785
149,export,2025,Uruguay,0.24755,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.24755
150,export,2030,Argentina,1.11589,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.11589
151,export,2030,Brazil,2.07577,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-2.07577
152,export,2030,Chile,0.00273,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00273
153,export,2030,Paraguay,0.00775,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00775
154,export,2030,Uruguay,0.33609,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.33609
155,export,2035,Argentina,1.36732,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.36732
156,export,2035,Brazil,2.32173,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-2.32173
157,export,2035,Chile,0.00256,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00256
158,export,2035,Paraguay,0.00753,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00753
159,export,2035,Uruguay,0.36373,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.36373
160,export,2040,Argentina,1.51818,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.51818
161,export,2040,Brazil,2.16028,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-2.16028
162,export,2040,Chile,0.00235,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00235
163,export,2040,Paraguay,0.00685,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.00685
164,export,2040,Uruguay,0.18911,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-0.18911
165,export,2045,Argentina,1.50781,Trade Emission cut 90% Vestas V90 3000 Single-Axis,-1,-1.50781
