,lz_from,lz_to,period,transmission_flow_mw,transmission_losses_lz_from,transmission_losses_lz_to,tx_flow_twh,tx_loss_from_twh,tx_loss_to_twh,net_flow_twh,scenario
25,Argentina,Uruguay,2040,23252.63274988716,925.3541438999192,2421.760272642588,0.7160507110433736,0.028013394458181167,0.07409122567600042,0.6699728798255548,trd_cut90_vestas2_1axis
26,Argentina,Uruguay,2045,22105.15749015437,1208.6649522928642,2552.8386545524536,0.6705214054160545,0.0370574990811826,0.07778389786061238,0.6297950066366252,trd_cut90_vestas2_1axis
27,Argentina,Uruguay,2050,32784.139321749775,1044.6288018285438,3220.642857742276,0.990053906908215,0.032023132856684934,0.097773031805719,0.9243040079591796,trd_cut90_vestas2_1axis
28,Brazil,Paraguay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
29,Brazil,Paraguay,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
30,Brazil,Paraguay,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
31,Brazil,Paraguay,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
32,Brazil,Paraguay,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
33,Brazil,Paraguay,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
34,Brazil,Paraguay,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trd_cut90_vestas2_1axis
35,Brazil,Uruguay,2020,-16722.78866391329,4253.802507286014,2113.2855583051205,-0.5105061651437968,0.1300979420160003,0.06475315287759398,-0.4451613760053913,trd_cut90_vestas2_1axis
36,Brazil,Uruguay,2025,53645.7486154096,2427.498873393545,8743.754696165974,1.635205954226826,0.073132204672,0.2659265668130337,1.4424115920857938,trd_cut90_vestas2_1axis
37,Brazil,Uruguay,2030,75960.1230649172,1982.9333954094286,11246.309147718806,2.3055674014366483,0.06018157458094097,0.34150860196483224,2.024240374052757,trd_cut90_vestas2_1axis
38,Brazil,Uruguay,2035,70470.34843350507,2866.89096303948,11139.575562528096,2.1461504945487127,0.0870507442693188,0.33933240757155314,1.893868831246472,trd_cut90_vestas2_1axis
39,Brazil,Uruguay,2040,39789.683187947725,3469.3778138947914,8138.950628087479,1.2168773809388005,0.10600515754831427,0.24910356391295285,1.0737789745741602,trd_cut90_vestas2_1axis
40,Brazil,Uruguay,2045,32379.124218046225,3908.1282400213986,7673.776139931324,0.9988527477647886,0.11866579486063544,0.23493750657452814,0.8825810360508917,trd_cut90_vestas2_1axis
41,Brazil,Uruguay,2050,27112.16909868108,4413.446343664331,7472.627970755394,0.844467177349411,0.13392787334077932,0.22944413447033427,0.7489509162198553,trd_cut90_vestas2_1axis
0,Argentina,Brazil,2020,2160.0,1814.4000000000028,2268.000000000005,0.07073999999999998,0.05454539999999999,0.0694008,0.05588460000000006,trd_cut90_vestas7_1axis
1,Argentina,Brazil,2025,-1530.0,1814.4000000000028,1493.1000000000013,-0.039959999999999954,0.05409179999999993,0.04570020000000002,-0.031568399999999906,trd_cut90_vestas7_1axis
2,Argentina,Brazil,2030,2160.0,1814.4000000000028,2324.7000000000053,0.06696,0.05533920000000002,0.0711018,0.05119740000000001,trd_cut90_vestas7_1axis
