index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_wind_vestas_v90_2mw_100m
114,-45.75,-68.25,p_wind_Argentina_AR312,Argentina,294,0.07,4.679892601,0.6223990209471771
115,-46.25,-68.25,p_wind_Argentina_AR313,Argentina,246,0.09,6.399063933,0.6136498178506368
116,-46.75,-68.25,p_wind_Argentina_AR314,Argentina,375,0.13,5.572694983,0.5816188524590155
117,-47.25,-68.25,p_wind_Argentina_AR315,Argentina,327,0.17,41.05530179,0.5781588114754077
118,-47.75,-68.25,p_wind_Argentina_AR316,Argentina,378,0.2,37.97850137,0.5987647996357044
119,-48.25,-68.25,p_wind_Argentina_AR317,Argentina,573,0.23,17.59755663,0.6119525273224058
120,-48.75,-68.25,p_wind_Argentina_AR318,Argentina,1044,0.26,0.757471377,0.6201067850637509
121,-49.25,-68.25,p_wind_Argentina_AR319,Argentina,1185,0.31,27.36301703,0.6136996812386148
122,-49.75,-68.25,p_wind_Argentina_AR320,Argentina,1170,0.4,36.54010366,0.5944266848816022
123,-53.75,-68.25,p_wind_Argentina_AR321,Argentina,1113,0.08,245.3162647,0.6032662795992696
124,-54.75,-68.25,p_wind_Argentina_AR323,Argentina,258,0.09,352.5840532,0.5367784608378867
125,-37.75,-67.75,p_wind_Argentina_AR351,Argentina,921,0.07,12.18612148,0.4101600637522774
126,-38.25,-67.75,p_wind_Argentina_AR352,Argentina,564,0.09,26.9706968,0.41949852003643057
127,-38.75,-67.75,p_wind_Argentina_AR353,Argentina,627,0.11,26.26897049,0.42961464025501034
128,-39.25,-67.75,p_wind_Argentina_AR354,Argentina,261,0.13,17.84507214,0.4487399817850655
129,-39.75,-67.75,p_wind_Argentina_AR355,Argentina,282,0.14,37.3302924,0.47677880236794
130,-40.25,-67.75,p_wind_Argentina_AR356,Argentina,399,0.14,92.51850503,0.5144042577413487
131,-40.75,-67.75,p_wind_Argentina_AR357,Argentina,297,0.12,146.7471358,0.5425804872495472
132,-41.25,-67.75,p_wind_Argentina_AR358,Argentina,750,0.09,189.1329501,0.5591346766848835
133,-42.25,-67.75,p_wind_Argentina_AR360,Argentina,588,0.06,104.2067148,0.6264543488160288
134,-42.75,-67.75,p_wind_Argentina_AR361,Argentina,243,0.11,50.5775196,0.6174693761384336
135,-43.25,-67.75,p_wind_Argentina_AR362,Argentina,168,0.16,3.296966701,0.5873316256830603
136,-43.75,-67.75,p_wind_Argentina_AR363,Argentina,207,0.18,58.84421082,0.5595710382513678
137,-44.25,-67.75,p_wind_Argentina_AR364,Argentina,249,0.15,94.5117783,0.562746584699454
138,-44.75,-67.75,p_wind_Argentina_AR365,Argentina,693,0.09,56.66412523,0.5903703324225884
139,-45.25,-67.75,p_wind_Argentina_AR366,Argentina,591,0.08,18.33538226,0.620315801457195
140,-45.75,-67.75,p_wind_Argentina_AR367,Argentina,204,0.1,6.320492488,0.6297895036429849
141,-46.25,-67.75,p_wind_Argentina_AR368,Argentina,204,0.14,18.17465573,0.607078324225865
142,-46.75,-67.75,p_wind_Argentina_AR369,Argentina,432,0.17,10.63157289,0.577627049180329
143,-47.25,-67.75,p_wind_Argentina_AR370,Argentina,354,0.2,11.0846718,0.570172017304187
144,-47.75,-67.75,p_wind_Argentina_AR371,Argentina,366,0.22,1.883641432,0.579991461748634
145,-48.25,-67.75,p_wind_Argentina_AR372,Argentina,807,0.25,15.98692548,0.5939319216757737
146,-48.75,-67.75,p_wind_Argentina_AR373,Argentina,1098,0.3,34.81693183,0.6048192167577401
147,-49.25,-67.75,p_wind_Argentina_AR374,Argentina,783,0.37,61.39551739,0.6029162112932592
148,-49.75,-67.75,p_wind_Argentina_AR375,Argentina,621,0.45,68.89717314,0.5943442622950831
149,-53.75,-67.75,p_wind_Argentina_AR376,Argentina,528,0.13,257.8662047,0.6115437158469933
150,-54.75,-67.75,p_wind_Argentina_AR378,Argentina,237,0.13,361.2216945,0.5635974499089247
151,-35.25,-67.25,p_wind_Argentina_AR402,Argentina,393,0.06,51.35792975,0.37121083788706777
152,-35.75,-67.25,p_wind_Argentina_AR403,Argentina,1497,0.06,72.92854449,0.38118806921675963
153,-36.25,-67.25,p_wind_Argentina_AR404,Argentina,1281,0.06,84.2297917,0.3909928278688532
154,-36.75,-67.25,p_wind_Argentina_AR405,Argentina,1140,0.07,103.2590764,0.3968127276867049
155,-37.25,-67.25,p_wind_Argentina_AR406,Argentina,849,0.08,79.19120626,0.4010577185792367
156,-37.75,-67.25,p_wind_Argentina_AR407,Argentina,1059,0.1,36.78373379,0.4105284608378879
157,-38.25,-67.25,p_wind_Argentina_AR408,Argentina,822,0.11,6.64100951,0.4248587204007303
158,-38.75,-67.25,p_wind_Argentina_AR409,Argentina,717,0.12,38.46018485,0.4353045309653913
159,-39.25,-67.25,p_wind_Argentina_AR410,Argentina,750,0.14,22.39971997,0.43857661657559144
160,-39.75,-67.25,p_wind_Argentina_AR411,Argentina,228,0.15,32.81322141,0.44649168943533646
161,-40.25,-67.25,p_wind_Argentina_AR412,Argentina,285,0.14,88.0339897,0.47492486338797907
162,-40.75,-67.25,p_wind_Argentina_AR413,Argentina,360,0.12,143.2716788,0.5144001593806918
163,-41.25,-67.25,p_wind_Argentina_AR414,Argentina,972,0.09,148.6516324,0.5723505236794165
164,-41.75,-67.25,p_wind_Argentina_AR415,Argentina,786,0.06,150.083018,0.6076530054644783
165,-42.25,-67.25,p_wind_Argentina_AR416,Argentina,171,0.08,94.93991381,0.6039110883424387
166,-43.25,-67.25,p_wind_Argentina_AR418,Argentina,102,0.2,13.30452245,0.5552122040072871
167,-43.75,-67.25,p_wind_Argentina_AR419,Argentina,120,0.23,61.45240455,0.552652550091079
168,-44.25,-67.25,p_wind_Argentina_AR420,Argentina,402,0.21,64.63132753,0.5612650273224052
169,-44.75,-67.25,p_wind_Argentina_AR421,Argentina,660,0.16,27.89722405,0.5885873178506364
170,-45.25,-67.25,p_wind_Argentina_AR422,Argentina,342,0.15,3.099352072,0.6121575591985419
171,-46.75,-67.25,p_wind_Argentina_AR423,Argentina,321,0.26,25.18799877,0.5735181010928939
172,-47.25,-67.25,p_wind_Argentina_AR424,Argentina,441,0.27,11.26118154,0.5735009107468134
173,-47.75,-67.25,p_wind_Argentina_AR425,Argentina,468,0.27,34.16737642,0.5799622040072887
174,-48.25,-67.25,p_wind_Argentina_AR426,Argentina,672,0.29,49.6794733,0.5924499089253206
175,-48.75,-67.25,p_wind_Argentina_AR427,Argentina,606,0.35,71.22373423,0.5960413251366118
176,-54.25,-67.25,p_wind_Argentina_AR428,Argentina,486,0.12,322.3128968,0.5848200136612035
177,-54.75,-67.25,p_wind_Argentina_AR429,Argentina,294,0.21,372.6597169,0.5864711976320565
178,-34.75,-66.75,p_wind_Argentina_AR454,Argentina,396,0.07,89.15047784,0.3938555327868862
179,-35.25,-66.75,p_wind_Argentina_AR455,Argentina,585,0.08,91.5286089,0.39315448542805137
180,-35.75,-66.75,p_wind_Argentina_AR456,Argentina,1332,0.08,117.7110188,0.39941928506375435
181,-36.25,-66.75,p_wind_Argentina_AR457,Argentina,1521,0.09,127.7954341,0.40232137978142146
182,-36.75,-66.75,p_wind_Argentina_AR458,Argentina,1359,0.1,144.1152472,0.3990943761384325
183,-37.25,-66.75,p_wind_Argentina_AR459,Argentina,1143,0.1,103.3371518,0.40364162112932706
184,-37.75,-66.75,p_wind_Argentina_AR460,Argentina,1239,0.11,55.45245535,0.41928221766849066
185,-38.25,-66.75,p_wind_Argentina_AR461,Argentina,681,0.12,2.09252806,0.43484574225865114
186,-38.75,-66.75,p_wind_Argentina_AR462,Argentina,264,0.13,51.68034151,0.4438888888888888
187,-39.25,-66.75,p_wind_Argentina_AR463,Argentina,747,0.14,26.69723403,0.4414667577413488
188,-39.75,-66.75,p_wind_Argentina_AR464,Argentina,684,0.15,28.55408256,0.4333849043715855
189,-40.25,-66.75,p_wind_Argentina_AR465,Argentina,492,0.14,83.8059642,0.44454007285974617
190,-40.75,-66.75,p_wind_Argentina_AR466,Argentina,384,0.12,102.957359,0.49045150273224075
191,-41.25,-66.75,p_wind_Argentina_AR467,Argentina,657,0.1,106.7542886,0.5786459471766835
192,-41.75,-66.75,p_wind_Argentina_AR468,Argentina,423,0.08,108.529247,0.6069701730418956
193,-42.25,-66.75,p_wind_Argentina_AR469,Argentina,330,0.11,84.99964272,0.5752460154826953
194,-42.75,-66.75,p_wind_Argentina_AR470,Argentina,420,0.19,34.57878816,0.5445387067395264
195,-43.25,-66.75,p_wind_Argentina_AR471,Argentina,147,0.24,17.05483052,0.5320930100182156
196,-43.75,-66.75,p_wind_Argentina_AR472,Argentina,279,0.26,21.43401376,0.5535913023679422
197,-44.25,-66.75,p_wind_Argentina_AR473,Argentina,375,0.26,34.58902669,0.5712367941712192
198,-44.75,-66.75,p_wind_Argentina_AR474,Argentina,138,0.23,1.888517986,0.5902889344262289
199,-47.25,-66.75,p_wind_Argentina_AR475,Argentina,696,0.33,14.12246453,0.5817834699453552
200,-47.75,-66.75,p_wind_Argentina_AR476,Argentina,429,0.32,34.25105041,0.5879428506375229
201,-48.25,-66.75,p_wind_Argentina_AR477,Argentina,555,0.35,83.93927914,0.5957363387978158
202,-54.75,-66.75,p_wind_Argentina_AR478,Argentina,339,0.31,386.6491438,0.6034445582877962
203,-34.75,-66.25,p_wind_Argentina_AR504,Argentina,1254,0.07,116.3352579,0.39688740892531915
204,-35.25,-66.25,p_wind_Argentina_AR505,Argentina,1398,0.09,135.1782362,0.40272802823315235
205,-35.75,-66.25,p_wind_Argentina_AR506,Argentina,1587,0.09,157.4660875,0.41397495446266036
206,-36.25,-66.25,p_wind_Argentina_AR507,Argentina,1488,0.09,171.4187593,0.4164313524590174
207,-36.75,-66.25,p_wind_Argentina_AR508,Argentina,1230,0.1,154.1208034,0.4131507285974498
208,-37.25,-66.25,p_wind_Argentina_AR509,Argentina,1290,0.1,99.15909785,0.41764651639344175
209,-37.75,-66.25,p_wind_Argentina_AR510,Argentina,1464,0.11,45.09399784,0.42954940801457353
210,-38.25,-66.25,p_wind_Argentina_AR511,Argentina,987,0.12,8.593720597,0.4399086976320589
211,-38.75,-66.25,p_wind_Argentina_AR512,Argentina,657,0.13,62.35102991,0.4500577185792367
212,-39.25,-66.25,p_wind_Argentina_AR513,Argentina,816,0.14,30.77663987,0.45914458105646766
213,-39.75,-66.25,p_wind_Argentina_AR514,Argentina,1140,0.14,24.50797942,0.4539139344262313
