period,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,9.3061074775108,0.04,0.0,133.21,12.96,3.745,0.0,6.027,3.2035064404569247,7.117,62.438937507822786,trd_cut90_vestas2_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,33.564166334934605,0.04,0.2,133.21,62.207,3.745,0.0,6.027,29.92770137235956,7.117,137.05006932052308,trd_cut90_vestas2_fixed
2050,15.499259731250088,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,99.81195307363008,0.04,0.2,133.136,77.702,3.745,0.0,0.0,168.48670843123958,0.0,297.37829756095704,trd_cut90_vestas2_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_vestas7_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,14.63809475677542,0.04,0.0,133.21,14.999,3.745,0.0,6.027,34.15400614761502,7.117,46.875,trd_cut90_vestas7_fixed
2040,0.07220741859090689,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,30.896080827707884,0.04,0.2,133.21,67.805,3.745,0.0,6.027,99.93665483805766,7.117,113.03309402960916,trd_cut90_vestas7_fixed
2050,16.175811379372444,12.7672,4.620747274281043,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,84.64695083570497,0.04,0.2,133.136,81.637,3.745,5.63087919079114,0.0,191.8061891285609,0.0,299.79289055880264,trd_cut90_vestas7_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_vestas3_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,18.291234497020074,0.04,0.2,133.21,15.424,3.745,0.0,6.027,71.99884814021608,7.117,28.901553341890164,trd_cut90_vestas3_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,27.66105300795717,0.04,0.2,133.21,72.588,3.745,0.0,6.027,139.46714596435424,7.117,101.22697593634236,trd_cut90_vestas3_fixed
2050,16.59119784308454,12.7672,16.791121670311743,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,67.85373359907932,0.04,0.2,133.136,83.764,3.745,9.95,0.0,196.63474331627398,0.0,282.88357510019415,trd_cut90_vestas3_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_siemens36_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,15.02438860331153,0.04,0.0,133.21,14.999,3.745,0.0,6.027,44.965949942703716,7.117,42.744047882526594,trd_cut90_siemens36_fixed
2040,0.17857328871926775,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,31.29526244884112,0.04,0.2,133.21,67.805,3.745,0.0,6.027,114.7666515660362,7.117,108.98871409951643,trd_cut90_siemens36_fixed
2050,16.596146892218716,12.7672,3.57689564656714,10.490200000000002,0.0,7.472999999999999,0.0,40.3331,81.56779657854916,0.04,0.2,133.136,81.637,3.745,9.95,0.0,192.3083161341623,0.0,295.8612870613184,trd_cut90_siemens36_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_siemens23_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,14.015480600789193,0.04,0.0,133.21,14.452,3.745,0.0,6.027,26.144291486169067,7.117,50.72217092434013,trd_cut90_siemens23_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,30.30178264103733,0.04,0.2,133.21,67.805,3.745,0.0,6.027,84.69700985003638,7.117,118.36513887170074,trd_cut90_siemens23_fixed
2050,16.356265819922438,12.7672,2.4819444201321503,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,87.57714498552942,0.04,0.2,133.136,81.637,3.745,4.659181031173674,0.0,191.25710131850823,0.0,299.79170994593755,trd_cut90_siemens23_fixed
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_cut90_ge25_fixed
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,10.183048707242738,0.04,0.0,133.21,12.96,3.745,0.0,6.027,9.425638717804288,7.117,60.529236737695314,trd_cut90_ge25_fixed
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,31.406967946147773,0.04,0.2,133.21,65.327,3.745,0.0,6.027,48.872852424378905,7.117,129.34765643081758,trd_cut90_ge25_fixed
