type,period,load_zone,trade,Scenario,multiplier,trade_1,short_name
export,2020,Uruguay,0.5,Trade Siemens SWT 3.6 107 Fixed,-1,-0.5,trd_siemens36_fixed
export,2030,Argentina,2.0,Trade Siemens SWT 3.6 107 Fixed,-1,-2.0,trd_siemens36_fixed
export,2030,Brazil,2.3,Trade Siemens SWT 3.6 107 Fixed,-1,-2.3,trd_siemens36_fixed
export,2030,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2030,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2030,Uruguay,0.1,Trade Siemens SWT 3.6 107 Fixed,-1,-0.1,trd_siemens36_fixed
export,2040,Argentina,1.9,Trade Siemens SWT 3.6 107 Fixed,-1,-1.9,trd_siemens36_fixed
export,2040,Brazil,1.4,Trade Siemens SWT 3.6 107 Fixed,-1,-1.4,trd_siemens36_fixed
export,2040,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2040,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2040,Uruguay,0.2,Trade Siemens SWT 3.6 107 Fixed,-1,-0.2,trd_siemens36_fixed
export,2050,Argentina,2.0,Trade Siemens SWT 3.6 107 Fixed,-1,-2.0,trd_siemens36_fixed
export,2050,Brazil,1.6,Trade Siemens SWT 3.6 107 Fixed,-1,-1.6,trd_siemens36_fixed
export,2050,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2050,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,-1,-0.0,trd_siemens36_fixed
export,2050,Uruguay,0.5,Trade Siemens SWT 3.6 107 Fixed,-1,-0.5,trd_siemens36_fixed
import,2020,Argentina,0.6,Trade Siemens SWT 3.6 107 Fixed,1,0.6,trd_siemens36_fixed
import,2020,Brazil,1.5,Trade Siemens SWT 3.6 107 Fixed,1,1.5,trd_siemens36_fixed
import,2020,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2020,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2020,Uruguay,0.4,Trade Siemens SWT 3.6 107 Fixed,1,0.4,trd_siemens36_fixed
import,2030,Argentina,0.3,Trade Siemens SWT 3.6 107 Fixed,1,0.3,trd_siemens36_fixed
import,2030,Brazil,0.5,Trade Siemens SWT 3.6 107 Fixed,1,0.5,trd_siemens36_fixed
import,2030,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2030,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2030,Uruguay,3.5,Trade Siemens SWT 3.6 107 Fixed,1,3.5,trd_siemens36_fixed
import,2040,Argentina,0.1,Trade Siemens SWT 3.6 107 Fixed,1,0.1,trd_siemens36_fixed
import,2040,Brazil,0.9,Trade Siemens SWT 3.6 107 Fixed,1,0.9,trd_siemens36_fixed
import,2040,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2040,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2040,Uruguay,2.5,Trade Siemens SWT 3.6 107 Fixed,1,2.5,trd_siemens36_fixed
import,2050,Argentina,0.1,Trade Siemens SWT 3.6 107 Fixed,1,0.1,trd_siemens36_fixed
import,2050,Brazil,1.2,Trade Siemens SWT 3.6 107 Fixed,1,1.2,trd_siemens36_fixed
import,2050,Chile,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2050,Paraguay,0.0,Trade Siemens SWT 3.6 107 Fixed,1,0.0,trd_siemens36_fixed
import,2050,Uruguay,2.8,Trade Siemens SWT 3.6 107 Fixed,1,2.8,trd_siemens36_fixed
export,2020,Argentina,1.4,Trade Siemens SWT 2.3 93 Fixed,-1,-1.4,trd_siemens23_fixed
export,2020,Brazil,0.5,Trade Siemens SWT 2.3 93 Fixed,-1,-0.5,trd_siemens23_fixed
export,2020,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2020,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2020,Uruguay,0.5,Trade Siemens SWT 2.3 93 Fixed,-1,-0.5,trd_siemens23_fixed
export,2030,Argentina,1.8,Trade Siemens SWT 2.3 93 Fixed,-1,-1.8,trd_siemens23_fixed
export,2030,Brazil,2.7,Trade Siemens SWT 2.3 93 Fixed,-1,-2.7,trd_siemens23_fixed
export,2030,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2030,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2040,Argentina,2.0,Trade Siemens SWT 2.3 93 Fixed,-1,-2.0,trd_siemens23_fixed
export,2040,Brazil,1.4,Trade Siemens SWT 2.3 93 Fixed,-1,-1.4,trd_siemens23_fixed
export,2040,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2040,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2040,Uruguay,0.3,Trade Siemens SWT 2.3 93 Fixed,-1,-0.3,trd_siemens23_fixed
export,2050,Argentina,2.0,Trade Siemens SWT 2.3 93 Fixed,-1,-2.0,trd_siemens23_fixed
export,2050,Brazil,1.3,Trade Siemens SWT 2.3 93 Fixed,-1,-1.3,trd_siemens23_fixed
export,2050,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2050,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,-1,-0.0,trd_siemens23_fixed
export,2050,Uruguay,0.5,Trade Siemens SWT 2.3 93 Fixed,-1,-0.5,trd_siemens23_fixed
import,2020,Argentina,0.6,Trade Siemens SWT 2.3 93 Fixed,1,0.6,trd_siemens23_fixed
import,2020,Brazil,1.5,Trade Siemens SWT 2.3 93 Fixed,1,1.5,trd_siemens23_fixed
import,2020,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2020,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2020,Uruguay,0.4,Trade Siemens SWT 2.3 93 Fixed,1,0.4,trd_siemens23_fixed
import,2030,Argentina,0.3,Trade Siemens SWT 2.3 93 Fixed,1,0.3,trd_siemens23_fixed
import,2030,Brazil,0.4,Trade Siemens SWT 2.3 93 Fixed,1,0.4,trd_siemens23_fixed
import,2030,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2030,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2030,Uruguay,3.8,Trade Siemens SWT 2.3 93 Fixed,1,3.8,trd_siemens23_fixed
import,2040,Argentina,0.1,Trade Siemens SWT 2.3 93 Fixed,1,0.1,trd_siemens23_fixed
import,2040,Brazil,0.9,Trade Siemens SWT 2.3 93 Fixed,1,0.9,trd_siemens23_fixed
import,2040,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2040,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2040,Uruguay,2.6,Trade Siemens SWT 2.3 93 Fixed,1,2.6,trd_siemens23_fixed
import,2050,Argentina,0.1,Trade Siemens SWT 2.3 93 Fixed,1,0.1,trd_siemens23_fixed
import,2050,Brazil,1.2,Trade Siemens SWT 2.3 93 Fixed,1,1.2,trd_siemens23_fixed
import,2050,Chile,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2050,Paraguay,0.0,Trade Siemens SWT 2.3 93 Fixed,1,0.0,trd_siemens23_fixed
import,2050,Uruguay,2.4,Trade Siemens SWT 2.3 93 Fixed,1,2.4,trd_siemens23_fixed
export,2020,Argentina,1.4,Trade GE 2.5xl Fixed,-1,-1.4,trd_ge25_fixed
export,2020,Brazil,0.5,Trade GE 2.5xl Fixed,-1,-0.5,trd_ge25_fixed
export,2020,Chile,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2020,Paraguay,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2020,Uruguay,0.5,Trade GE 2.5xl Fixed,-1,-0.5,trd_ge25_fixed
export,2030,Argentina,1.8,Trade GE 2.5xl Fixed,-1,-1.8,trd_ge25_fixed
export,2030,Brazil,2.6,Trade GE 2.5xl Fixed,-1,-2.6,trd_ge25_fixed
export,2030,Chile,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2030,Paraguay,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2030,Uruguay,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2040,Argentina,1.8,Trade GE 2.5xl Fixed,-1,-1.8,trd_ge25_fixed
export,2040,Brazil,1.6,Trade GE 2.5xl Fixed,-1,-1.6,trd_ge25_fixed
export,2040,Chile,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2040,Paraguay,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2040,Uruguay,0.3,Trade GE 2.5xl Fixed,-1,-0.3,trd_ge25_fixed
export,2050,Argentina,1.9,Trade GE 2.5xl Fixed,-1,-1.9,trd_ge25_fixed
export,2050,Brazil,1.2,Trade GE 2.5xl Fixed,-1,-1.2,trd_ge25_fixed
export,2050,Chile,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2050,Paraguay,0.0,Trade GE 2.5xl Fixed,-1,-0.0,trd_ge25_fixed
export,2050,Uruguay,0.6,Trade GE 2.5xl Fixed,-1,-0.6,trd_ge25_fixed
import,2020,Argentina,0.6,Trade GE 2.5xl Fixed,1,0.6,trd_ge25_fixed
import,2020,Brazil,1.5,Trade GE 2.5xl Fixed,1,1.5,trd_ge25_fixed
import,2020,Chile,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2020,Paraguay,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2020,Uruguay,0.4,Trade GE 2.5xl Fixed,1,0.4,trd_ge25_fixed
import,2030,Argentina,0.3,Trade GE 2.5xl Fixed,1,0.3,trd_ge25_fixed
import,2030,Brazil,0.4,Trade GE 2.5xl Fixed,1,0.4,trd_ge25_fixed
import,2030,Chile,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2030,Paraguay,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2030,Uruguay,3.7,Trade GE 2.5xl Fixed,1,3.7,trd_ge25_fixed
import,2040,Argentina,0.3,Trade GE 2.5xl Fixed,1,0.3,trd_ge25_fixed
import,2040,Brazil,0.9,Trade GE 2.5xl Fixed,1,0.9,trd_ge25_fixed
import,2040,Chile,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2040,Paraguay,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2040,Uruguay,2.5,Trade GE 2.5xl Fixed,1,2.5,trd_ge25_fixed
import,2050,Argentina,0.2,Trade GE 2.5xl Fixed,1,0.2,trd_ge25_fixed
import,2050,Brazil,1.3,Trade GE 2.5xl Fixed,1,1.3,trd_ge25_fixed
import,2050,Chile,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2050,Paraguay,0.0,Trade GE 2.5xl Fixed,1,0.0,trd_ge25_fixed
import,2050,Uruguay,2.3,Trade GE 2.5xl Fixed,1,2.3,trd_ge25_fixed
export,2020,Argentina,1.4,Trade GE 1.5sle Fixed,-1,-1.4,trd_ge15_fixed
export,2020,Brazil,0.5,Trade GE 1.5sle Fixed,-1,-0.5,trd_ge15_fixed
export,2020,Chile,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2020,Paraguay,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2020,Uruguay,0.5,Trade GE 1.5sle Fixed,-1,-0.5,trd_ge15_fixed
export,2030,Argentina,1.8,Trade GE 1.5sle Fixed,-1,-1.8,trd_ge15_fixed
export,2030,Brazil,2.7,Trade GE 1.5sle Fixed,-1,-2.7,trd_ge15_fixed
export,2030,Chile,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2030,Paraguay,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2030,Uruguay,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2040,Argentina,2.0,Trade GE 1.5sle Fixed,-1,-2.0,trd_ge15_fixed
export,2040,Brazil,1.4,Trade GE 1.5sle Fixed,-1,-1.4,trd_ge15_fixed
export,2040,Chile,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2040,Paraguay,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2040,Uruguay,0.3,Trade GE 1.5sle Fixed,-1,-0.3,trd_ge15_fixed
export,2050,Argentina,2.0,Trade GE 1.5sle Fixed,-1,-2.0,trd_ge15_fixed
export,2050,Brazil,1.3,Trade GE 1.5sle Fixed,-1,-1.3,trd_ge15_fixed
export,2050,Chile,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2050,Paraguay,0.0,Trade GE 1.5sle Fixed,-1,-0.0,trd_ge15_fixed
export,2050,Uruguay,0.5,Trade GE 1.5sle Fixed,-1,-0.5,trd_ge15_fixed
import,2020,Argentina,0.6,Trade GE 1.5sle Fixed,1,0.6,trd_ge15_fixed
import,2020,Brazil,1.5,Trade GE 1.5sle Fixed,1,1.5,trd_ge15_fixed
import,2020,Chile,0.0,Trade GE 1.5sle Fixed,1,0.0,trd_ge15_fixed
import,2020,Paraguay,0.0,Trade GE 1.5sle Fixed,1,0.0,trd_ge15_fixed
import,2020,Uruguay,0.4,Trade GE 1.5sle Fixed,1,0.4,trd_ge15_fixed
import,2030,Argentina,0.3,Trade GE 1.5sle Fixed,1,0.3,trd_ge15_fixed
import,2030,Brazil,0.4,Trade GE 1.5sle Fixed,1,0.4,trd_ge15_fixed
import,2030,Chile,0.0,Trade GE 1.5sle Fixed,1,0.0,trd_ge15_fixed
import,2030,Paraguay,0.0,Trade GE 1.5sle Fixed,1,0.0,trd_ge15_fixed
import,2030,Uruguay,3.8,Trade GE 1.5sle Fixed,1,3.8,trd_ge15_fixed
