period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,scs_id
2030,Chile,409236357.1677395,1162887698.1803,0.0,1301909865.3016124,0.0,106979753.05000007,28.364931581208573,0.26514298988848295,2874033920.649652,26.86521363819553,3.825362701823317,10.870166223292653,0.0,12.16968471307956,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2030,Paraguay,327500129.61,0.0,0.0,3046485.205479452,0.0,35756362.07500001,0.0,0.0,330546614.81547946,9.244414018466093,9.15921281150076,0.0,0.0,0.08520120696533279,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2030,Uruguay,43045483.42170664,113378897.60855828,0.0,214591409.73944205,0.0,19225896.900000002,0.5413610747450082,0.028157910008609694,371015790.76970696,19.297710411091767,2.238932396527448,5.897196796502028,0.0,11.161581218062292,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2035,Argentina,1319192278.2379777,2496084495.128576,0.0,2483406292.4752107,0.0,227100883.425,61.05785511111416,0.2688578493851544,6298683065.841764,27.735176415207132,5.808838161889584,10.991082277990815,0.0,10.935255975326731,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2035,Brazil,4142907062.4385924,7673482758.009796,0.0,15645038564.099333,0.0,980934147.5749993,73.34892354166593,0.07477456435072048,27461428384.54772,27.99518036193974,4.223430362456455,7.822627825710496,0.0,15.94912217377279,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2035,Chile,481946943.5795099,1249269911.114385,0.0,1789817140.196229,0.0,121510838.54999991,30.55581453762261,0.2514657531973935,3521033994.890124,28.977118723785868,3.966287693596945,10.281139740471207,0.0,14.729691289717714,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2035,Paraguay,327500129.61000043,0.0,0.0,3046485.205479452,0.0,45374992.75,0.0,0.0,330546614.8154799,7.284775044189509,7.217634863644148,0.0,0.0,0.06714018054536113,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2035,Uruguay,40021358.36532516,79464770.3498407,2012641.4512687982,390300052.1648001,0.0,22922726.72500001,0.2806700700548991,0.012244183400258154,511798822.33123475,22.327135356591594,1.7459248563861742,3.4666369015853054,0.08780113620051008,17.026772462419604,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2040,Argentina,1535835096.7397392,3141184687.2425184,0.0,3504972926.7821264,0.0,269073705.87500006,76.71597358472762,0.2851113724964509,8181992710.764384,30.407998002470677,5.707860200406284,11.674067806171207,0.0,13.026069995893186,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2040,Brazil,4576957546.906245,8723220052.931482,0.0,21695053681.28962,0.0,1121252719.1249998,89.15667447068692,0.07951523590530311,34995231281.12735,31.210832923051314,4.082003520560467,7.779887534844852,0.0,19.34894186764599,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2040,Chile,568381521.6305727,1506229193.9413266,0.0,2105796561.2261748,0.0,138015707.74999994,37.40185632243883,0.2709970983171577,4180407276.7980742,30.289358689305246,4.118237923035053,10.913462087008913,0.0,15.25765867926128,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2040,Paraguay,327500129.6100003,0.0,0.0,3046485.205479452,0.0,57581093.275000006,0.0,0.0,330546614.81547976,5.740540792388762,5.687633057710475,0.0,0.0,0.052907734678287965,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2040,Uruguay,38799295.16036518,65541433.26426313,2213448.116147849,596430655.0319736,0.0,27330430.574999996,0.17275080564015946,0.006320822687593515,702984831.5727497,25.72168885680828,1.4196371716095872,2.3981119903839327,0.08098840997304153,21.82295128484172,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2045,Argentina,1792422533.6925771,3995096515.914317,0.0,5565362655.94004,0.0,318804005.775,97.40673004486152,0.3055379740542143,11352881705.546934,35.61085023994139,5.622333788859612,12.531512915599649,0.0,17.45700353548213,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2045,Brazil,4821868832.904874,9779592182.128115,0.0,28130615784.12986,0.0,1281643269.475,104.89642447164286,0.08184525832575208,42732076799.16285,33.34163087102014,3.7622550266113115,7.630510310512639,0.0,21.948865533896196,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2045,Chile,667122128.3751822,1785759476.523394,0.0,2665109976.417225,0.0,156762419.25000003,44.847593827903246,0.2860863850052074,5117991581.315802,32.64807729940542,4.255625369695754,11.391502408976722,0.0,17.000949520732945,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2045,Paraguay,328274341.5817314,14529335.353280876,814289.0314284877,114988977.30062133,0.0,73070680.0,0.057748165166609494,0.0007903055667007546,458606943.2670621,6.276210147039307,4.492559007001596,0.19883947095169877,0.011143854572428884,1.5736678145135823,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2045,Uruguay,37153277.72858875,50286766.18547694,3167727.6710770084,1288994586.7070634,0.0,32585578.299999997,0.0685956873198916,0.0021050934461976883,1379602358.292206,42.33782029555714,1.1401754907197321,1.5432215356901289,0.09721256569127726,39.557210703456,0.0,prm15_fix_wcost_re1_c2p1_tnt1
2050,Argentina,1896283779.438945,4362832433.354511,0.0,9384310363.513075,0.0,377725433.59999996,106.37636905681754,0.28162352755273284,15643426576.30653,41.414808706983855,5.020270309483722,11.550274472580583,0.0,24.844263924919552,0.0,prm15_fix_wcost_re1_c2p1_tnt1
