period,scs_id,costs_per_mwh
2040,prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,71.30918309706564
2040,prm15_fix_wcost_re13_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re14_c2p1_co2_cut90p_tnt1,69.9536711478688
2040,prm15_fix_wcost_re14_c2p1_tnt1,64.72065373901096
2040,prm15_fix_wcost_re15_c2p1_co2_cut90p_tnt1,69.97318595343431
2040,prm15_fix_wcost_re15_c2p1_tnt1,69.95188734480064
2040,prm15_fix_wcost_re16_c2p1_co2_cut90p_tnt1,69.95188734480064
2040,prm15_fix_wcost_re16_c2p1_tnt1,69.95188734480064
2040,prm15_fix_wcost_re17_c2p1_co2_cut90p_tnt1,69.95731902514316
2040,prm15_fix_wcost_re17_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re18_c2p1_co2_cut90p_tnt1,61.81586600532312
2040,prm15_fix_wcost_re18_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re19_c2p1_co2_cut90p_tnt1,69.95287735550346
2040,prm15_fix_wcost_re19_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,69.95367114786879
2040,prm15_fix_wcost_re1_c2p1_tnt1,84.32363317794643
2040,prm15_fix_wcost_re20_c2p1_co2_cut90p_tnt1,74.15764989969357
2040,prm15_fix_wcost_re20_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,71.64514194226754
2040,prm15_fix_wcost_re2_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,70.29819235696452
2040,prm15_fix_wcost_re3_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re4_c2p1_co2_cut90p_tnt1,70.11742884758765
2040,prm15_fix_wcost_re4_c2p1_tnt1,85.65933211294445
2040,prm15_fix_wcost_re5_c2p1_co2_cut90p_tnt1,74.24495035187127
2040,prm15_fix_wcost_re5_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re6_c2p1_co2_cut90p_tnt1,69.9536711478688
2040,prm15_fix_wcost_re6_c2p1_tnt1,69.95188734480064
2040,prm15_fix_wcost_re7_c2p1_co2_cut90p_tnt1,69.95367114786879
2040,prm15_fix_wcost_re7_c2p1_tnt1,69.95188734480064
2040,prm15_fix_wcost_re8_c2p1_co2_cut90p_tnt1,70.25123715614889
2040,prm15_fix_wcost_re8_c2p1_tnt1,69.95198545396939
2040,prm15_fix_wcost_re9_c2p1_co2_cut90p_tnt1,70.27017219040673
2040,prm15_fix_wcost_re9_c2p1_tnt1,69.95198545396939
2045,prm15_fix_wcost_re10_c2p1_co2_cut90p_tnt1,44.331928903705496
2045,prm15_fix_wcost_re10_c2p1_tnt1,30.654979478761856
2045,prm15_fix_wcost_re11_c2p1_co2_cut90p_tnt1,33.939119886183846
2045,prm15_fix_wcost_re11_c2p1_tnt1,31.73643683979527
2045,prm15_fix_wcost_re12_c2p1_co2_cut90p_tnt1,31.36456552303211
2045,prm15_fix_wcost_re12_c2p1_tnt1,33.692804067758125
2045,prm15_fix_wcost_re13_c2p1_co2_cut90p_tnt1,32.33073457056041
