project,period,specified_capacity_mw,specified_capacity_mwh
E_Argentina_Gas_CCGT_80s,2030,1152.1,
E_Brazil_Gas_CCGT_80s,2030,33.5,
E_Argentina_Gas_CCGT_90s,2030,2680.4,
E_Brazil_Gas_CCGT_90s,2030,238.5,
E_Argentina_Gas_CCGT_00s,2030,1421.2,
E_Brazil_Gas_CCGT_00s,2030,5730.2,
E_Argentina_Gas_CCGT_10s,2030,2382.1,
E_Brazil_Gas_CCGT_10s,2030,1624.7,
E_Chile_Gas_CCGT_10s,2030,1490.4,
E_Argentina_Biomass_2015_rest,2030,46.0,
E_Argentina_Gas_CCGT_2002_rest,2030,3389.7999999999997,
E_Argentina_Gas_OCGT_2002_rest,2030,2222.4,
E_Argentina_Nuclear_2015_rest,2030,1755.0,
E_Brazil_Biomass_2006_rest,2030,1224.5,
E_Brazil_Coal_Sub_1996_rest,2030,3063.2,
E_Brazil_Gas_CCGT_2005_rest,2030,3331.0,
E_Brazil_Gas_OCGT_2005_rest,2030,1536.8000000000002,
E_Brazil_Nuclear_2015_rest,2030,1990.0,
E_Chile_Biomass_2015_rest,2030,88.10000000000002,
E_Chile_Gas_CCGT_2015_rest,2030,1947.6,
E_Chile_Gas_OCGT_2015_rest,2030,1970.3,
E_Chile_Geothermal_2015_rest,2030,40.0,
E_Paraguay_Biomass_2015_rest,2030,22.0,
E_Paraguay_Diesel_2015_rest,2030,25.0,
E_Uruguay_Biomass_2015_rest,2030,12.300000000000011,
E_Uruguay_Gas_OCGT_2015_rest,2030,840.3,
E_Hydro_Argentina_Colorado,2030,74.0,
E_Hydro_Argentina_De_la_Plata,2030,1992.0,
E_Hydro_Argentina_Futaleufu,2030,472.0,
E_Hydro_Argentina_Negro,2030,4199.0,
E_Hydro_Argentina_Unknown,2030,328.0,
E_Hydro_Brazil_Amazonas,2030,8836.0,
E_Hydro_Brazil_De_la_Plata,2030,26062.0,
E_Hydro_Brazil_Doce,2030,131.0,
E_Hydro_Brazil_Jacui_Camaqua_Jaguaron,2030,662.0,
E_Hydro_Brazil_Paraiba_do_Sul,2030,408.0,
E_Hydro_Brazil_Paranaiba,2030,225.0,
E_Hydro_Brazil_Sao_Francisco,2030,6416.0,
E_Hydro_Brazil_Unknown,2030,15657.0,
E_Hydro_Chile_Maule_Itata,2030,400.0,
E_Hydro_Chile_Unknown,2030,377.0,
E_Hydro_Paraguay_De_la_Plata,2030,8810.0,
E_Hydro_Uruguay_De_la_Plata,2030,593.0,
E_Hydro_Argentina_wb_rest,2030,4245.0,
E_Hydro_Brazil_wb_rest,2030,46206.0,
E_Hydro_Chile_wb_rest,2030,6172.0,
E_Hydro_Uruguay_wb_rest,2030,945.0,
E_Argentina_SolarPV,2030,439.0,
E_Argentina_Wind,2030,1609.0,
E_Brazil_SolarPV,2030,2074.0,
E_Brazil_Wind,2030,1487.0,
E_Chile_SolarPV,2030,3258.0,
E_Chile_Wind,2030,2507.0,
E_Uruguay_SolarPV,2030,256.0,
E_Uruguay_Wind,2030,1514.0,
E_Argentina_Coal_Sub_60s,2035,0,
E_Brazil_Biomass_60s,2035,0,
E_Brazil_Coal_Sub_60s,2035,0,
E_Argentina_Coal_Sub_70s,2035,216.0,
E_Brazil_Biomass_70s,2035,0,
E_Brazil_Coal_Sub_70s,2035,708.0,
E_Argentina_Coal_Sub_80s,2035,1982.2,
E_Brazil_Biomass_80s,2035,0,
E_Argentina_Coal_Sub_90s,2035,981.0,
E_Brazil_Biomass_90s,2035,979.0,
E_Brazil_Coal_Sub_90s,2035,387.4,
E_Argentina_Diesel_00s,2035,468.8,
E_Brazil_Biomass_00s,2035,3923.8,
E_Brazil_Coal_Sub_00s,2035,297.1,
E_Brazil_Diesel_00s,2035,180.79999999999973,
E_Argentina_Coal_Sub_10s,2035,13.2,
E_Argentina_Diesel_10s,2035,1194.2,
E_Brazil_Biomass_10s,2035,6653.9,
E_Brazil_Coal_Sub_10s,2035,1148.3,
E_Brazil_Diesel_10s,2035,4116.2,
E_Chile_Biomass_10s,2035,383.9,
E_Chile_Coal_Sub_10s,2035,4600.0,
E_Chile_Diesel_10s,2035,1404.0000000000002,
E_Uruguay_Biomass_10s,2035,412.7,
E_Uruguay_Diesel_10s,2035,84.0,
E_Argentina_Gas_OCGT_60s,2035,0,
E_Brazil_Gas_OCGT_60s,2035,0,
E_Argentina_Gas_OCGT_70s,2035,0,
E_Brazil_Gas_OCGT_70s,2035,0,
E_Argentina_Gas_OCGT_80s,2035,755.4,
E_Brazil_Gas_OCGT_80s,2035,15.5,
E_Argentina_Gas_OCGT_90s,2035,1757.3,
E_Brazil_Gas_OCGT_90s,2035,110.0,
E_Argentina_Gas_OCGT_00s,2035,931.8,
E_Brazil_Gas_OCGT_00s,2035,2643.6,
E_Argentina_Gas_OCGT_10s,2035,1561.8,
E_Brazil_Gas_OCGT_10s,2035,749.5,
E_Chile_Gas_OCGT_10s,2035,1507.7,
E_Uruguay_Gas_OCGT_10s,2035,265.7,
E_Argentina_Gas_CCGT_60s,2035,0,
E_Brazil_Gas_CCGT_60s,2035,0,
E_Argentina_Gas_CCGT_70s,2035,0,
E_Brazil_Gas_CCGT_70s,2035,0,
E_Argentina_Gas_CCGT_80s,2035,1152.1,
E_Brazil_Gas_CCGT_80s,2035,33.5,
E_Argentina_Gas_CCGT_90s,2035,2680.4,
E_Brazil_Gas_CCGT_90s,2035,238.5,
E_Argentina_Gas_CCGT_00s,2035,1421.2,
E_Brazil_Gas_CCGT_00s,2035,5730.2,
E_Argentina_Gas_CCGT_10s,2035,2382.1,
E_Brazil_Gas_CCGT_10s,2035,1624.7,
E_Chile_Gas_CCGT_10s,2035,1490.4,
E_Argentina_Biomass_2015_rest,2035,46.0,
E_Argentina_Gas_CCGT_2002_rest,2035,3389.7999999999997,
E_Argentina_Gas_OCGT_2002_rest,2035,2222.4,
E_Argentina_Nuclear_2015_rest,2035,1755.0,
E_Brazil_Biomass_2006_rest,2035,1224.5,
E_Brazil_Coal_Sub_1996_rest,2035,3063.2,
E_Brazil_Gas_CCGT_2005_rest,2035,3331.0,
E_Brazil_Gas_OCGT_2005_rest,2035,1536.8000000000002,
E_Brazil_Nuclear_2015_rest,2035,1990.0,
E_Chile_Biomass_2015_rest,2035,88.10000000000002,
E_Chile_Gas_CCGT_2015_rest,2035,1947.6,
E_Chile_Gas_OCGT_2015_rest,2035,1970.3,
E_Chile_Geothermal_2015_rest,2035,40.0,
E_Paraguay_Biomass_2015_rest,2035,22.0,
E_Paraguay_Diesel_2015_rest,2035,25.0,
E_Uruguay_Biomass_2015_rest,2035,12.300000000000011,
