scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re16_c2p1_tn,0.0,26363.07313864,22687.1,0.0,0.0,2332.8867210865,79625.99999999611,0.0,10188.984305614,19194.706676142,6105.342298145,0,0,16,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,239.0,42539.2999999995,54168.84983946442,2914.9334021693,0.0,3089.6,54552.0,0.0,6192.000057304,11846.0165045321,4185.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re10_c2p1_tn,7950.217496071,41542.2999999995,52708.3,2013.1,0.0,4086.159298087,73176.633739102,0.0,7376.124352465,20331.628166045,12750.0,0,0,10,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_co2_cut90p_t1,26767.38532427589,48598.2,80359.38481820044,7656.3,139.7,4965.738288763258,147063.0,5466.0,4282.587154236233,59526.7752484686,81039.93515825218,1,1,11,1,"90%Cut,Lim",111
prm15_wcost_re12_c2p1_co2_cut90p_t1,40116.35384134626,48974.4,84364.6,10264.2,2587.7,5498.935287214651,145056.0,4164.0,4091.7129721318465,64750.3593330724,81730.81825359837,1,1,12,1,"90%Cut,Lim",111
prm15_wcost_re3_c2p1_co2_cut90p_t1,49831.18780262429,48974.4,84364.6,12075.11366333866,12698.6,5415.180156125899,119900.50501544285,654.0,3643.8689135955656,52514.0340709778,67359.01633895609,1,1,3,0,"90%Cut,Lim",110
prm15_wcost_re8_c2p1_co2_cut90p_t1,48727.95533301139,48974.4,84364.6,11939.965045801102,10754.9,5309.378566511508,127185.44006544755,1254.0,3590.676922561538,53154.04403742,68701.09249075339,1,1,8,0,"90%Cut,Lim",110
prm15_wcost_re5_c2p1_co2_cut90p_t1,47471.93723209224,48974.4,84364.6,11456.937268673937,6563.6,4906.6,146793.0,2397.0,3377.9084346997256,60406.14682376228,70560.63270372101,1,1,5,0,"90%Cut,Lim",110
prm15_wcost_re13_c2p1_co2_cut90p_t1,41384.05026752098,48974.4,84364.6,11918.0,4295.7,5697.993048752997,137413.0741873388,1890.0,3883.575666491688,57568.78507781205,82128.14016855162,1,1,13,1,"90%Cut,Lim",111
prm15_wcost_re4_c2p1_co2_cut90p_t1,47679.47609944487,48974.4,84364.6,11711.109531608967,7124.157586983447,5037.551736029974,139638.0,1890.0,3445.900749174372,60360.241386377405,74310.94668577227,1,1,4,0,"90%Cut,Lim",110
prm15_wcost_re9_c2p1_co2_cut90p_t1,48781.302873221044,48974.4,84364.6,12061.083137729123,11041.5,5524.083337917367,118459.95563530255,3057.0,3542.838521690292,75445.39424214169,69754.83097806376,1,1,9,0,"90%Cut,Lim",110
prm15_wcost_re14_c2p1_co2_cut90p_t1,40058.498662343874,48974.4,84364.6,10787.599402869211,2587.7,5535.518068949216,145056.0,1890.0,4031.1323388154815,59717.1547225029,85167.0,1,1,14,1,"90%Cut,Lim",111
prm15_wcost_re7_c2p1_co2_cut90p_t1,45955.55760447118,48974.4,84364.6,11044.202747232897,6018.4,5002.104186456867,148881.0,2397.0,3382.244762046632,61139.62185937908,67282.687408479,1,1,7,0,"90%Cut,Lim",110
prm15_wcost_re6_c2p1_co2_cut90p_t1,44429.41558508497,48974.4,84364.6,10341.44473001628,4690.0,4577.98123627384,136554.03506389307,3348.0,3254.7331078818797,60902.124541017096,64489.034443390985,1,1,6,0,"90%Cut,Lim",110
prm15_wcost_re18_c2p1_co2_cut90p_t1,40938.89372845201,48974.4,84364.6,11168.7,2444.8,5519.457479399002,135212.03230745532,1254.0,3984.3768302643857,56505.25415195262,79587.78174436423,1,1,18,1,"90%Cut,Lim",111
prm15_wcost_re10_c2p1_co2_cut90p_t1,41567.5,48974.4,83477.7,9440.2,3015.3,4518.7815852447275,112673.0143177098,3846.0,3306.0138696280374,70417.50183460637,64587.19136824435,1,1,10,0,"90%Cut,Lim",110
prm15_wcost_re2_c2p1_co2_cut90p_t1,47730.2864695987,48974.4,84364.6,11706.951070963833,7138.1,5139.287531663544,141684.0,2706.0,3347.54200079681,62424.0035108256,73107.4359281159,1,1,2,0,"90%Cut,Lim",110
prm15_wcost_re15_c2p1_co2_cut90p_t1,40045.21167712594,48974.4,84364.6,10140.25586110145,2587.7,5144.933780280852,152220.0,2397.0,4085.7509828799457,60013.793311952024,81075.16565110562,1,1,15,1,"90%Cut,Lim",111
