Latitude,Longitude,project,load_zone,biome
-35.75,-67.75,p_solar_Argentina_AR347,Argentina,Monte Desert
-36.25,-67.75,p_solar_Argentina_AR348,Argentina,Monte Desert
-36.75,-67.75,p_solar_Argentina_AR349,Argentina,Monte Desert
-37.25,-67.75,p_solar_Argentina_AR350,Argentina,Monte Desert
-37.75,-67.75,p_solar_Argentina_AR351,Argentina,Monte Desert
-38.25,-67.75,p_solar_Argentina_AR352,Argentina,Monte Desert
-38.75,-67.75,p_solar_Argentina_AR353,Argentina,Monte Desert
-39.25,-67.75,p_solar_Argentina_AR354,Argentina,Monte Desert
-39.75,-67.75,p_solar_Argentina_AR355,Argentina,Monte Desert
-40.25,-67.75,p_solar_Argentina_AR356,Argentina,Monte Desert
-40.75,-67.75,p_solar_Argentina_AR357,Argentina,Monte Desert
-41.25,-67.75,p_solar_Argentina_AR358,Argentina,Monte Desert
-41.75,-67.75,p_solar_Argentina_AR359,Argentina,Monte Desert
-42.25,-67.75,p_solar_Argentina_AR360,Argentina,Monte Desert
-42.75,-67.75,p_solar_Argentina_AR361,Argentina,Monte Desert
-43.25,-67.75,p_solar_Argentina_AR362,Argentina,Monte Desert
-43.75,-67.75,p_solar_Argentina_AR363,Argentina,Monte Desert
-44.25,-67.75,p_solar_Argentina_AR364,Argentina,Monte Desert
-44.75,-67.75,p_solar_Argentina_AR365,Argentina,Monte Desert
-45.25,-67.75,p_solar_Argentina_AR366,Argentina,Monte Desert
-45.75,-67.75,p_solar_Argentina_AR367,Argentina,Monte Desert
-46.25,-67.75,p_solar_Argentina_AR368,Argentina,Monte Desert
-46.75,-67.75,p_solar_Argentina_AR369,Argentina,Monte Desert
-23.75,-67.25,p_solar_Argentina_AR379,Argentina,Atacama/Andes
-24.25,-67.25,p_solar_Argentina_AR380,Argentina,Atacama/Andes
-24.75,-67.25,p_solar_Argentina_AR381,Argentina,Atacama/Andes
-25.25,-67.25,p_solar_Argentina_AR382,Argentina,Atacama/Andes
-25.75,-67.25,p_solar_Argentina_AR383,Argentina,Atacama/Andes
-26.25,-67.25,p_solar_Argentina_AR384,Argentina,Atacama/Andes
-26.75,-67.25,p_solar_Argentina_AR385,Argentina,Atacama/Andes
-27.25,-67.25,p_solar_Argentina_AR386,Argentina,Atacama/Andes
-27.75,-67.25,p_solar_Argentina_AR387,Argentina,Gran Chaco
-28.25,-67.25,p_solar_Argentina_AR388,Argentina,Gran Chaco
-30.75,-67.25,p_solar_Argentina_AR393,Argentina,Monte Desert
-31.25,-67.25,p_solar_Argentina_AR394,Argentina,Monte Desert
-31.75,-67.25,p_solar_Argentina_AR395,Argentina,Monte Desert
-32.25,-67.25,p_solar_Argentina_AR396,Argentina,Monte Desert
-32.75,-67.25,p_solar_Argentina_AR397,Argentina,Monte Desert
-33.25,-67.25,p_solar_Argentina_AR398,Argentina,Monte Desert
-33.75,-67.25,p_solar_Argentina_AR399,Argentina,Monte Desert
-34.25,-67.25,p_solar_Argentina_AR400,Argentina,Monte Desert
-34.75,-67.25,p_solar_Argentina_AR401,Argentina,Monte Desert
-35.25,-67.25,p_solar_Argentina_AR402,Argentina,Monte Desert
-35.75,-67.25,p_solar_Argentina_AR403,Argentina,Monte Desert
-36.25,-67.25,p_solar_Argentina_AR404,Argentina,Monte Desert
-36.75,-67.25,p_solar_Argentina_AR405,Argentina,Monte Desert
-37.25,-67.25,p_solar_Argentina_AR406,Argentina,Monte Desert
-37.75,-67.25,p_solar_Argentina_AR407,Argentina,Monte Desert
-38.25,-67.25,p_solar_Argentina_AR408,Argentina,Monte Desert
-38.75,-67.25,p_solar_Argentina_AR409,Argentina,Monte Desert
-39.25,-67.25,p_solar_Argentina_AR410,Argentina,Monte Desert
-39.75,-67.25,p_solar_Argentina_AR411,Argentina,Monte Desert
-40.25,-67.25,p_solar_Argentina_AR412,Argentina,Monte Desert
-40.75,-67.25,p_solar_Argentina_AR413,Argentina,Monte Desert
-41.25,-67.25,p_solar_Argentina_AR414,Argentina,Monte Desert
-41.75,-67.25,p_solar_Argentina_AR415,Argentina,Monte Desert
-42.25,-67.25,p_solar_Argentina_AR416,Argentina,Monte Desert
-42.75,-67.25,p_solar_Argentina_AR417,Argentina,Monte Desert
-43.25,-67.25,p_solar_Argentina_AR418,Argentina,Monte Desert
-43.75,-67.25,p_solar_Argentina_AR419,Argentina,Monte Desert
-44.25,-67.25,p_solar_Argentina_AR420,Argentina,Monte Desert
-44.75,-67.25,p_solar_Argentina_AR421,Argentina,Monte Desert
-45.25,-67.25,p_solar_Argentina_AR422,Argentina,Monte Desert
-46.75,-67.25,p_solar_Argentina_AR423,Argentina,Monte Desert
-47.25,-67.25,p_solar_Argentina_AR424,Argentina,Monte Desert
-22.75,-66.75,p_solar_Argentina_AR430,Argentina,Atacama/Andes
