Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3
-8.25,-35.75,p_wind_Brazil_BR2828,Brazil,1797,0.07,2.622331256,0.3310056921675786,0.27012909836065574,0.22882377049180327,0.2583339025500911,0.27993636156648455,0.31296869307832426,0.28836099726775954,0.24075261839708564,0.24068670309653917,0.33637636612021854
-8.75,-35.75,p_wind_Brazil_BR2829,Brazil,1737,0.08,0.503666091,0.3068770491803287,0.24737841530054647,0.20985530510018213,0.23669045992714025,0.25617839253187613,0.28891245446265934,0.26400432604735885,0.21994137067395267,0.22258105646630238,0.3131432149362477
-9.25,-35.75,p_wind_Brazil_BR2830,Brazil,1653,0.11,0.051279119,0.3180256147540976,0.2575426912568306,0.21821220400728597,0.24762739071038253,0.2698679417122041,0.29986498178506377,0.2782428278688524,0.23182775500910746,0.22720161657559199,0.3192241575591985
-5.75,-35.25,p_wind_Brazil_BR2831,Brazil,996,0.39,6.175330525,0.4822908697632071,0.4177642304189435,0.35606705373406194,0.4018572404371585,0.4355437158469946,0.46536976320582885,0.4443622495446266,0.37944831511839705,0.3608080601092896,0.4814741575591986
-6.25,-35.25,p_wind_Brazil_BR2832,Brazil,1584,0.28,26.80672772,0.453073884335156,0.3876857923497268,0.3287476092896175,0.37113456284153007,0.40237340619307826,0.4354913479052824,0.41212978142076506,0.3489922586520947,0.3365783242258652,0.45501309198542805
-6.75,-35.25,p_wind_Brazil_BR2833,Brazil,1821,0.19,48.83838,0.4188894581056461,0.3537561475409836,0.29921197632058283,0.3376967213114754,0.36601377504553734,0.4008217213114754,0.37605270947176683,0.31647370218579235,0.30922301912568306,0.42274168943533696
-7.25,-35.25,p_wind_Brazil_BR2834,Brazil,1833,0.15,22.19893687,0.3892411202185796,0.3251375227686703,0.2749533242258652,0.3103279826958106,0.3363397085610201,0.3710302823315118,0.3460181010928962,0.29026172586520943,0.28585314207650275,0.3937624089253188
-7.75,-35.25,p_wind_Brazil_BR2835,Brazil,1752,0.14,2.895036254,0.3648296903460843,0.3016547131147541,0.2550573770491803,0.2884206511839708,0.3132471539162113,0.34652322404371594,0.3226331967213115,0.2698676001821494,0.2652706056466302,0.36811634790528236
-8.25,-35.25,p_wind_Brazil_BR2836,Brazil,1704,0.15,0.716681919,0.3285579462659383,0.2671198770491804,0.2260846994535519,0.2562753870673953,0.27900819672131155,0.3102271174863388,0.28779303278688523,0.23978620218579236,0.23563000910746812,0.3304814435336976
-8.75,-35.25,p_wind_Brazil_BR2837,Brazil,1371,0.17,33.3342748,0.3021668943533689,0.24264811020036428,0.20589663023679416,0.2343521174863388,0.25619307832422583,0.2840784380692168,0.26418943533697636,0.21987260928961752,0.21348235428051,0.3013021402550091
-48.25,-75.25,p_wind_Chile_CL1,Chile,459,0.24,555.2494194,0.449091416211294,0.3975165072859745,0.35171277322404376,0.37856500455373404,0.3928097677595629,0.4351762295081967,0.39736691712204003,0.35004906648451733,0.3799331739526412,0.47423884335154826
