period,tx_line,twh,technology,scs
2025,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2025,Brazil_Uruguay,-0.28809479989175213,Trans_loss,trd_vestas3_1axis
2030,Argentina_Brazil,-0.10988607723149046,Trans_loss,trd_vestas3_1axis
2030,Argentina_Chile,-0.00022622299999999998,Trans_loss,trd_vestas3_1axis
2030,Argentina_Paraguay,-0.00096426,Trans_loss,trd_vestas3_1axis
2030,Argentina_Uruguay,-0.12024945584319911,Trans_loss,trd_vestas3_1axis
2030,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2030,Brazil_Uruguay,-0.39004868077759014,Trans_loss,trd_vestas3_1axis
2035,Argentina_Brazil,-0.1202796,Trans_loss,trd_vestas3_1axis
2035,Argentina_Chile,-0.000222826,Trans_loss,trd_vestas3_1axis
2035,Argentina_Paraguay,-0.00096426,Trans_loss,trd_vestas3_1axis
2035,Argentina_Uruguay,-0.11887758939161241,Trans_loss,trd_vestas3_1axis
2035,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2035,Brazil_Uruguay,-0.32985388934607374,Trans_loss,trd_vestas3_1axis
2040,Argentina_Brazil,-0.12485186533935125,Trans_loss,trd_vestas3_1axis
2040,Argentina_Chile,-0.00022090174999999998,Trans_loss,trd_vestas3_1axis
2040,Argentina_Paraguay,-0.00096426,Trans_loss,trd_vestas3_1axis
2040,Argentina_Uruguay,-0.12294992845370487,Trans_loss,trd_vestas3_1axis
2040,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2040,Brazil_Uruguay,-0.3849970544240036,Trans_loss,trd_vestas3_1axis
2045,Argentina_Brazil,-0.1315818,Trans_loss,trd_vestas3_1axis
2045,Argentina_Chile,-0.00012758099999999998,Trans_loss,trd_vestas3_1axis
2045,Argentina_Paraguay,-0.00093456,Trans_loss,trd_vestas3_1axis
2045,Argentina_Uruguay,-0.12432186150168237,Trans_loss,trd_vestas3_1axis
2045,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2045,Brazil_Uruguay,-0.3558928980213575,Trans_loss,trd_vestas3_1axis
2050,Argentina_Brazil,-0.1463616,Trans_loss,trd_vestas3_1axis
2050,Argentina_Chile,-0.00014349099999999999,Trans_loss,trd_vestas3_1axis
2050,Argentina_Paraguay,-0.00086966,Trans_loss,trd_vestas3_1axis
2050,Argentina_Uruguay,-0.12696691479621627,Trans_loss,trd_vestas3_1axis
2050,Brazil_Paraguay,-0.0,Trans_loss,trd_vestas3_1axis
2050,Brazil_Uruguay,-0.3346353072588447,Trans_loss,trd_vestas3_1axis
2020,Argentina_Brazil,-0.13155040051676087,Trans_loss,trd_siemens36_1axis
2020,Argentina_Chile,-0.00031368499999999996,Trans_loss,trd_siemens36_1axis
2020,Argentina_Paraguay,-0.0014091824999999999,Trans_loss,trd_siemens36_1axis
2020,Argentina_Uruguay,-0.10899638625668774,Trans_loss,trd_siemens36_1axis
2020,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2020,Brazil_Uruguay,-0.18988737849841922,Trans_loss,trd_siemens36_1axis
2025,Argentina_Brazil,-0.0882819,Trans_loss,trd_siemens36_1axis
2025,Argentina_Chile,-0.000250346,Trans_loss,trd_siemens36_1axis
2025,Argentina_Paraguay,-0.00100485,Trans_loss,trd_siemens36_1axis
2025,Argentina_Uruguay,-0.1187226369780027,Trans_loss,trd_siemens36_1axis
2025,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2025,Brazil_Uruguay,-0.27671194680749683,Trans_loss,trd_siemens36_1axis
2030,Argentina_Brazil,-0.10988607723149049,Trans_loss,trd_siemens36_1axis
2030,Argentina_Chile,-0.00022493299999999997,Trans_loss,trd_siemens36_1axis
2030,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens36_1axis
2030,Argentina_Uruguay,-0.11065834324630408,Trans_loss,trd_siemens36_1axis
2030,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2030,Brazil_Uruguay,-0.39032572513714214,Trans_loss,trd_siemens36_1axis
2035,Argentina_Brazil,-0.1311093,Trans_loss,trd_siemens36_1axis
2035,Argentina_Chile,-0.000222826,Trans_loss,trd_siemens36_1axis
2035,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens36_1axis
2035,Argentina_Uruguay,-0.12555130806982226,Trans_loss,trd_siemens36_1axis
2035,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2035,Brazil_Uruguay,-0.309403842475665,Trans_loss,trd_siemens36_1axis
2040,Argentina_Brazil,-0.12449664067826956,Trans_loss,trd_siemens36_1axis
2040,Argentina_Chile,-0.00021823574999999998,Trans_loss,trd_siemens36_1axis
2040,Argentina_Paraguay,-0.00096426,Trans_loss,trd_siemens36_1axis
2040,Argentina_Uruguay,-0.12451893623018433,Trans_loss,trd_siemens36_1axis
2040,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
2040,Brazil_Uruguay,-0.3407680980463451,Trans_loss,trd_siemens36_1axis
2045,Argentina_Brazil,-0.1310148,Trans_loss,trd_siemens36_1axis
2045,Argentina_Chile,-0.00012758099999999998,Trans_loss,trd_siemens36_1axis
2045,Argentina_Paraguay,-0.00093456,Trans_loss,trd_siemens36_1axis
2045,Argentina_Uruguay,-0.12538493114340285,Trans_loss,trd_siemens36_1axis
2045,Brazil_Paraguay,-0.0,Trans_loss,trd_siemens36_1axis
