type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2025,Argentina,0.04898,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.04898
export,2025,Brazil,0.03928,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.03928
export,2025,Chile,4e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-4e-05
export,2025,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00027
export,2025,Uruguay,0.00564,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00564
export,2030,Argentina,0.05901,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.05901
export,2030,Brazil,0.05445,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.05445
export,2030,Chile,9e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-9e-05
export,2030,Paraguay,0.00028,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00028
export,2030,Uruguay,0.00216,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00216
export,2035,Argentina,0.06851,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.06851
export,2035,Brazil,0.04622,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.04622
export,2035,Chile,7e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-7e-05
export,2035,Paraguay,0.00028,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00028
export,2035,Uruguay,0.00377,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00377
export,2040,Argentina,0.06984,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.06984
export,2040,Brazil,0.04072,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.04072
export,2040,Chile,5e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-5e-05
export,2040,Paraguay,0.00028,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00028
export,2040,Uruguay,0.00757,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00757
export,2045,Argentina,0.06675,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.06675
export,2045,Brazil,0.03513,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.03513
export,2045,Chile,4e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-4e-05
export,2045,Paraguay,0.00017,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00017
export,2045,Uruguay,0.01196,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.01196
export,2050,Argentina,0.05905,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.05905
export,2050,Brazil,0.02988,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.02988
export,2050,Chile,3e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-3e-05
export,2050,Paraguay,0.00017,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00017
export,2050,Uruguay,0.01886,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.01886
import,2020,Argentina,0.01874,prm15_fix_wcost_re1_c2p1_tnt1,1,0.01874
import,2020,Brazil,0.05002,prm15_fix_wcost_re1_c2p1_tnt1,1,0.05002
import,2020,Chile,0.00019,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00019
import,2020,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0
import,2020,Uruguay,0.00981,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00981
import,2025,Argentina,0.02107,prm15_fix_wcost_re1_c2p1_tnt1,1,0.02107
import,2025,Brazil,0.03787,prm15_fix_wcost_re1_c2p1_tnt1,1,0.03787
import,2025,Chile,0.00013,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00013
import,2025,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0
import,2025,Uruguay,0.03514,prm15_fix_wcost_re1_c2p1_tnt1,1,0.03514
import,2030,Argentina,0.01122,prm15_fix_wcost_re1_c2p1_tnt1,1,0.01122
import,2030,Brazil,0.02988,prm15_fix_wcost_re1_c2p1_tnt1,1,0.02988
import,2030,Chile,8e-05,prm15_fix_wcost_re1_c2p1_tnt1,1,8e-05
import,2030,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0
import,2030,Uruguay,0.07481,prm15_fix_wcost_re1_c2p1_tnt1,1,0.07481
import,2035,Argentina,0.00692,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00692
import,2035,Brazil,0.03826,prm15_fix_wcost_re1_c2p1_tnt1,1,0.03826
import,2035,Chile,9e-05,prm15_fix_wcost_re1_c2p1_tnt1,1,9e-05
import,2035,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0
import,2035,Uruguay,0.07358,prm15_fix_wcost_re1_c2p1_tnt1,1,0.07358
import,2040,Argentina,0.00707,prm15_fix_wcost_re1_c2p1_tnt1,1,0.00707
import,2040,Brazil,0.04093,prm15_fix_wcost_re1_c2p1_tnt1,1,0.04093
import,2040,Chile,0.0001,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0001
import,2040,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_tnt1,1,0.0
