lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Brazil,2045,0.49971982499999906,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2050,0.4886176499999983,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2020,0.006447309000000004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2025,0.004079690999999999,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2030,0.003609086250000004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2035,0.005684861000000014,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2040,0.004632209750000001,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2045,0.006080111999999989,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Chile,2050,0.006372733000000014,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2020,0.008568907500000002,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2025,0.008198949999999984,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2030,0.007876320000000011,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2035,0.008073385000000004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2040,0.007567004999999999,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2045,0.008110934999999996,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2050,0.003528147165109455,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2020,1.3240303988164932,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2025,1.1096650162209976,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2030,1.2645197076045833,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2035,1.4550347635603318,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1
