period,load_zone,technology,twh,scenario,emis_policy,exist_trd,op_char,fixed_pv,turbine
2035.0,Argentina,Solar,17.75526874092949,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Trans_loss,-0.2175833243557366,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Argentina,Wind,14.293728137647909,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,BNG,93.10271177920876,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Curtailment,4.968512188556045,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Fossil,120.2072954348246,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Hydro,561.3469734880825,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Solar,94.23623810388138,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Trans_loss,-0.3203213618949737,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Brazil,Wind,113.09830585994396,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,BNG,2.4467085580764008,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Curtailment,1.389797402162607e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Fossil,68.94003092361955,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Hydro,24.376078632,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Solar,16.019029918717848,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Chile,Wind,9.729895828586208,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,BNG,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Curtailment,27.394047829999984,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Fossil,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Hydro,45.38375875,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Solar,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Paraguay,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,BNG,2.4997998462828552,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Curtailment,0.0195740518720188,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Fossil,0.3067567371998082,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Hydro,5.71909914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Solar,4.245451285986452,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2035.0,Uruguay,Wind,7.726258166136597,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,BNG,15.4806471,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Curtailment,4.295387823205488e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Fossil,171.47259736379144,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Hydro,52.15642341,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Solar,17.75526874092949,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Trans_loss,-0.2599496702816483,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Argentina,Wind,14.293728137647909,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,BNG,94.57249139999996,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Curtailment,3.760388026887544,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Fossil,168.72784444867995,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Hydro,608.3852505623049,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Solar,127.2291070611153,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Trans_loss,-0.2945476476318926,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Brazil,Wind,123.02826673861551,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,BNG,1.6411810987577586,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Curtailment,3.792479899566992e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Fossil,86.24900733493818,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Hydro,24.376078632,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Solar,16.019029918717848,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Chile,Wind,9.729895828586208,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,BNG,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Curtailment,15.187947304999982,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Fossil,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Hydro,57.589859275,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Solar,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Paraguay,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,BNG,2.29946881881426,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Curtailment,0.2195945852418431,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Fossil,0.0495525641945423,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Hydro,5.719099139999999,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Solar,4.800609729232744,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2040.0,Uruguay,Wind,12.232746614587317,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,BNG,15.4554345,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Curtailment,9.808467260619124e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Fossil,221.11111165333935,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Hydro,52.305611826,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Solar,17.75526874092949,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Trans_loss,-0.2639362998326713,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Argentina,Wind,14.293728137647909,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,BNG,88.66471589999995,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Curtailment,-1.3765071166939154e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Fossil,228.5123991711804,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Hydro,617.49914283,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Solar,184.6701011831421,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Trans_loss,-0.2596700849449705,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Brazil,Wind,162.4527821692069,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,BNG,1.0552359920667986,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Curtailment,3.8444667588288805e-15,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Fossil,105.58226286262914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Hydro,24.376078632,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Solar,16.019029918717848,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Chile,Wind,9.729895828586208,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,BNG,0.0723879749999995,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Battery,-0.4754880263036077,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Curtailment,4.765715600193427,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Fossil,3.261097352651864,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Hydro,68.46572655274585,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Solar,1.346044935442521,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Paraguay,Wind,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,BNG,2.051278119671465,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Battery,0.0,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Curtailment,0.2230287893474035,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Fossil,0.0578305587718041,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Hydro,5.71909914,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Solar,5.269455190985049,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2045.0,Uruguay,Wind,17.73687497490271,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
2050.0,Argentina,BNG,15.4544823,prm15_wcost_re1_c2p1_t1,False,True,1,False,1
