index,period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,sc_name
31,2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,76.815617194031,,,104.603,54.489,1.99,0.0,0.0,128.7297,0.0,28.587,prm15_wcost_re3_c2p1_t1
32,2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,17.19,0.04,0.0,6.949,0.575,,,0.0,6.56687939369794,0.0,0.0,prm15_wcost_re3_c2p1_t1
33,2050,Paraguay,4.017549092340296,0.022,0.0,,0.0,0.025,0.125,,2.996466573454662,,,8.81,,,,,6.146495324876189,,0.0,prm15_wcost_re3_c2p1_t1
34,2050,Uruguay,0.322110930422094,0.425,0.0,,0.0,0.084,0.0,1.106,0.3197973074931815,,,1.538,,,,0.0,4.6206908889171565,0.0,6.203921787464457,prm15_wcost_re3_c2p1_t1
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re4_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re4_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re4_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re4_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re4_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.0,,,11.31,0.8,1.755,0.0,0.439,7.1343106060930985,1.609,0.0,prm15_wcost_re4_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,13.61374167956983,,,104.603,11.585,1.99,0.0,2.074,72.91397229891427,1.487,2.346,prm15_wcost_re4_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.7348733204301052,0.04,0.0,6.949,0.275,,,3.258,2.8322,2.507,0.0,prm15_wcost_re4_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re4_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.5899302899710647,1.514,0.0,prm15_wcost_re4_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,16.750432102998975,,,11.31,1.171,1.755,0.0,0.439,7.1343106060930985,1.609,0.0,prm15_wcost_re4_c2p1_t1
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,46.89598824687652,,,104.603,37.966,1.99,0.0,2.074,82.47857785562405,1.487,2.346,prm15_wcost_re4_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.336812389442816,0.04,0.0,6.949,0.575,,,3.258,2.8322,2.507,0.0,prm15_wcost_re4_c2p1_t1
23,2040,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re4_c2p1_t1
24,2040,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,2.883659749862236,1.514,0.9115380854531288,prm15_wcost_re4_c2p1_t1
