period,load_zone,technology,twh,scenario
2030,Paraguay,Hydro,35.765128075,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,Solar,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Paraguay,Wind,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,BNG,2.564662499999999,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Curtailment,0.02298500383253534,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Fossil,0.331125375851142,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Hydro,5.71909914,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Solar,2.3333167498052956,prm15_wcost_re19_c2p1_co2_cut90p_t1
2030,Uruguay,Wind,5.875972191655173,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,BNG,15.58128014999999,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Curtailment,3.023953854956249,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Fossil,29.178254952940357,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Hydro,52.143205441534654,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Solar,9.710027157861472,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Trans_loss,-0.2651820169572454,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Argentina,Wind,122.12462467285442,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,BNG,77.6012738435232,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Curtailment,10.62916405009786,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Fossil,80.94490467410488,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Hydro,572.7714812488858,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Solar,146.9457063081289,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Trans_loss,-0.38367740999493755,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Brazil,Wind,104.4243064661688,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,BNG,5.158645163983868,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Curtailment,0.047166275501991865,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Fossil,51.43467547136232,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Hydro,28.405002431999996,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Solar,26.7801541880676,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Chile,Wind,9.729895828586207,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,BNG,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Curtailment,27.394106419999986,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Fossil,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Hydro,45.383700160000004,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Solar,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Paraguay,Wind,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,BNG,2.2925180473599904,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Curtailment,0.14671421404279758,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Fossil,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Hydro,5.71909914,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Solar,4.009313760324835,prm15_wcost_re19_c2p1_co2_cut90p_t1
2035,Uruguay,Wind,8.154379344264655,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,BNG,15.53217974999998,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Curtailment,5.902599817629022,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Fossil,29.01765823981651,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Hydro,62.969928215879776,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Solar,13.00740589437919,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Trans_loss,-0.22386768941543245,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Argentina,Wind,149.57419606472814,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Brazil,BNG,69.83478383098718,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Brazil,Battery,0.0,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Brazil,Curtailment,23.844899971582514,prm15_wcost_re19_c2p1_co2_cut90p_t1
2040,Brazil,Fossil,58.92654097837736,prm15_wcost_re19_c2p1_co2_cut90p_t1
