period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,capacity_cost_existing,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,capacity_cost_existing_per_mwh,scs,scs_id
2025,Chile,387053879.1446467,1180750763.7857716,0.0,859718953.0803146,,94186385.825,28.88027941796833,3622406248.3741913,0.30662902249618545,2427523596.0107327,25.77361446399605,4.109446134431782,12.53632097084209,0.0,9.127847358722182,,38.45997716808762,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2025,Paraguay,327500129.60999995,0.0,0.0,110678644.76154175,,28176675.1,0.0,1263512033.2065654,0.0,438178774.37154174,15.551117114295069,11.623093514323127,0.0,0.0,3.928023599971941,,44.84248154625474,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2025,Uruguay,40180455.774399996,71228551.02388798,217638.09911764262,154103578.15068492,,16125299.375,0.17638440298799996,651561439.1714932,0.010938364546673724,265730223.04809052,16.479087728446626,2.491764948977885,4.417192472985512,0.013496685801384857,9.556633620681843,,40.40616077997579,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2030,Argentina,1069067310.2338258,1812414025.4283319,0.0,1825656071.8951287,0.0,191675397.175,44.978461317005554,5260900830.638304,0.23465954410382742,4707137407.557286,24.557859156330117,5.57748843091096,9.455642467111177,0.0,9.524728258307983,0.0,27.446928026110157,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2030,Brazil,3602676087.0818405,4281703519.0766144,0.0,13034876204.90808,0.0,858175727.7,40.27341832263217,23126130036.50757,0.046929104404489635,20919255811.066536,24.376424473262965,4.1980633695354985,4.989308577337678,0.0,15.189052526389787,0.0,26.94801226607515,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2030,Chile,452992172.2175617,1383358376.042465,0.0,1074599475.4266014,,106979753.05,33.9800738745419,3622406248.3741913,0.31763088720779115,2910950023.6866283,27.210289243480624,4.234372947242111,12.931029812677858,0.0,10.044886483560653,,33.86067124945743,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2030,Paraguay,327500129.6099999,0.0,0.0,110678644.76154175,,35756362.075,0.0,1263512033.2065654,0.0,438178774.3715416,12.254568108815125,9.159212811500758,0.0,0.0,3.095355297314366,,35.33670541081087,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2030,Uruguay,41931166.1920753,96251206.94243294,68998.56981396563,165613002.61374652,,19225896.9,0.39076628368262334,651561439.1714932,0.020324996316953274,303864374.31806874,15.80495182610018,2.180973215979084,5.006331171079616,0.003588834901843546,8.614058604139634,,33.88978119254833,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2035,Argentina,1237204886.6899698,2263104955.607036,0.0,2663097786.130221,0.0,227100883.425,55.71891289238407,5008257183.020065,0.24534872807214428,6163407628.427227,27.139514102606697,5.4478206690840825,9.965196618684338,0.0,11.726496814838274,0.0,22.05300616839758,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2035,Brazil,4023783057.8573356,6485673158.157848,0.0,16781033360.099632,0.0,980934147.575,63.82546292271471,22903000262.091183,0.06506600170918687,27290489576.114815,27.82091911427545,4.101991013162977,6.611731454340026,0.0,17.10719664677245,0.0,23.34815269578539,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
