scs_id_x,costs_per_mwh_x,MtCO2_x,scs_id_y,costs_per_mwh_y,MtCO2_y,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re19_c2p1_co2_cut90p_t1,50.35541986716156,10.18397099999995,prm15_wcost_re19_c2p1_t1,38.17729153593488,398.0316614219863,Region Wide,Fixed,12.17812833122668,-387.8476904219864
prm15_wcost_re20_c2p1_co2_cut90p_t1,43.24753549735303,10.183970999999987,prm15_wcost_re20_c2p1_t1,36.40000110382787,309.39381015192987,Region Wide,Fixed,6.847534393525159,-299.2098391519299
prm15_wcost_re1_c2p1_co2_cut90p_t1,44.55762865635129,3.2147291238358995,prm15_wcost_re1_c2p1_t1,36.34637564652239,106.21996004736874,Argentina,Single Axis,8.211253009828901,-103.00523092353285
prm15_wcost_re1_c2p1_co2_cut90p_t1,38.87113494223287,3.704814436119823,prm15_wcost_re1_c2p1_t1,35.27496124317383,93.65509496095748,Brazil,Single Axis,3.596173699059044,-89.95028052483767
prm15_wcost_re1_c2p1_co2_cut90p_t1,67.2483743138598,3.062787572241598,prm15_wcost_re1_c2p1_t1,42.288582938948814,55.30452166499029,Chile,Single Axis,24.959791374910985,-52.24173409274869
prm15_wcost_re1_c2p1_co2_cut90p_t1,25.70041634189793,0.2016398678026806,prm15_wcost_re1_c2p1_t1,23.63002653891438,3.0766540759261445,Paraguay,Single Axis,2.070389802983552,-2.875014208123464
prm15_wcost_re1_c2p1_co2_cut90p_t1,50.82131412669792,0.0,prm15_wcost_re1_c2p1_t1,48.95136748694605,0.0563233302557163,Uruguay,Single Axis,1.8699466397518734,-0.0563233302557163
prm15_wcost_re2_c2p1_co2_cut90p_t1,26.62949940876313,0.2030360426524727,prm15_wcost_re2_c2p1_t1,38.984305672175566,124.97805251586676,Paraguay,Single Axis,-12.354806263412435,-124.7750164732143
prm15_wcost_re2_c2p1_co2_cut90p_t1,62.37037646711912,2.4779320313988813,prm15_wcost_re2_c2p1_t1,35.44584016215625,138.97938819770843,Chile,Single Axis,26.92453630496287,-136.50145616630954
prm15_wcost_re2_c2p1_co2_cut90p_t1,54.3493570568513,0.0147485218908992,prm15_wcost_re2_c2p1_t1,42.32169012283912,55.30452166499028,Uruguay,Single Axis,12.027666934012174,-55.28977314309938
prm15_wcost_re2_c2p1_co2_cut90p_t1,50.83359037405865,0.5779696679857023,prm15_wcost_re2_c2p1_t1,24.270355356426336,3.863021745770692,Argentina,Single Axis,26.563235017632316,-3.28505207778499
prm15_wcost_re2_c2p1_co2_cut90p_t1,42.84917747702271,6.910284736071968,prm15_wcost_re2_c2p1_t1,51.68723714818852,0.2975649549045054,Brazil,Single Axis,-8.838059671165816,6.6127197811674625
prm15_wcost_re3_c2p1_co2_cut90p_t1,47.76202432350246,4.539400705174992,prm15_wcost_re3_c2p1_t1,41.55256479150706,0.837964173096036,Brazil,Single Axis,6.2094595319954,3.7014365320789557
prm15_wcost_re3_c2p1_co2_cut90p_t1,74.16340759517824,2.0675632266943884,prm15_wcost_re3_c2p1_t1,24.270355356426336,3.863021745770692,Chile,Single Axis,49.893052238751906,-1.7954585190763037
prm15_wcost_re3_c2p1_co2_cut90p_t1,27.532577881102817,0.2270961569829192,prm15_wcost_re3_c2p1_t1,40.276777006470034,124.84518997691916,Paraguay,Single Axis,-12.744199125367217,-124.61809381993623
prm15_wcost_re3_c2p1_co2_cut90p_t1,45.77242970475286,0.0219610523202986,prm15_wcost_re3_c2p1_t1,37.16624797244872,178.78598639657991,Uruguay,Single Axis,8.606181732304137,-178.7640253442596
prm15_wcost_re3_c2p1_co2_cut90p_t1,44.15987990208576,3.327949858827393,prm15_wcost_re3_c2p1_t1,33.41925309210801,55.30452166499028,Argentina,Single Axis,10.740626809977755,-51.97657180616289
