scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re3_c2p1_tn,14257.95069841,60770.14163542,76805.50000001,7852.800000013,0.0,4435.8784418,25377.0,0.0,372.817088,4716.0,0.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_tn,13953.5249914,60417.4567937,75530.499999958,7693.19999998,0.0,4646.50043382,33713.9999996,0.0,1773.0960651999999,6576.0,0.0,0,0,9,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_tn,501.9,46203.6,65739.601091596,5621.4,0.0,3339.56088201,35039.3063558,0.0,5287.188575,5031.0,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_tn,0.0,36012.09999999,41957.3,516.7,0.0,3402.008740211,78649.4065629,0.0,7647.5922941,18173.94870741,5752.8277605,0,0,17,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,0.0,36926.79999997,44714.9,932.8011716999999,0.0,3451.51538461,71787.95420635,0.0,7161.0000005,16374.5120154,5786.3116955000005,0,0,15,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,0.0,38296.00000001,49887.19999996,1592.8,0.0,3273.130526714,66326.2432137,0.0,7113.195613,12741.000000059,5896.7769745000005,0,0,12,1,"NoCut,Full",001
prm15_wcost_re11_c2p1_tn,0.0,17333.5,3723.2,0.0,0.0,2104.8,104689.1173195,0.0,9837.5010958,19448.64297062,9486.9903542,0,0,11,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_tn,0.0,26363.07313864,22687.1,0.0,0.0,2332.88672106,94659.000000006,0.0,10188.984305599999,19194.7066761,7010.9064641,0,0,16,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,239.0,42539.30000003,54168.849839433,2914.93340222,0.0,3089.6,59480.999999499996,0.0,6192.0000573,11846.01650452,4185.0,0,0,14,1,"NoCut,Full",001
prm15_wcost_re10_c2p1_tn,10295.21823896,41542.29999997,52708.299999973,2013.1,0.0,4086.159298102,88823.4942819,0.0,7376.1243525,20331.6281662,12750.0,0,0,10,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_co2_cut90p_t1,26767.38532427589,48598.2,80359.38481820044,7656.3,139.7,4965.738288763258,171020.16874742674,5466.0,4282.587154236233,59526.7752484686,83047.75759467491,1,1,11,1,"90%Cut,Lim",111
prm15_wcost_re12_c2p1_co2_cut90p_t1,40451.535196604986,48974.4,84364.6,10264.2,2587.7,5498.935287214651,164016.76183108508,4164.0,4091.7129721318465,64750.3593330724,85842.26508713164,1,1,12,1,"90%Cut,Lim",111
prm15_wcost_re3_c2p1_co2_cut90p_t1,54927.30836144523,79036.4,89448.54205745473,12075.11366333866,12698.6,5564.5801561258995,119900.50501544285,654.0,3643.8689135955656,52514.0340709778,67359.01633895609,1,1,3,0,"90%Cut,Lim",110
prm15_wcost_re8_c2p1_co2_cut90p_t1,54229.493237914496,78082.9,89476.75552757263,11939.965045801102,10754.9,5309.378566511508,128103.44006544755,1254.0,3590.676922561538,53154.04403742,68701.09249075339,1,1,8,0,"90%Cut,Lim",110
prm15_wcost_re5_c2p1_co2_cut90p_t1,52421.106510581165,72492.1,85541.41204304411,11456.937268673937,6563.6,4906.6,154872.0,2397.0,3377.9084346997256,60406.14682376228,70560.63270372101,1,1,5,0,"90%Cut,Lim",110
prm15_wcost_re13_c2p1_co2_cut90p_t1,43373.87508870347,58089.18596459655,84364.6,11918.0,4295.7,5697.993048752997,147989.22191455038,1890.0,3883.575666491688,57568.78507781205,86512.2531755543,1,1,13,1,"90%Cut,Lim",111
prm15_wcost_re4_c2p1_co2_cut90p_t1,53458.01304950465,76901.66967380546,87501.6094528616,11711.109531608967,7124.157586983447,5037.551736029974,142446.30551430755,1890.0,3445.900749174372,60360.241386377405,74310.94668577227,1,1,4,0,"90%Cut,Lim",110
prm15_wcost_re9_c2p1_co2_cut90p_t1,54551.973739748886,79020.9278229527,88951.4,12061.083137729123,11041.5,5673.483337917368,118459.95563530255,3057.0,3542.838521690292,75445.39424214169,69754.83097806376,1,1,9,0,"90%Cut,Lim",110
prm15_wcost_re14_c2p1_co2_cut90p_t1,40659.143635721506,48974.4,84364.6,10787.599402869211,2587.7,5535.518068949216,162867.55416762663,1890.0,4031.1323388154815,59717.1547225029,89439.64196549733,1,1,14,1,"90%Cut,Lim",111
prm15_wcost_re7_c2p1_co2_cut90p_t1,51707.68613532651,68374.40302572097,84364.6,11044.202747232897,6018.4,5002.104186456867,160372.93995426226,2397.0,3382.244762046632,61139.62185937908,67282.687408479,1,1,7,0,"90%Cut,Lim",110
prm15_wcost_re6_c2p1_co2_cut90p_t1,50000.68904786478,63572.58371577091,84364.6,10341.44473001628,4690.0,4577.98123627384,151587.03506389307,3348.0,3254.7331078818797,60902.1245410171,64489.034443390985,1,1,6,0,"90%Cut,Lim",110
prm15_wcost_re18_c2p1_co2_cut90p_t1,42307.81226487095,52100.5658673172,84364.6,11168.7,2444.8,5519.457479399002,150245.03230745532,1254.0,3984.3768302643857,56505.25415195262,83868.85145072115,1,1,18,1,"90%Cut,Lim",111
prm15_wcost_re10_c2p1_co2_cut90p_t1,47036.05458116096,57350.53972533734,83477.7,9440.2,3015.3,4518.7815852447275,131303.0143177098,3846.0,3306.0138696280374,70417.50183460637,64587.191368244356,1,1,10,0,"90%Cut,Lim",110
