period,scs_id,wt_costs_per_mwh,MtCO2
2025,prm15_wcost_re3_c2p1_co2_cut90p_t1,21.99627189089484,96.74772499999979
2025,prm15_wcost_re3_c2p1_t1,22.01559150995437,112.54517121831918
2025,prm15_wcost_re4_c2p1_co2_cut90p_t1,21.980558076428704,96.74772499999962
2025,prm15_wcost_re4_c2p1_t1,22.00992894236638,111.74767212327481
2025,prm15_wcost_re5_c2p1_co2_cut90p_t1,21.913077612976736,96.7477250000002
2025,prm15_wcost_re5_c2p1_t1,21.949723658541846,109.75434466919313
2025,prm15_wcost_re6_c2p1_co2_cut90p_t1,21.754010551667882,96.747725
2025,prm15_wcost_re6_c2p1_t1,21.81706340187748,107.18528195236888
2025,prm15_wcost_re7_c2p1_co2_cut90p_t1,21.888846966530494,96.74772500000006
2025,prm15_wcost_re7_c2p1_t1,21.910443861548202,108.32263841143491
2025,prm15_wcost_re8_c2p1_co2_cut90p_t1,21.995756030627923,96.74772499999936
2025,prm15_wcost_re8_c2p1_t1,22.01559150995437,112.54517121831924
2025,prm15_wcost_re9_c2p1_co2_cut90p_t1,21.9991694554005,96.74772499999963
2025,prm15_wcost_re9_c2p1_t1,22.015591509954373,112.54517121831928
2030,prm15_wcost_re10_c2p1_co2_cut90p_t1,23.66216653143306,86.56375400000033
2030,prm15_wcost_re10_c2p1_t1,23.64377111914497,111.50357633828168
2030,prm15_wcost_re11_c2p1_co2_cut90p_t1,24.246680325629885,86.56375400000103
2030,prm15_wcost_re11_c2p1_t1,24.161634743373988,119.62271979786225
2030,prm15_wcost_re12_c2p1_co2_cut90p_t1,25.389706891020612,86.5637540000005
2030,prm15_wcost_re12_c2p1_t1,25.020425022872747,142.11483945050043
2030,prm15_wcost_re13_c2p1_co2_cut90p_t1,26.20934683496286,86.56375400000088
2030,prm15_wcost_re13_c2p1_t1,25.460478650053812,163.77317066764112
2030,prm15_wcost_re14_c2p1_co2_cut90p_t1,25.641375647449212,86.56375400000047
2030,prm15_wcost_re14_c2p1_t1,25.16365976376809,148.3455138816547
2030,prm15_wcost_re15_c2p1_co2_cut90p_t1,25.188931736978056,86.56375400000051
2030,prm15_wcost_re15_c2p1_t1,24.870245942686864,137.93298793465183
2030,prm15_wcost_re16_c2p1_co2_cut90p_t1,24.5641409643846,86.56375400000039
2030,prm15_wcost_re16_c2p1_t1,24.485724787601573,130.6045811975916
2030,prm15_wcost_re17_c2p1_co2_cut90p_t1,25.05688830821073,86.56375400000036
2030,prm15_wcost_re17_c2p1_t1,24.80027031849266,138.30177691747826
2030,prm15_wcost_re18_c2p1_co2_cut90p_t1,26.004566866204502,86.56375400000012
2030,prm15_wcost_re18_c2p1_t1,25.39006620775199,159.89234061618654
2030,prm15_wcost_re19_c2p1_co2_cut90p_t1,26.106500250278735,86.56375400000081
2030,prm15_wcost_re19_c2p1_t1,25.403049442760373,160.67822769183402
2030,prm15_wcost_re1_c2p1_co2_cut90p_t1,23.724656211318592,86.56375400000049
2030,prm15_wcost_re1_c2p1_t1,23.69842225700804,114.71487601548462
2030,prm15_wcost_re20_c2p1_co2_cut90p_t1,24.13505373695438,86.56375400000083
2030,prm15_wcost_re20_c2p1_t1,24.053423516477395,117.24136855015817
2030,prm15_wcost_re2_c2p1_co2_cut90p_t1,24.15918365277263,86.56375400000042
2030,prm15_wcost_re2_c2p1_t1,23.99248980168466,124.5780360239482
2030,prm15_wcost_re3_c2p1_co2_cut90p_t1,24.29545043118289,86.56375399999979
2030,prm15_wcost_re3_c2p1_t1,24.029446729223725,125.8914027509298
2030,prm15_wcost_re4_c2p1_co2_cut90p_t1,24.217903157524454,86.563754
2030,prm15_wcost_re4_c2p1_t1,24.01649213071508,125.10602396803017
2030,prm15_wcost_re5_c2p1_co2_cut90p_t1,24.098100256556634,86.5637540000005
2030,prm15_wcost_re5_c2p1_t1,23.964959859925944,122.8393018306996
2030,prm15_wcost_re6_c2p1_co2_cut90p_t1,23.876468306854694,86.56375400000042
2030,prm15_wcost_re6_c2p1_t1,23.80201682417175,118.31586906902693
2030,prm15_wcost_re7_c2p1_co2_cut90p_t1,24.053933396726553,86.56375400000044
2030,prm15_wcost_re7_c2p1_t1,23.936961357122453,120.56626344178879
2030,prm15_wcost_re8_c2p1_co2_cut90p_t1,24.27504403108734,86.56375399999966
2030,prm15_wcost_re8_c2p1_t1,24.035636475659143,127.23805797404866
2030,prm15_wcost_re9_c2p1_co2_cut90p_t1,24.284688169775162,86.56375399999965
2030,prm15_wcost_re9_c2p1_t1,24.035562945870193,127.22694714057899
2035,prm15_wcost_re10_c2p1_co2_cut90p_t1,27.304002458929794,71.28779699999976
2035,prm15_wcost_re10_c2p1_t1,26.839856578015652,148.27638095191278
