,Latitude,Longitude,project,load_zone,biome
102,-38.25,-68.25,p_wind_Argentina_AR297,Argentina,Patagonia
103,-38.75,-68.25,p_wind_Argentina_AR298,Argentina,Patagonia
104,-39.25,-68.25,p_wind_Argentina_AR299,Argentina,Patagonia
105,-39.75,-68.25,p_wind_Argentina_AR300,Argentina,Patagonia
106,-40.25,-68.25,p_wind_Argentina_AR301,Argentina,Patagonia
107,-40.75,-68.25,p_wind_Argentina_AR302,Argentina,Patagonia
108,-41.25,-68.25,p_wind_Argentina_AR303,Argentina,Patagonia
109,-42.75,-68.25,p_wind_Argentina_AR306,Argentina,Patagonia
110,-43.25,-68.25,p_wind_Argentina_AR307,Argentina,Patagonia
111,-43.75,-68.25,p_wind_Argentina_AR308,Argentina,Patagonia
112,-44.25,-68.25,p_wind_Argentina_AR309,Argentina,Patagonia
113,-44.75,-68.25,p_wind_Argentina_AR310,Argentina,Patagonia
114,-45.75,-68.25,p_wind_Argentina_AR312,Argentina,Patagonia
115,-46.25,-68.25,p_wind_Argentina_AR313,Argentina,Patagonia
116,-46.75,-68.25,p_wind_Argentina_AR314,Argentina,Patagonia
117,-47.25,-68.25,p_wind_Argentina_AR315,Argentina,Patagonia
118,-47.75,-68.25,p_wind_Argentina_AR316,Argentina,Patagonia
119,-48.25,-68.25,p_wind_Argentina_AR317,Argentina,Patagonia
120,-48.75,-68.25,p_wind_Argentina_AR318,Argentina,Patagonia
121,-49.25,-68.25,p_wind_Argentina_AR319,Argentina,Patagonia
122,-49.75,-68.25,p_wind_Argentina_AR320,Argentina,Patagonia
123,-53.75,-68.25,p_wind_Argentina_AR321,Argentina,Patagonia
124,-54.75,-68.25,p_wind_Argentina_AR323,Argentina,Patagonia
125,-37.75,-67.75,p_wind_Argentina_AR351,Argentina,Patagonia
126,-38.25,-67.75,p_wind_Argentina_AR352,Argentina,Patagonia
127,-38.75,-67.75,p_wind_Argentina_AR353,Argentina,Patagonia
128,-39.25,-67.75,p_wind_Argentina_AR354,Argentina,Patagonia
129,-39.75,-67.75,p_wind_Argentina_AR355,Argentina,Patagonia
130,-40.25,-67.75,p_wind_Argentina_AR356,Argentina,Patagonia
131,-40.75,-67.75,p_wind_Argentina_AR357,Argentina,Patagonia
132,-41.25,-67.75,p_wind_Argentina_AR358,Argentina,Patagonia
133,-42.25,-67.75,p_wind_Argentina_AR360,Argentina,Patagonia
134,-42.75,-67.75,p_wind_Argentina_AR361,Argentina,Patagonia
135,-43.25,-67.75,p_wind_Argentina_AR362,Argentina,Patagonia
136,-43.75,-67.75,p_wind_Argentina_AR363,Argentina,Patagonia
137,-44.25,-67.75,p_wind_Argentina_AR364,Argentina,Patagonia
138,-44.75,-67.75,p_wind_Argentina_AR365,Argentina,Patagonia
139,-45.25,-67.75,p_wind_Argentina_AR366,Argentina,Patagonia
140,-45.75,-67.75,p_wind_Argentina_AR367,Argentina,Patagonia
141,-46.25,-67.75,p_wind_Argentina_AR368,Argentina,Patagonia
142,-46.75,-67.75,p_wind_Argentina_AR369,Argentina,Patagonia
143,-47.25,-67.75,p_wind_Argentina_AR370,Argentina,Patagonia
144,-47.75,-67.75,p_wind_Argentina_AR371,Argentina,Patagonia
145,-48.25,-67.75,p_wind_Argentina_AR372,Argentina,Patagonia
146,-48.75,-67.75,p_wind_Argentina_AR373,Argentina,Patagonia
147,-49.25,-67.75,p_wind_Argentina_AR374,Argentina,Patagonia
148,-49.75,-67.75,p_wind_Argentina_AR375,Argentina,Patagonia
149,-53.75,-67.75,p_wind_Argentina_AR376,Argentina,Patagonia
150,-54.75,-67.75,p_wind_Argentina_AR378,Argentina,Patagonia
151,-35.25,-67.25,p_wind_Argentina_AR402,Argentina,Pampas
152,-35.75,-67.25,p_wind_Argentina_AR403,Argentina,Pampas
153,-36.25,-67.25,p_wind_Argentina_AR404,Argentina,Pampas
154,-36.75,-67.25,p_wind_Argentina_AR405,Argentina,Patagonia
155,-37.25,-67.25,p_wind_Argentina_AR406,Argentina,Patagonia
156,-37.75,-67.25,p_wind_Argentina_AR407,Argentina,Patagonia
157,-38.25,-67.25,p_wind_Argentina_AR408,Argentina,Patagonia
158,-38.75,-67.25,p_wind_Argentina_AR409,Argentina,Patagonia
159,-39.25,-67.25,p_wind_Argentina_AR410,Argentina,Patagonia
160,-39.75,-67.25,p_wind_Argentina_AR411,Argentina,Patagonia
161,-40.25,-67.25,p_wind_Argentina_AR412,Argentina,Patagonia
162,-40.75,-67.25,p_wind_Argentina_AR413,Argentina,Patagonia
163,-41.25,-67.25,p_wind_Argentina_AR414,Argentina,Patagonia
164,-41.75,-67.25,p_wind_Argentina_AR415,Argentina,Patagonia
165,-42.25,-67.25,p_wind_Argentina_AR416,Argentina,Patagonia
166,-43.25,-67.25,p_wind_Argentina_AR418,Argentina,Patagonia
167,-43.75,-67.25,p_wind_Argentina_AR419,Argentina,Patagonia
