lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Brazil,Paraguay,2045,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Paraguay,2050,0,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2020,-0.444499447,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2025,0.979876533,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2030,1.283645581,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2035,1.734823051,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2040,1.418699334,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2045,0.862920569,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Brazil,Uruguay,2050,0.590030865,trd_cut90_vestas3_1axis,cut90,vestas3,1axis
Argentina,Brazil,2020,0.0558846,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2025,-0.0315684,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2030,0.0594396,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2035,0.0579906,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2040,0.102960703,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2045,0.0027414,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Brazil,2050,0.279855944,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2025,0.001965678,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2030,0.001724796,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2035,0.002278788,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2040,0.004039829,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2045,0.002499687,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Chile,2050,0.004651902,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2025,-0.00784893,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2030,-0.00774656,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2035,-0.00763976,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2040,-0.00753789,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2045,-0.00316962,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Paraguay,2050,0.001811965,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2020,-1.000497372,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2025,0.243339076,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2030,0.433150383,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2035,0.599661595,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2040,0.679906011,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2045,0.660891528,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Argentina,Uruguay,2050,1.065182793,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2020,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2025,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2030,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2035,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2040,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2045,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
Brazil,Paraguay,2050,0,trd_cut90_siemens36_1axis,cut90,siemens36,1axis
