scenario,technology,load_zone,new_build_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re11_c2p1_t1,SolarPV,Paraguay,3608.8991262330733,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,SolarPV,Uruguay,2609.0134007682786,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Argentina,7973.857284734425,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Brazil,124719.15317070717,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Chile,0.0,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Paraguay,1866.690411221058,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Uruguay,7191.057904188354,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Argentina,239.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Brazil,89110.44347734698,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,SolarPV,Chile,0.0,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Paraguay,0.0,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,Wind,Uruguay,7569.45213044104,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,Wind,Paraguay,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re15_c2p1_t1,SolarPV,Argentina,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Argentina,0.0,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Chile,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Brazil,84459.74452452584,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Argentina,5931.463456174226,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,SolarPV,Brazil,54041.5,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Paraguay,2576.645513732091,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Uruguay,3067.755049043202,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Chile,0.0,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Paraguay,144.35510258146323,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,Wind,Uruguay,7616.403368421052,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,SolarPV,Brazil,82626.5,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_tn,SolarPV,Argentina,501.9,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,SolarPV,Brazil,113343.501091596,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,SolarPV,Chile,0.0,0,0,13,1,"NoCut,Full",001
prm15_wcost_re12_c2p1_tn,Wind,Uruguay,4827.000000059,0,0,12,1,"NoCut,Full",001
prm15_wcost_re3_c2p1_tn,SolarPV,Uruguay,3035.5784418,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,SolarPV,Paraguay,7852.800000013,0,0,3,0,"NoCut,Full",000
prm15_wcost_re3_c2p1_tn,SolarPV,Chile,7251.1249914,0,0,3,0,"NoCut,Full",000
prm15_wcost_re1_c2p1_tn,SolarPV,Argentina,6114.9,0,0,1,0,"NoCut,Full",000
prm15_wcost_re20_c2p1_tn,Wind,Uruguay,7343.8449402999995,0,0,20,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,SolarPV,Argentina,5514.6876557,0,0,2,0,"NoCut,Full",000
prm15_wcost_re2_c2p1_tn,SolarPV,Brazil,123257.799999973,0,0,2,0,"NoCut,Full",000
prm15_wcost_re13_c2p1_tn,SolarPV,Paraguay,5621.4,0,0,13,1,"NoCut,Full",001
prm15_wcost_re7_c2p1_tn,Wind,Uruguay,6223.59287861,0,0,7,0,"NoCut,Full",000
