,scenario,technology,biome,new_build_mw,sc_group
136,prm15_wcost_re16_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,273.5,4.0
137,prm15_wcost_re16_c2p1_co2_cut90p_t1,SolarPV,Pampas,5181.807642521961,4.0
138,prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,Caatinga,172739.5223993537,4.0
139,prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,Coastal,5587.722049649163,4.0
140,prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,Gran Chaco,4118.586565497107,4.0
141,prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,Pampas,65988.56117049504,4.0
142,prm15_wcost_re16_c2p1_co2_cut90p_t1,Wind,Patagonia,82336.89232244482,4.0
143,prm15_wcost_re16_c2p1_t1,SolarPV,Atacama/Andes,0.0,2.0
144,prm15_wcost_re16_c2p1_t1,SolarPV,Caatinga,28307.8,2.0
145,prm15_wcost_re16_c2p1_t1,SolarPV,Cerrado,25432.3,2.0
146,prm15_wcost_re16_c2p1_t1,SolarPV,Gran Chaco,3700.5,2.0
147,prm15_wcost_re16_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
148,prm15_wcost_re16_c2p1_t1,SolarPV,Pampas,3050.115863163657,2.0
149,prm15_wcost_re16_c2p1_t1,Wind,Caatinga,101144.75594903443,2.0
150,prm15_wcost_re16_c2p1_t1,Wind,Coastal,0.0,2.0
151,prm15_wcost_re16_c2p1_t1,Wind,Gran Chaco,1840.7077973988767,2.0
152,prm15_wcost_re16_c2p1_t1,Wind,Pampas,19386.189917907082,2.0
153,prm15_wcost_re16_c2p1_t1,Wind,Patagonia,8318.068708627894,2.0
154,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,39431.54789884473,4.0
155,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Caatinga,49149.6,4.0
156,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Cerrado,84189.4,4.0
157,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,8286.5,4.0
158,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,273.5,4.0
159,prm15_wcost_re17_c2p1_co2_cut90p_t1,SolarPV,Pampas,5153.828072785969,4.0
160,prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,Caatinga,176679.26145902992,4.0
161,prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,Coastal,3348.0,4.0
162,prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,Gran Chaco,4114.267430476213,4.0
163,prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,Pampas,60070.46660887066,4.0
164,prm15_wcost_re17_c2p1_co2_cut90p_t1,Wind,Patagonia,83099.64184905238,4.0
165,prm15_wcost_re17_c2p1_t1,SolarPV,Atacama/Andes,0.0,2.0
166,prm15_wcost_re17_c2p1_t1,SolarPV,Caatinga,36828.42113893225,2.0
167,prm15_wcost_re17_c2p1_t1,SolarPV,Cerrado,43032.3,2.0
168,prm15_wcost_re17_c2p1_t1,SolarPV,Gran Chaco,2577.870703893069,2.0
169,prm15_wcost_re17_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
170,prm15_wcost_re17_c2p1_t1,SolarPV,Pampas,3990.8046940770637,2.0
171,prm15_wcost_re17_c2p1_t1,Wind,Caatinga,83951.70331945544,2.0
172,prm15_wcost_re17_c2p1_t1,Wind,Coastal,0.0,2.0
173,prm15_wcost_re17_c2p1_t1,Wind,Gran Chaco,144.51832886240393,2.0
174,prm15_wcost_re17_c2p1_t1,Wind,Pampas,18557.8491405141,2.0
175,prm15_wcost_re17_c2p1_t1,Wind,Patagonia,5921.185416290466,2.0
176,prm15_wcost_re18_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,45362.51226487095,4.0
