period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2030,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9514969282788974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2030,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2030,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19236222634320088,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2035,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39689501016548334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470018,0.0,-1.3577452087162036,Trade Vestas V90 3000 Single-Axis
2035,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.742610151752388,0.0,0.0,0.0,-4.311999999999998,0.0,0.0,0.0,37.45577677786953,0.0,-27.717004845487246,Trade Vestas V90 3000 Single-Axis
2035,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33683601669610486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2035,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 3000 Single-Axis
2035,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7017855944873925,0.0,-0.5002829449229957,Trade Vestas V90 3000 Single-Axis
2040,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49892831558398143,0.0,0.0,0.0,-0.8869999999999998,0.0,0.0,0.0,2.0443999978470018,0.0,-1.3577452087162036,Trade Vestas V90 3000 Single-Axis
2040,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.986823847918288,0.0,0.0,0.0,-7.784999999999997,0.0,0.0,0.0,29.489629432061896,0.0,-30.162,Trade Vestas V90 3000 Single-Axis
