,Latitude,Longitude,project,load_zone,biome
137,-29.75,-68.25,p_solar_Argentina_AR280,Argentina,Atacama/Andes
138,-30.25,-68.25,p_solar_Argentina_AR281,Argentina,Monte Desert
139,-30.75,-68.25,p_solar_Argentina_AR282,Argentina,Monte Desert
140,-31.25,-68.25,p_solar_Argentina_AR283,Argentina,Monte Desert
141,-31.75,-68.25,p_solar_Argentina_AR284,Argentina,Monte Desert
142,-32.25,-68.25,p_solar_Argentina_AR285,Argentina,Monte Desert
143,-32.75,-68.25,p_solar_Argentina_AR286,Argentina,Monte Desert
144,-33.25,-68.25,p_solar_Argentina_AR287,Argentina,Monte Desert
145,-33.75,-68.25,p_solar_Argentina_AR288,Argentina,Monte Desert
146,-34.25,-68.25,p_solar_Argentina_AR289,Argentina,Monte Desert
147,-34.75,-68.25,p_solar_Argentina_AR290,Argentina,Monte Desert
148,-35.25,-68.25,p_solar_Argentina_AR291,Argentina,Monte Desert
149,-35.75,-68.25,p_solar_Argentina_AR292,Argentina,Monte Desert
150,-36.25,-68.25,p_solar_Argentina_AR293,Argentina,Monte Desert
151,-36.75,-68.25,p_solar_Argentina_AR294,Argentina,Monte Desert
152,-37.25,-68.25,p_solar_Argentina_AR295,Argentina,Monte Desert
153,-37.75,-68.25,p_solar_Argentina_AR296,Argentina,Monte Desert
154,-38.25,-68.25,p_solar_Argentina_AR297,Argentina,Monte Desert
155,-38.75,-68.25,p_solar_Argentina_AR298,Argentina,Monte Desert
156,-39.25,-68.25,p_solar_Argentina_AR299,Argentina,Monte Desert
157,-39.75,-68.25,p_solar_Argentina_AR300,Argentina,Monte Desert
158,-40.25,-68.25,p_solar_Argentina_AR301,Argentina,Monte Desert
159,-40.75,-68.25,p_solar_Argentina_AR302,Argentina,Monte Desert
160,-41.25,-68.25,p_solar_Argentina_AR303,Argentina,Monte Desert
161,-41.75,-68.25,p_solar_Argentina_AR304,Argentina,Monte Desert
162,-42.25,-68.25,p_solar_Argentina_AR305,Argentina,Monte Desert
163,-42.75,-68.25,p_solar_Argentina_AR306,Argentina,Monte Desert
164,-43.25,-68.25,p_solar_Argentina_AR307,Argentina,Monte Desert
165,-43.75,-68.25,p_solar_Argentina_AR308,Argentina,Monte Desert
166,-44.25,-68.25,p_solar_Argentina_AR309,Argentina,Monte Desert
167,-44.75,-68.25,p_solar_Argentina_AR310,Argentina,Monte Desert
168,-45.25,-68.25,p_solar_Argentina_AR311,Argentina,Monte Desert
169,-45.75,-68.25,p_solar_Argentina_AR312,Argentina,Monte Desert
170,-46.25,-68.25,p_solar_Argentina_AR313,Argentina,Monte Desert
171,-24.25,-67.75,p_solar_Argentina_AR324,Argentina,Atacama/Andes
172,-24.75,-67.75,p_solar_Argentina_AR325,Argentina,Atacama/Andes
