period,load_zone,scs,scs_id,emis_policy,exist_trd,fixed_pv,capacity_cost,op_char,turbine,group
2020,Chile,Trade GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_t1,False,True,False,752655864.8630137,1476,1476,3.0
2020,Chile,Trade Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_t1,False,True,True,752655864.8630137,4428,1968,4.0
2020,Chile,Trade Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_t1,False,True,False,752655864.8630137,1968,1968,3.0
2020,Chile,Trade Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_t1,False,True,True,752655864.8630137,3690,1230,4.0
2020,Chile,Trade Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_t1,False,True,False,752655864.8630137,1230,1230,3.0
2020,Chile,Trade Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_t1,False,True,True,752655864.8630137,3444,984,4.0
2020,Chile,Trade Siemens SWT 3.6 107 Single-Axis,prm15_wcost_re4_c2p1_t1,False,True,False,752655864.8630137,984,984,3.0
2020,Chile,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1,False,True,True,752655864.8630137,2952,492,4.0
2020,Chile,Trade Vestas V164 7000 Single-Axis,prm15_wcost_re2_c2p1_t1,False,True,False,752655864.8630137,492,492,3.0
2020,Chile,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1,False,True,True,752655864.8630137,2706,246,4.0
2020,Chile,Trade Vestas V90 2000 Single-Axis,prm15_wcost_re1_c2p1_t1,False,True,False,752655864.8630137,246,246,3.0
2020,Chile,Trade Vestas V90 3000 Fixed,prm15_wcost_re13_c2p1_t1,False,True,True,752655864.8630137,3198,738,4.0
2020,Chile,Trade Vestas V90 3000 Single-Axis,prm15_wcost_re3_c2p1_t1,False,True,False,752655864.8630137,738,738,3.0
2020,Paraguay,Trade Emission cut 90% Enercon E101 3000 Fixed,prm15_wcost_re20_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2820,1410,8.0
2020,Paraguay,Trade Emission cut 90% Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,1410,1410,7.0
2020,Paraguay,Trade Emission cut 90% Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_co2_cut90p_t1,True,True,True,3046485.205479452,2679,1269,8.0
2020,Paraguay,Trade Emission cut 90% Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_co2_cut90p_t1,True,True,False,3046485.205479452,1269,1269,7.0
