scs_id,costs_per_mwh,MtCO2,op_char,scs_id_ref,costs_per_mwh_ref,MtCO2_ref,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re2_c2p1_co2_cut90p_t1,26.62949940876313,0.2030360426524727,2,prm15_wcost_re2_c2p1_tn,14.987898718485903,0.0,Paraguay,Single Axis,11.641600690277228,0.2030360426524727
prm15_wcost_re2_c2p1_co2_cut90p_t1,62.37037646711912,2.4779320313988813,2,prm15_wcost_re2_c2p1_tn,42.45326331276244,56.69938563557648,Chile,Single Axis,19.917113154356684,-54.221453604177604
prm15_wcost_re2_c2p1_co2_cut90p_t1,54.3493570568513,0.0147485218908992,2,prm15_wcost_re2_c2p1_tn,34.399316812525846,0.1017568239117377,Uruguay,Single Axis,19.95004024432545,-0.0870083020208385
prm15_wcost_re2_c2p1_co2_cut90p_t1,50.83359037405865,0.5779696679857023,2,prm15_wcost_re2_c2p1_tn,38.32949356337706,134.08000913186154,Argentina,Single Axis,12.504096810681588,-133.50203946387583
prm15_wcost_re2_c2p1_co2_cut90p_t1,42.84917747702271,6.910284736071968,2,prm15_wcost_re2_c2p1_tn,36.67439369811482,138.07119965080614,Brazil,Single Axis,6.174783778907887,-131.16091491473418
prm15_wcost_re3_c2p1_co2_cut90p_t1,47.76202432350246,4.539400705174992,3,prm15_wcost_re3_c2p1_tn,36.95845995584785,175.56370250074676,Brazil,Single Axis,10.803564367654609,-171.02430179557177
prm15_wcost_re3_c2p1_co2_cut90p_t1,74.16340759517824,2.0675632266943884,3,prm15_wcost_re3_c2p1_tn,42.47416041695074,56.699385635577,Chile,Single Axis,31.689247178227504,-54.63182240888261
prm15_wcost_re3_c2p1_co2_cut90p_t1,27.532577881102817,0.2270961569829192,3,prm15_wcost_re3_c2p1_tn,11.150538760471976,0.0,Paraguay,Single Axis,16.382039120630843,0.2270961569829192
prm15_wcost_re3_c2p1_co2_cut90p_t1,45.77242970475286,0.0219610523202986,3,prm15_wcost_re3_c2p1_tn,12.216521267503545,0.1426268919514767,Uruguay,Single Axis,33.555908437249315,-0.1206658396311781
prm15_wcost_re3_c2p1_co2_cut90p_t1,44.15987990208576,3.327949858827393,3,prm15_wcost_re3_c2p1_tn,43.154212816957255,140.89574239776613,Argentina,Single Axis,1.0056670851285077,-137.56779253893873
prm15_wcost_re4_c2p1_co2_cut90p_t1,53.084947366437554,0.5304993208513453,4,prm15_wcost_re4_c2p1_tn,39.19754815643685,136.01774718679178,Argentina,Single Axis,13.887399210000702,-135.48724786594045
prm15_wcost_re4_c2p1_co2_cut90p_t1,42.25996274001882,7.347179256321008,4,prm15_wcost_re4_c2p1_tn,37.04116887694165,151.2325139207763,Brazil,Single Axis,5.218793863077174,-143.8853346644553
prm15_wcost_re4_c2p1_co2_cut90p_t1,72.28132010998817,2.07636349874734,4,prm15_wcost_re4_c2p1_tn,41.74639279854848,56.69938563557547,Chile,Single Axis,30.534927311439695,-54.623022136828126
prm15_wcost_re4_c2p1_co2_cut90p_t1,26.89531611364673,0.2133531669090433,4,prm15_wcost_re4_c2p1_tn,13.354235854061368,0.0,Paraguay,Single Axis,13.54108025958536,0.2133531669090433
prm15_wcost_re4_c2p1_co2_cut90p_t1,55.50636039038729,0.0165757571712072,4,prm15_wcost_re4_c2p1_tn,27.67620602079142,0.077830219900378,Uruguay,Single Axis,27.830154369595874,-0.0612544627291708
prm15_wcost_re5_c2p1_co2_cut90p_t1,26.415617774829546,0.2104375958125001,5,prm15_wcost_re5_c2p1_tn,14.341556055900552,0.0,Paraguay,Single Axis,12.074061718928993,0.2104375958125001
prm15_wcost_re5_c2p1_co2_cut90p_t1,53.67142379438249,0.0146260170265177,5,prm15_wcost_re5_c2p1_tn,48.33047923503773,0.1285628500359834,Uruguay,Single Axis,5.340944559344763,-0.1139368330094657
prm15_wcost_re5_c2p1_co2_cut90p_t1,64.5797549011718,2.767660937289405,5,prm15_wcost_re5_c2p1_tn,35.2714977500873,56.699385635576256,Chile,Single Axis,29.308257151084497,-53.93172469828685
prm15_wcost_re5_c2p1_co2_cut90p_t1,49.20488562980397,0.8918150557839076,5,prm15_wcost_re5_c2p1_tn,39.873727508612525,131.8497782529831,Argentina,Single Axis,9.331158121191443,-130.9579631971992
prm15_wcost_re5_c2p1_co2_cut90p_t1,41.99105492246252,6.299431394087584,5,prm15_wcost_re5_c2p1_tn,36.6466935659104,138.50391028450517,Brazil,Single Axis,5.34436135655212,-132.2044788904176
prm15_wcost_re6_c2p1_co2_cut90p_t1,45.73094794562674,2.4817433041737043,6,prm15_wcost_re6_c2p1_tn,43.12499595544707,125.04408672778416,Argentina,Single Axis,2.605951990179669,-122.56234342361046
prm15_wcost_re6_c2p1_co2_cut90p_t1,39.83766495868099,4.479277645814808,6,prm15_wcost_re6_c2p1_tn,34.47462324022281,125.1699782352144,Brazil,Single Axis,5.363041718458177,-120.6907005893996
prm15_wcost_re6_c2p1_co2_cut90p_t1,66.9621543424278,3.0234786307492967,6,prm15_wcost_re6_c2p1_tn,42.422894119252994,56.69917996287653,Chile,Single Axis,24.5392602231748,-53.67570133212723
prm15_wcost_re6_c2p1_co2_cut90p_t1,25.706182654984232,0.1923668264670152,6,prm15_wcost_re6_c2p1_tn,15.160090915454177,0.0,Paraguay,Single Axis,10.546091739530056,0.1923668264670152
prm15_wcost_re6_c2p1_co2_cut90p_t1,51.23243739301535,0.007104592795106,6,prm15_wcost_re6_c2p1_tn,40.94081119554247,0.0571832046709969,Uruguay,Single Axis,10.29162619747288,-0.0500786118758909
prm15_wcost_re7_c2p1_co2_cut90p_t1,26.24283004847822,0.2084312239631033,7,prm15_wcost_re7_c2p1_tn,14.95532814856891,0.0,Paraguay,Single Axis,11.287501899909309,0.2084312239631033
prm15_wcost_re7_c2p1_co2_cut90p_t1,68.51911147793001,3.1154847717034926,7,prm15_wcost_re7_c2p1_tn,42.45326331280315,56.69938563557524,Chile,Single Axis,26.06584816512686,-53.58390086387175
prm15_wcost_re7_c2p1_co2_cut90p_t1,54.35437269723039,0.0034181391770174,7,prm15_wcost_re7_c2p1_tn,45.40785652234783,0.1080611597665736,Uruguay,Single Axis,8.94651617488256,-0.1046430205895562
prm15_wcost_re7_c2p1_co2_cut90p_t1,47.85472149796484,1.053961459877121,7,prm15_wcost_re7_c2p1_tn,36.57719515305185,132.61538269527534,Argentina,Single Axis,11.277526344912985,-131.56142123539823
