sc_id,turbine_name,pv_type,cap_cost_usdkw,cap_mw,hub_ht_m,cutin_speed_ms,rated_speed_ms,cutout_speed_ms,rotor_dia_m,2050 wind gen share,2050 solar gen share,2050 fossil gen share,2050 hydro gen share,costs_per_mwh,total trade,total curtailment,total tx loss,unmet demand mwh
prm15_wcost_re1_c2p1_co2_cut90p_t1,Vestas V90 2000,1axis,1575.0,2.0,100,4.0,13.0,25,90,0.3810796266956243,0.1763774441606961,0.010518857263083528,0.3399169290761423,977.9773266576625,24.467509726229853,503.74437435729624,0.6726808409125271,24806934.40518257
prm15_wcost_re2_c2p1_co2_cut90p_t1,Vestas V164 7000,1axis,1575.0,7.0,100,4.0,11.0,25,164,0.3475212233236157,0.1804371433091663,0.010381038363285959,0.34563261615540414,989.1432050582316,23.768932175972694,530.2105263351941,0.6995295509497823,24806934.4051826
prm15_wcost_re3_c2p1_co2_cut90p_t1,Vestas V90 3000,1axis,1575.0,3.0,100,4.0,15.0,25,90,0.2938613059496237,0.20157671730340618,0.010694457468901252,0.3505568094783982,1006.9575362090363,24.307124636217065,474.69199774334135,0.6730910354032524,24806934.405182548
prm15_wcost_re4_c2p1_co2_cut90p_t1,Siemens SWT 3.6 107,1axis,1263.684211,3.6,90,3.0,13.0,25,107,0.3250229707730109,0.19160453528486387,0.010397821686733862,0.34346881901382925,1024.604044711547,24.46921296784338,534.6792632032107,0.681356500491999,24806934.405182704
prm15_wcost_re5_c2p1_co2_cut90p_t1,Siemens SWT 2.3 93,1axis,1263.684211,2.3,80,4.0,14.0,25,93,0.3479575820917278,0.19027369352624926,0.010395446463081144,0.34328899698097515,994.6442476197326,23.64543561915394,525.2111950182049,0.7015849462069051,24806934.405182637
prm15_wcost_re6_c2p1_co2_cut90p_t1,GE 2.5xl,1axis,1645.0,2.5,100,3.0,13.0,25,100,0.3740980707443182,0.17913978443641387,0.010476152146239799,0.34079738822154854,1000.8245082985012,24.419938069065132,512.8544448854361,0.6985846802935319,24806934.40518253
prm15_wcost_re7_c2p1_co2_cut90p_t1,GE 1.5sle,1axis,1528.947368,1.5,80,3.5,12.0,25,77,0.3634376287874555,0.17807278183082342,0.010409308520048446,0.34527744024916807,1001.0688552917615,23.62472348563348,533.3975543651667,0.7192838476316268,24806934.405182622
prm15_wcost_re8_c2p1_co2_cut90p_t1,Gamesa G80 2000,1axis,1263.684211,2.0,80,3.5,12.0,25,80,0.30482936514807907,0.19391923504768663,0.010592330686981948,0.34948147138310576,1049.5946475920007,24.487598928539352,494.79976155196005,0.6646018671471281,24806934.405182548
prm15_wcost_re9_c2p1_co2_cut90p_t1,Enercon E126 7000,1axis,3684.210526,7.0,135,3.0,16.5,34,126,0.311788524603532,0.19277245232440182,0.010535234456556434,0.34773888645437784,1047.4240392875681,24.45485185609455,507.6322513182845,0.6950543934986493,24806934.405182593
prm15_wcost_re10_c2p1_co2_cut90p_t1,Enercon E101 3000,1axis,1786.842105,3.05,135,2.0,13.0,25,101,0.38233462860351375,0.17305759262756212,0.010509885635290135,0.3421923270860908,968.0733996935711,24.89558930464345,494.15954206965506,0.802445221478111,24806934.40518272
