type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2050,Brazil,1.2263,Trade Vestas V164 7000 Single-Axis,-1,-1.2263
export,2050,Chile,0.00093,Trade Vestas V164 7000 Single-Axis,-1,-0.00093
export,2050,Paraguay,0.0013,Trade Vestas V164 7000 Single-Axis,-1,-0.0013
export,2050,Uruguay,0.45413,Trade Vestas V164 7000 Single-Axis,-1,-0.45413
import,2020,Argentina,0.55782,Trade Vestas V164 7000 Single-Axis,1,0.55782
import,2020,Brazil,1.5568,Trade Vestas V164 7000 Single-Axis,1,1.5568
import,2020,Chile,0.00594,Trade Vestas V164 7000 Single-Axis,1,0.00594
import,2020,Paraguay,0.0,Trade Vestas V164 7000 Single-Axis,1,0.0
import,2020,Uruguay,0.28686,Trade Vestas V164 7000 Single-Axis,1,0.28686
import,2025,Argentina,0.73744,Trade Vestas V164 7000 Single-Axis,1,0.73744
import,2025,Brazil,0.72902,Trade Vestas V164 7000 Single-Axis,1,0.72902
import,2025,Chile,0.004,Trade Vestas V164 7000 Single-Axis,1,0.004
import,2025,Paraguay,0.0,Trade Vestas V164 7000 Single-Axis,1,0.0
import,2025,Uruguay,1.47628,Trade Vestas V164 7000 Single-Axis,1,1.47628
import,2030,Argentina,0.47392,Trade Vestas V164 7000 Single-Axis,1,0.47392
import,2030,Brazil,0.59855,Trade Vestas V164 7000 Single-Axis,1,0.59855
import,2030,Chile,0.00359,Trade Vestas V164 7000 Single-Axis,1,0.00359
import,2030,Paraguay,0.0,Trade Vestas V164 7000 Single-Axis,1,0.0
import,2030,Uruguay,2.93912,Trade Vestas V164 7000 Single-Axis,1,2.93912
import,2035,Argentina,0.20938,Trade Vestas V164 7000 Single-Axis,1,0.20938
import,2035,Brazil,0.90594,Trade Vestas V164 7000 Single-Axis,1,0.90594
import,2035,Chile,0.00198,Trade Vestas V164 7000 Single-Axis,1,0.00198
import,2035,Paraguay,0.0,Trade Vestas V164 7000 Single-Axis,1,0.0
import,2035,Uruguay,2.80871,Trade Vestas V164 7000 Single-Axis,1,2.80871
import,2040,Argentina,0.21219,Trade Vestas V164 7000 Single-Axis,1,0.21219
import,2040,Brazil,0.8506,Trade Vestas V164 7000 Single-Axis,1,0.8506
import,2040,Chile,0.00275,Trade Vestas V164 7000 Single-Axis,1,0.00275
import,2040,Paraguay,0.0,Trade Vestas V164 7000 Single-Axis,1,0.0
import,2040,Uruguay,2.96701,Trade Vestas V164 7000 Single-Axis,1,2.96701
import,2045,Argentina,0.15346,Trade Vestas V164 7000 Single-Axis,1,0.15346
import,2045,Brazil,1.10633,Trade Vestas V164 7000 Single-Axis,1,1.10633
import,2045,Chile,0.00131,Trade Vestas V164 7000 Single-Axis,1,0.00131
import,2045,Paraguay,0.00335,Trade Vestas V164 7000 Single-Axis,1,0.00335
import,2045,Uruguay,2.53347,Trade Vestas V164 7000 Single-Axis,1,2.53347
import,2050,Argentina,0.13483,Trade Vestas V164 7000 Single-Axis,1,0.13483
import,2050,Brazil,1.27934,Trade Vestas V164 7000 Single-Axis,1,1.27934
import,2050,Chile,0.00226,Trade Vestas V164 7000 Single-Axis,1,0.00226
import,2050,Paraguay,0.00573,Trade Vestas V164 7000 Single-Axis,1,0.00573
import,2050,Uruguay,2.24727,Trade Vestas V164 7000 Single-Axis,1,2.24727
export,2020,Argentina,1.43151,Trade Vestas V90 3000 Single-Axis,-1,-1.43151
export,2020,Brazil,0.23169,Trade Vestas V90 3000 Single-Axis,-1,-0.23169
export,2020,Chile,0.00105,Trade Vestas V90 3000 Single-Axis,-1,-0.00105
export,2020,Paraguay,0.00825,Trade Vestas V90 3000 Single-Axis,-1,-0.00825
export,2020,Uruguay,0.73492,Trade Vestas V90 3000 Single-Axis,-1,-0.73492
export,2025,Argentina,1.26451,Trade Vestas V90 3000 Single-Axis,-1,-1.26451
export,2025,Brazil,1.5244,Trade Vestas V90 3000 Single-Axis,-1,-1.5244
export,2025,Chile,0.00157,Trade Vestas V90 3000 Single-Axis,-1,-0.00157
export,2025,Paraguay,0.00784,Trade Vestas V90 3000 Single-Axis,-1,-0.00784
export,2025,Uruguay,0.2541,Trade Vestas V90 3000 Single-Axis,-1,-0.2541
export,2030,Argentina,1.48866,Trade Vestas V90 3000 Single-Axis,-1,-1.48866
export,2030,Brazil,2.39744,Trade Vestas V90 3000 Single-Axis,-1,-2.39744
export,2030,Chile,0.00141,Trade Vestas V90 3000 Single-Axis,-1,-0.00141
