scs_id,tech,capacity_cost
prm15_wcost_re7_c2p1_t1,Solar,11954345442.083847
prm15_wcost_re7_c2p1_t1,Wind,9311475149.452936
prm15_wcost_re8_c2p1_t1,Battery,522066457.1279828
prm15_wcost_re8_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re8_c2p1_t1,Fossil,18277204938.11391
prm15_wcost_re8_c2p1_t1,Geothermal,0.0
prm15_wcost_re8_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re8_c2p1_t1,Nuclear,0.0
prm15_wcost_re8_c2p1_t1,Solar,12795604066.154678
prm15_wcost_re8_c2p1_t1,Wind,6605739735.974441
prm15_wcost_re9_c2p1_t1,Battery,528072886.4440879
prm15_wcost_re9_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re9_c2p1_t1,Fossil,18279467343.202106
prm15_wcost_re9_c2p1_t1,Geothermal,0.0
prm15_wcost_re9_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re9_c2p1_t1,Nuclear,0.0
prm15_wcost_re9_c2p1_t1,Solar,12816673145.52797
prm15_wcost_re9_c2p1_t1,Wind,6512138715.5633545
prm15_wcost_re10_c2p1_t1,Battery,421716837.8470042
prm15_wcost_re10_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re10_c2p1_t1,Fossil,17674503630.489132
prm15_wcost_re10_c2p1_t1,Geothermal,0.0
prm15_wcost_re10_c2p1_t1,Hydro,7822917344.670394
prm15_wcost_re10_c2p1_t1,Nuclear,0.0
prm15_wcost_re10_c2p1_t1,Solar,10504110238.318909
prm15_wcost_re10_c2p1_t1,Wind,16056577120.856504
prm15_wcost_re11_c2p1_t1,Battery,417526127.7343979
prm15_wcost_re11_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re11_c2p1_t1,Fossil,17804672962.24833
prm15_wcost_re11_c2p1_t1,Geothermal,0.0
prm15_wcost_re11_c2p1_t1,Hydro,7830260049.142584
prm15_wcost_re11_c2p1_t1,Nuclear,0.0
prm15_wcost_re11_c2p1_t1,Solar,2251882091.668211
prm15_wcost_re11_c2p1_t1,Wind,18974019441.628094
prm15_wcost_re12_c2p1_t1,Battery,319276482.51643217
prm15_wcost_re12_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re12_c2p1_t1,Fossil,18184737313.6809
prm15_wcost_re12_c2p1_t1,Geothermal,0.0
prm15_wcost_re12_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re12_c2p1_t1,Nuclear,0.0
prm15_wcost_re12_c2p1_t1,Solar,7533270254.5440035
prm15_wcost_re12_c2p1_t1,Wind,12190288599.364155
prm15_wcost_re13_c2p1_t1,Battery,306980754.71513
prm15_wcost_re13_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re13_c2p1_t1,Fossil,18569668131.735092
prm15_wcost_re13_c2p1_t1,Geothermal,0.0
prm15_wcost_re13_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re13_c2p1_t1,Nuclear,0.0
prm15_wcost_re13_c2p1_t1,Solar,10348773524.290907
prm15_wcost_re13_c2p1_t1,Wind,7627941120.03328
prm15_wcost_re14_c2p1_t1,Battery,293660725.26958597
prm15_wcost_re14_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re14_c2p1_t1,Fossil,18229513523.14301
prm15_wcost_re14_c2p1_t1,Geothermal,0.0
prm15_wcost_re14_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re14_c2p1_t1,Nuclear,0.0
prm15_wcost_re14_c2p1_t1,Solar,8475986118.882252
prm15_wcost_re14_c2p1_t1,Wind,11887722412.314608
prm15_wcost_re15_c2p1_t1,Battery,319984909.8844019
prm15_wcost_re15_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re15_c2p1_t1,Fossil,18103575483.70087
prm15_wcost_re15_c2p1_t1,Geothermal,0.0
prm15_wcost_re15_c2p1_t1,Hydro,8396235709.858929
