index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_solar_1axis
147,-34.75,-68.25,p_solar_Argentina_AR290,Argentina,138.9,0.22,9.903841399,0.2866162340619311
148,-35.25,-68.25,p_solar_Argentina_AR291,Argentina,138.5,0.22,9.618830592,0.2908583788706749
149,-35.75,-68.25,p_solar_Argentina_AR292,Argentina,138.5,0.22,16.5731135,0.2922101548269585
150,-36.25,-68.25,p_solar_Argentina_AR293,Argentina,138.4,0.22,1.215322587,0.28628506375227686
151,-36.75,-68.25,p_solar_Argentina_AR294,Argentina,138.3,0.22,18.07703717,0.2818911657559204
152,-37.25,-68.25,p_solar_Argentina_AR295,Argentina,138.2,0.21,12.26439989,0.2798664617486344
153,-37.75,-68.25,p_solar_Argentina_AR296,Argentina,138.1,0.21,1.475158359,0.2770817395264115
154,-38.25,-68.25,p_solar_Argentina_AR297,Argentina,138.0,0.21,3.206002332,0.2739090391621126
155,-38.75,-68.25,p_solar_Argentina_AR298,Argentina,138.0,0.21,2.51217759,0.2725658014571946
156,-39.25,-68.25,p_solar_Argentina_AR299,Argentina,137.8,0.21,13.05202954,0.2738795537340609
157,-39.75,-68.25,p_solar_Argentina_AR300,Argentina,137.7,0.21,42.10188447,0.2769807604735884
158,-40.25,-68.25,p_solar_Argentina_AR301,Argentina,137.5,0.21,78.6263095,0.2790743397085612
159,-40.75,-68.25,p_solar_Argentina_AR302,Argentina,137.5,0.2,119.6074205,0.2766721311475414
160,-41.25,-68.25,p_solar_Argentina_AR303,Argentina,137.4,0.2,169.1049632,0.272627390710381
161,-41.75,-68.25,p_solar_Argentina_AR304,Argentina,137.3,0.19,154.1561,0.2706609744990896
162,-42.25,-68.25,p_solar_Argentina_AR305,Argentina,137.3,0.19,99.65523082,0.2678973132969037
163,-42.75,-68.25,p_solar_Argentina_AR306,Argentina,137.1,0.19,47.60708779,0.2626969489981787
164,-43.25,-68.25,p_solar_Argentina_AR307,Argentina,137.0,0.19,4.757373324,0.2574610655737716
165,-43.75,-68.25,p_solar_Argentina_AR308,Argentina,136.9,0.18,59.85767787,0.2546670081967217
166,-44.25,-68.25,p_solar_Argentina_AR309,Argentina,136.8,0.18,114.9627307,0.25241905737704906
167,-44.75,-68.25,p_solar_Argentina_AR310,Argentina,136.7,0.18,85.06047698,0.2498435792349722
168,-45.25,-68.25,p_solar_Argentina_AR311,Argentina,136.7,0.18,47.04636321,0.24794444444444474
169,-45.75,-68.25,p_solar_Argentina_AR312,Argentina,136.5,0.18,4.679892601,0.24556716757741373
170,-46.25,-68.25,p_solar_Argentina_AR313,Argentina,136.4,0.18,6.399063933,0.241501935336976
171,-24.25,-67.75,p_solar_Argentina_AR324,Argentina,135.2,0.28,37.66481615,0.38839048269581783
172,-24.75,-67.75,p_solar_Argentina_AR325,Argentina,135.2,0.28,90.70572732,0.38955031876139196
173,-25.25,-67.75,p_solar_Argentina_AR326,Argentina,135.0,0.28,145.0227868,0.3899066484517395
174,-25.75,-67.75,p_solar_Argentina_AR327,Argentina,135.0,0.28,146.7540936,0.3899992030965483
175,-26.25,-67.75,p_solar_Argentina_AR328,Argentina,134.9,0.27,91.47124206,0.38867144808744036
176,-26.75,-67.75,p_solar_Argentina_AR329,Argentina,134.8,0.25,36.52292036,0.3828327641165829
177,-27.25,-67.75,p_solar_Argentina_AR330,Argentina,134.4,0.23,0.708018369,0.3660223132969074
178,-27.75,-67.75,p_solar_Argentina_AR331,Argentina,134.4,0.21,9.564213263,0.3403572404371593
179,-28.25,-67.75,p_solar_Argentina_AR332,Argentina,134.4,0.19,4.346301792,0.3239098360655746
180,-28.75,-67.75,p_solar_Argentina_AR333,Argentina,134.2,0.18,49.03093142,0.32326980874316963
181,-30.25,-67.75,p_solar_Argentina_AR336,Argentina,133.8,0.18,4.408450265,0.30111316029143975
182,-30.75,-67.75,p_solar_Argentina_AR337,Argentina,133.5,0.18,57.87156281,0.2973779599271399
183,-31.25,-67.75,p_solar_Argentina_AR338,Argentina,133.4,0.19,68.28680967,0.29478916211293316
184,-31.75,-67.75,p_solar_Argentina_AR339,Argentina,133.4,0.21,52.26686181,0.29092748178506317
185,-32.25,-67.75,p_solar_Argentina_AR340,Argentina,133.2,0.22,70.45054951,0.2881788479052826
186,-32.75,-67.75,p_solar_Argentina_AR341,Argentina,133.0,0.22,24.56169995,0.28597461293260595
187,-33.25,-67.75,p_solar_Argentina_AR342,Argentina,132.8,0.22,26.90712001,0.28398315118396955
188,-33.75,-67.75,p_solar_Argentina_AR343,Argentina,132.8,0.22,73.78661231,0.2827457877959923
189,-34.25,-67.75,p_solar_Argentina_AR344,Argentina,132.6,0.22,68.42990817,0.2811747495446258
190,-34.75,-67.75,p_solar_Argentina_AR345,Argentina,132.6,0.22,23.74251362,0.2797856329690346
191,-35.25,-67.75,p_solar_Argentina_AR346,Argentina,132.6,0.22,28.18833671,0.28044694899817796
192,-35.75,-67.75,p_solar_Argentina_AR347,Argentina,132.6,0.22,28.17394957,0.27989674408014487
193,-36.25,-67.75,p_solar_Argentina_AR348,Argentina,132.4,0.22,40.71550807,0.2766370673952646
194,-36.75,-67.75,p_solar_Argentina_AR349,Argentina,132.3,0.21,62.49662028,0.27474214480874376
195,-37.25,-67.75,p_solar_Argentina_AR350,Argentina,132.1,0.21,56.12108125,0.2739878187613839
196,-37.75,-67.75,p_solar_Argentina_AR351,Argentina,132.1,0.21,12.18612148,0.27288387978142076
197,-38.25,-67.75,p_solar_Argentina_AR352,Argentina,132.1,0.21,26.9706968,0.27145867486338887
198,-38.75,-67.75,p_solar_Argentina_AR353,Argentina,132.0,0.21,26.26897049,0.2711169171220399
199,-39.25,-67.75,p_solar_Argentina_AR354,Argentina,132.0,0.21,17.84507214,0.27106158925318796
200,-39.75,-67.75,p_solar_Argentina_AR355,Argentina,131.9,0.21,37.3302924,0.2723994763205818
201,-40.25,-67.75,p_solar_Argentina_AR356,Argentina,131.9,0.21,92.51850503,0.2735366575591987
202,-40.75,-67.75,p_solar_Argentina_AR357,Argentina,131.8,0.2,146.7471358,0.273901980874317
203,-41.25,-67.75,p_solar_Argentina_AR358,Argentina,131.8,0.2,189.1329501,0.2729290755919843
204,-41.75,-67.75,p_solar_Argentina_AR359,Argentina,131.6,0.2,158.218285,0.27146937613843375
205,-42.25,-67.75,p_solar_Argentina_AR360,Argentina,131.6,0.19,104.2067148,0.26822495446265937
206,-42.75,-67.75,p_solar_Argentina_AR361,Argentina,131.5,0.19,50.5775196,0.2610842440801457
207,-43.25,-67.75,p_solar_Argentina_AR362,Argentina,131.5,0.19,3.296966701,0.25599487704917945
