lz_from,lz_to,period,net_flow_twh,scenario
Brazil,Paraguay,2030,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2025,1.837455337626072,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2030,2.6190322948080964,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2035,2.107813676865468,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2040,2.321482667940726,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2045,2.14559254910459,prm15_wcost_re4_c2p1_t1
Brazil,Uruguay,2050,2.0081826641007283,prm15_wcost_re4_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2025,0.3321081,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2030,0.41380200000000006,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2035,0.4954844206074816,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2040,0.5077251,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2045,0.49499820000000005,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2050,0.5228694,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2025,0.0050376480000000005,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2030,0.004648149000000001,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2035,0.004959174,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2040,0.005124735,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2045,0.002839419,prm15_wcost_re5_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2025,0.00784222,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2045,0.00756144,prm15_wcost_re5_c2p1_t1
Argentina,Paraguay,2050,0.00703634,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2025,1.7449030103851018,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2030,1.6514930125808385,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2035,1.8483109583811126,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2040,1.8170304142959097,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2045,1.756528261106573,prm15_wcost_re5_c2p1_t1
Argentina,Uruguay,2050,1.7533816629927081,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2025,1.8820542175579733,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2030,2.507770623038266,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2035,2.013530914441677,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2040,1.9978967941999342,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2045,1.9479000440216907,prm15_wcost_re5_c2p1_t1
Brazil,Uruguay,2050,1.860213764852471,prm15_wcost_re5_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2025,0.2792097,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2030,0.36090360000000005,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2035,0.5389526131459521,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2040,0.5466861000000001,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2045,0.49713120000000005,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2050,0.4716774,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2025,0.005630988,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2030,0.004648149000000001,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2035,0.004425168,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2040,0.0033255750000000003,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2045,0.0028384620000000004,prm15_wcost_re6_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2025,0.00784222,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2045,0.00736831,prm15_wcost_re6_c2p1_t1
Argentina,Paraguay,2050,0.00709241,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2025,1.7539968123404182,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2030,1.5304835017714113,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2035,1.8682481800893813,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2040,1.8241665348501201,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2045,1.7188541838579787,prm15_wcost_re6_c2p1_t1
Argentina,Uruguay,2050,1.6344936637137688,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2025,1.9694374768605118,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2030,2.5961084265608467,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2035,2.0520111425409326,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2040,1.902601149593673,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2045,1.7744620448798785,prm15_wcost_re6_c2p1_t1
Brazil,Uruguay,2050,1.8022119460946928,prm15_wcost_re6_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2025,0.2792097,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2030,0.4139936794464688,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2035,0.5373027,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2040,0.5069497188139445,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2045,0.49713120000000005,prm15_wcost_re7_c2p1_t1
Argentina,Brazil,2050,0.4716774,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2025,0.0050376480000000005,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2030,0.004648149000000001,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2035,0.0044845020000000005,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2040,0.005154402000000001,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2045,0.002839419,prm15_wcost_re7_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re7_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re7_c2p1_t1
