period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2020,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re2_c2p1_t1
2020,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,prm15_wcost_re2_c2p1_t1
2025,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.3778,0.0,0.0,0.0,11.31,0.8,1.755,0.0,0.439,0.7515193135282441,1.609,0.0,prm15_wcost_re2_c2p1_t1
2025,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,13.212945618238377,0.0,0.0,104.603,11.35,1.99,0.0,2.074,21.778765550235583,1.487,4.1357660221374575,prm15_wcost_re2_c2p1_t1
2025,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.275,0.0,0.0,3.258,2.342886904055439,2.507,0.0,prm15_wcost_re2_c2p1_t1
2025,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re2_c2p1_t1
2025,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,prm15_wcost_re2_c2p1_t1
2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.0745510117753386,0.0,0.0,11.31,0.8,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,13.212945618238377,0.0,0.0,104.603,11.585,1.99,0.0,2.074,68.83238790874367,1.487,4.929,prm15_wcost_re2_c2p1_t1
2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.7382433699862188,0.04,0.0,6.949,0.275,0.0,0.0,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
2030,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re2_c2p1_t1
2030,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.589930289971065,1.514,0.0,prm15_wcost_re2_c2p1_t1
2035,Argentina,0.0,0.046,0.0,3.1924,0.0,1.663,0.0,18.2543,8.664122751400452,0.0,0.0,11.31,1.171,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
