scenario,technology,load_zone,new_build_mw,cap_mw,new_cap_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re10_c2p1_t1,SolarPV,Paraguay,3554.8663669040743,11360.1,3554.8663669040743,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Chile,6566.625560847519,94117.1,6566.625560847519,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Brazil,110461.4,134739.3,110461.4,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,SolarPV,Argentina,4759.7,68590.4,4759.7,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re17_c2p1_t1,Wind,Paraguay,144.51832886240393,80313.0,144.51832886240393,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re10_c2p1_t1,Wind,Uruguay,6530.60097365173,102552.0,6530.60097365173,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,SolarPV,Uruguay,2609.0134007682786,8111.2,2609.0134007682786,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Argentina,5921.185416290466,631578.0,5921.185416290466,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Uruguay,3006.004694077064,8111.2,3006.004694077064,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Paraguay,2577.870703893069,11360.1,2577.870703893069,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Brazil,80845.52113893225,134739.3,80845.52113893225,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Argentina,0.0,68590.4,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,Wind,Uruguay,7717.999729802756,102552.0,7717.999729802756,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,Wind,Uruguay,6538.809280838827,102552.0,6538.809280838827,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re17_c2p1_t1,Wind,Brazil,81609.0,281991.0,81609.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re10_c2p1_t1,Wind,Paraguay,1940.373831368368,80313.0,1940.373831368368,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,Wind,Argentina,7973.857284734425,631578.0,7973.857284734425,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,11,1,"NoCut,Lim",011
