load_zone,scs_id_x,variable_om_cost_total_x,fuel_cost_total_x,startup_cost_total_x,capacity_cost_x,transmission_capacity_cost_x,mwh_x,MtCO2_x,total_costs_x,operations_cost_total_x,emis_policy_x,exist_trd,op_char,fixed_pv,pol_x,group_x,split_tx_cost_x,new_total_cost_x,scs_id_y,variable_om_cost_total_y,fuel_cost_total_y,startup_cost_total_y,capacity_cost_y,transmission_capacity_cost_y,mwh_y,MtCO2_y,total_costs_y,operations_cost_total_y,emis_policy_y,pol_y,group_y,split_tx_cost_y,new_total_cost_y,tx_diff,cap_diff,op_diff,tot_diff,cost_prem
Region-wide,prm15_wcost_re9_c2p1_co2_cut90p_t1,38067841641.4953,35845758696.1426,584914249.1629496,265.3650640353813,0.0,10201172370.5,448.09472499999936,339863578622.1822,74.49851458680085,1,1,9,0,"90%Cut,Lim",110,0.0,339.8635786221822,prm15_wcost_re9_c2p1_t1,46221092506.5234,91047588892.40146,25295967.97824277,161.58204036416635,0.0,10201172370.5,1367.4610164236003,298876017731.06946,137.2939773669031,0,"NoCut,Lim",10,0.0,298.87601773106945,0.0,103.78302367121495,-62.795462780102255,40.987560891112764,0.13713900901876186
Region-wide,prm15_wcost_re4_c2p1_co2_cut90p_t1,37107410585.30596,35511283400.10511,554302970.2669473,260.74090248674736,0.0,10201172370.5,448.094724999999,333913899442.4253,73.17299695567803,1,1,4,0,"90%Cut,Lim",110,0.0,333.91389944242536,prm15_wcost_re4_c2p1_t1,45839841224.08247,87765501781.21225,25438765.14916157,164.511167446434,0.0,10201172370.5,1325.7187443983023,298141949216.87787,133.63078177044386,0,"NoCut,Lim",10,0.0,298.1419492168779,0.0,96.22973504031336,-60.45778481476583,35.77195022554747,0.11998294879170399
Region-wide,prm15_wcost_re17_c2p1_co2_cut90p_t1,36309147122.557976,35873854274.196465,273838081.87984765,267.53815257427453,0.0,10201172370.5,448.0947250000012,339994992052.9088,72.4568394786343,1,1,17,1,"90%Cut,Lim",111,0.0,339.9949920529088,prm15_wcost_re17_c2p1_t1,47013665154.29971,96346266840.57549,12269711.510356003,159.7699413483805,0.0,10201172370.5,1431.4023295990014,303142143054.76605,143.37220170638554,0,"NoCut,Lim",11,0.0,303.14214305476605,0.0,107.76821122589402,-70.91536222775125,36.85284899814275,0.1215695337730883
Region-wide,prm15_wcost_re16_c2p1_co2_cut90p_t1,35781318984.11726,35159223649.99993,261952635.23252183,260.1187151903289,0.0,10201172370.5,448.0947249999997,331321210459.67865,71.20249526934971,1,1,16,1,"90%Cut,Lim",111,0.0,331.3212104596786,prm15_wcost_re16_c2p1_t1,45844914793.34946,88433874392.31693,11935781.903629571,165.8876816327716,0.0,10201172370.5,1322.2064796715536,300178406600.3416,134.29072496757,0,"NoCut,Lim",11,0.0,300.1784066003416,0.0,94.23103355755728,-63.088229698220275,31.142803859336993,0.10374764864682827
Region-wide,prm15_wcost_re10_c2p1_co2_cut90p_t1,35481100668.23284,34351781797.58467,322338239.02807915,244.1769701617456,0.0,10201172370.5,448.0947250000015,314332190866.5912,70.15522070484558,1,1,10,0,"90%Cut,Lim",110,0.0,314.3321908665912,prm15_wcost_re10_c2p1_t1,43758491077.84831,74346569698.87439,12832125.573779557,175.37780084625467,0.0,10201172370.5,1143.651732670804,293495693748.55115,118.11789290229646,0,"NoCut,Lim",10,0.0,293.4956937485512,0.0,68.79916931549093,-47.962672197450885,20.836497118039972,0.07099421750252793
Region-wide,prm15_wcost_re11_c2p1_co2_cut90p_t1,35663295588.41513,34866730922.9891,262546832.164855,255.2562995716423,0.0,10201172370.5,448.0947250000008,326048872915.21136,70.79257334356909,1,1,11,1,"90%Cut,Lim",111,0.0,326.0488729152114,prm15_wcost_re11_c2p1_t1,45672243567.21435,86822688974.38556,12588542.772292018,165.4553089729996,0.0,10201172370.5,1309.811902310369,297962830057.37177,132.5075210843722,0,"NoCut,Lim",11,0.0,297.96283005737183,0.0,89.8009905986427,-61.71494774080311,28.086042857839573,0.09426022317089582
Region-wide,prm15_wcost_re12_c2p1_co2_cut90p_t1,37308903711.10948,36311369957.81021,272364803.3429566,272.28043836771866,0.0,10201172370.5,448.0947250000005,346173076839.9813,73.89263847226265,1,1,12,1,"90%Cut,Lim",111,0.0,346.1730768399813,prm15_wcost_re12_c2p1_t1,47523689648.45395,100163091970.32198,12611245.59511255,157.46135633355738,0.0,10201172370.5,1481.3786415495256,305160749197.9284,147.69939286437108,0,"NoCut,Lim",11,0.0,305.16074919792845,0.0,114.81908203416128,-73.80675439210843,41.01232764205287,0.1343958151559397
Region-wide,prm15_wcost_re13_c2p1_co2_cut90p_t1,38681634502.81867,38127631027.07332,342075234.4822662,286.9656621840129,0.0,10201172370.5,448.09472500000055,364117002948.3872,77.15134076437427,1,1,13,1,"90%Cut,Lim",111,0.0,364.1170029483872,prm15_wcost_re13_c2p1_t1,48724573270.93383,107069218054.60628,15742943.7227254,153.03422494158653,0.0,10201172370.5,1592.556917905643,308843759210.84937,155.80953426926283,0,"NoCut,Lim",11,0.0,308.8437592108494,0.0,133.93143724242637,-78.65819350488856,55.273243737537825,0.17896830384000886
Region-wide,prm15_wcost_re14_c2p1_co2_cut90p_t1,38275324939.34555,36440730052.94604,293910448.61817265,276.1816652272799,0.0,10201172370.5,448.0947250000016,351191630668.18964,75.00996544090978,1,1,14,1,"90%Cut,Lim",111,0.0,351.1916306681897,prm15_wcost_re14_c2p1_t1,47680640422.98604,101135216805.91248,16452294.73312851,157.7233868496833,0.0,10201172370.5,1493.6843287570327,306555696373.31494,148.83230952363166,0,"NoCut,Lim",11,0.0,306.55569637331496,0.0,118.4582783775966,-73.82234408272188,44.635934294874744,0.14560464810452697
Region-wide,prm15_wcost_re15_c2p1_co2_cut90p_t1,37046102314.98827,36062255913.21544,275074512.74997616,268.9675765817176,0.0,10201172370.5,448.09472500000055,342351009322.67126,73.38343274095368,1,1,15,1,"90%Cut,Lim",111,0.0,342.35100932267125,prm15_wcost_re15_c2p1_t1,47213811861.85204,97881373012.00587,13009937.1958466,158.8745860279774,0.0,10201172370.5,1451.8436556434883,303982780839.0312,145.10819481105378,0,"NoCut,Lim",11,0.0,303.9827808390312,0.0,110.09299055374021,-71.7247620701001,38.36822848364005,0.12621842716794304
