SolarPV Argentina,SolarPV Brazil,SolarPV Chile,SolarPV Paraguay,SolarPV Uruguay,Wind Argentina,Wind Brazil,Wind Chile,Wind Paraguay,Wind Uruguay,emis_policy,exist_trd,op_char,fixed_pv,pol,group,Argentina,Brazil,Uruguay,Paraguay,Chile
4255.3261164127,112919.39999999944,5640.817496071,5779.7999999999,3404.7627053797,0.0,55980.0,0.0,3962.7555379,6223.5928786117,0,0,7,0,"NoCut,Full",000,0.011347536310433866,0.45039839999999853,0.025675614890643735,0.0259801481010664,0.015042179989522668
5367.5603890349,125528.9999999987,5640.817496071,7852.8,3230.26258784608,0.0,38745.0,0.0,683.69588628,1860.0,0,0,8,0,"NoCut,Full",000,0.014313494370759733,0.43806399999999657,0.013574033567589548,0.02276398903008,0.015042179989522668
0.0,15725.4,0.0,0.0,2009.1684838231,12750.0,110918.999999992,0.0,10031.543306193,7343.84494025,0,0,20,1,"NoCut,Full",001,0.034,0.33771839999997866,0.0249413691308616,0.026750782149848,0.0
5835.425707009,127156.6848417219,5640.817496071,7852.8,3035.5784417509,0.0,30093.0,0.0,372.817087962,0.0,0,0,3,0,"NoCut,Full",000,0.015561135218690667,0.4193324929112584,0.008094875844669067,0.021934978901232,0.015042179989522668
5531.0,125528.99999999994,5640.817496071,7693.1999999999,3246.2004338391,0.0,38430.0,0.0,1773.096065168,1860.0,0,0,9,0,"NoCut,Full",000,0.014749333333333333,0.43722399999999983,0.0136165344902376,0.025243456173781067,0.015042179989522668
501.9,113343.5010916327,0.0,5621.4,1939.260881981,0.0,40070.306355836,0.0,5287.18857526,0.0,0,0,13,1,"NoCut,Full",001,0.0013384,0.4091034865265832,0.005171362351949333,0.02908956953402667,0.0
0.0,78954.2,0.0,516.7,2417.2087402359,5752.827760466,80016.0,0.0,7647.59229429,7178.948707212,0,0,17,1,"NoCut,Full",001,0.015340874027909332,0.42392053333333335,0.0255897531931944,0.021771446118106667,0.0
0.0,82626.5,0.0,932.801171671,2466.7153845876,5786.311695487,72176.999999997,0.0,7161.0,6957.5120153709995,0,0,15,1,"NoCut,Full",001,0.015430164521298667,0.4128093333333253,0.025131273066556267,0.021583469791122665,0.0
0.0,89168.0,0.0,1592.8,2288.33052669,5896.776974482,65336.999999999,0.0,7113.1956125100005,4826.99999999938,0,0,12,1,"NoCut,Full",001,0.015724738598618667,0.4120133333333307,0.01897421473783835,0.023215988300026667,0.0
0.0,21056.7,0.0,0.0,2104.8,8991.0,100860.0007440957,0.0,9837.501095999,7391.642970647,0,0,11,1,"NoCut,Full",001,0.023976,0.3251112019842552,0.025323847921725335,0.02623333625599733,0.0
0.0,49202.17313864,0.0,0.0,2180.8867210865,6105.342298145,91682.99999999611,0.0,10188.984305614,7137.706676142,0,0,16,1,"NoCut,Full",001,0.016280912795053334,0.37569379503636297,0.024849582392609332,0.027170624814970665,0.0
239.0,97692.94983946392,0.0,2914.9334021693,2104.8,4185.0,62465.9999999999,0.0,6192.000057304,3932.0165045322,0,0,14,1,"NoCut,Full",001,0.011797333333333333,0.4270905329052368,0.016098177345419202,0.024285155891928797,0.0
2309.4,95553.9750266985,5640.817496071,2013.1,2782.784271388,12750.0,86802.633739102,0.0,7376.124352465,6705.628166045,0,0,10,0,"NoCut,Full",000,0.0401584,0.4862842900421347,0.025302433166488,0.025037931606573333,0.015042179989522668
9660.6,130357.88481820044,18261.985324275887,6640.8,3565.438288763258,68459.2209666828,194649.0,22716.0,4282.587154236233,7271.489440037978,1,1,11,1,"90%Cut,Lim",111,0.2083195225778208,0.8666850261818678,0.028898473943469963,0.029129032411296617,0.10927462753140235
17624.0,134739.3,27031.553841346264,8312.7,4098.635287214651,75355.81825359837,192963.0,19296.0,4091.7129721318465,8086.359333072402,1,1,12,1,"90%Cut,Lim",111,0.24794618200959564,0.8738728,0.032493318987432136,0.033078434592351595,0.12354014357692338
