Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3,all_avg
-49.25,-70.25,p_wind_Argentina_AR122,Argentina,930,0.12,116.9156784,0.6271125910746806,0.5829459244080145,0.5314772313296904,0.5684467213114754,0.5910961976320583,0.6164043715846994,0.5933168260473588,0.5436338797814207,0.5421189663023679,0.6362901867030966,0.5832842896174864
-49.75,-70.25,p_wind_Argentina_AR123,Argentina,729,0.15,80.81577168,0.6014247495446251,0.5556692850637522,0.5042347449908926,0.5406239754098361,0.5631087204007287,0.5901653005464481,0.5660647768670309,0.5158280965391621,0.5160516848816029,0.6115462204007285,0.5564717554644807
-50.25,-70.25,p_wind_Argentina_AR124,Argentina,606,0.22,41.07619962,0.603806124772311,0.556789048269581,0.5044384107468125,0.541241461748634,0.5640737704918033,0.5921634790528233,0.5673473360655737,0.516034039162113,0.5167561475409835,0.6142167577413479,0.5576866575591983
-50.75,-70.25,p_wind_Argentina_AR125,Argentina,108,0.33,1.546720129,0.614362704918033,0.5673765938069217,0.5148579234972678,0.5516947859744992,0.5744977231329691,0.6027237021857923,0.5777840391621129,0.5263187613843352,0.5272484061930783,0.6247834699453553,0.5681648110200365
-51.25,-70.25,p_wind_Argentina_AR126,Argentina,804,0.41,11.34345728,0.6107788023679369,0.5645765027322404,0.5133424408014572,0.5491806693989072,0.5713576958105647,0.5993159153005464,0.5746862477231329,0.524337431693989,0.5256520947176684,0.6210899362477231,0.5654317736794165
-51.75,-70.25,p_wind_Argentina_AR127,Argentina,1170,0.46,24.71239972,0.6084737021857932,0.5632040072859744,0.5132695810564664,0.5482000227686703,0.5697455601092896,0.5972178961748634,0.5729511612021858,0.5238254781420765,0.5254419398907103,0.6186789617486339,0.5641008310564664
-40.75,-69.75,p_wind_Argentina_AR151,Argentina,492,0.06,64.75385853,0.4685693306010946,0.4184578779599271,0.3725056921675774,0.4062114071038251,0.4284831511839709,0.4552403233151184,0.4328517759562841,0.3853041894353369,0.3826395719489981,0.4754006147540983,0.42256639344262303
-41.25,-69.75,p_wind_Argentina_AR152,Argentina,510,0.06,108.9317881,0.4960706967213134,0.4459182604735883,0.3978622495446266,0.432876252276867,0.455975068306011,0.4829324908925318,0.4603940118397086,0.4112254098360656,0.4077974726775956,0.5030215163934426,0.44940734289617507
-43.75,-69.75,p_wind_Argentina_AR157,Argentina,486,0.06,68.99558964,0.5995993852458992,0.5531667805100182,0.5020170765027323,0.5393818306010929,0.5631454918032786,0.5880093351548269,0.5662027550091074,0.5159926001821494,0.5107723132969034,0.6063965163934427,0.5544684084699452
-44.25,-69.75,p_wind_Argentina_AR158,Argentina,483,0.08,124.4789904,0.6292412340619289,0.5831775956284152,0.5304066484517304,0.5686427595628416,0.592808743169399,0.6179552595628416,0.5958257058287796,0.5444600409836066,0.5393247950819672,0.6364643670309653,0.5838307149362475
