tech,scs,2020,2025,2030,2035,2040,2045,2050,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Hydro,prm15_wcost_re19_c2p1_t1,60.70848752827624,59.24440068725008,52.72872371061655,46.53046349214876,43.35060636400512,41.06393909600478,36.10944012104628,0,1,19,1,"NoCut,Lim",011
Hydro,prm15_wcost_re1_c2p1_t1,60.66829934555356,58.98772677146117,52.29768463454438,49.07523903772335,46.36404328499654,41.23322149823111,35.84732796991036,0,1,1,0,"NoCut,Lim",010
Hydro,prm15_wcost_re20_c2p1_t1,60.70848752827624,59.03489669877729,52.201871681680345,47.868043766013884,45.275887915811694,41.23934641184472,35.84635940584791,0,1,20,1,"NoCut,Lim",011
Hydro,prm15_wcost_re18_c2p1_t1,60.70848752827624,59.207446067952255,52.72844196047709,46.53015699898801,43.350943036349356,41.15484295119616,36.109652940755865,0,1,18,1,"NoCut,Lim",011
Hydro,prm15_wcost_re16_c2p1_t1,60.70848752827624,58.980557084930616,52.64023822707833,48.090288901467325,45.23121806084374,41.228877881789145,35.863047093811126,0,1,16,1,"NoCut,Lim",011
Hydro,prm15_wcost_re17_c2p1_t1,60.70848752827624,59.056835982309906,52.72631966832341,46.98808848636458,43.35138046124433,41.22805163495114,36.10720905928295,0,1,17,1,"NoCut,Lim",011
Hydro,prm15_wcost_re6_c2p1_t1,60.66829934555356,59.009558698041914,52.42259465235487,48.41636741691166,45.80223584247586,41.237761326378816,35.84638483909713,0,1,6,0,"NoCut,Lim",010
Hydro,prm15_wcost_re5_c2p1_t1,60.66829934555356,58.92009223912261,52.063951126169904,48.30181521262677,45.39632680073592,41.23744840682702,35.862217282423536,0,1,5,0,"NoCut,Lim",010
Hydro,prm15_wcost_re7_c2p1_t1,60.66829934555356,58.95573324435232,52.23222250223502,48.26336923666228,45.50960054290576,41.23730653386727,35.8628901785556,0,1,7,0,"NoCut,Lim",010
Hydro,prm15_wcost_re9_c2p1_t1,60.66829934555356,59.080315619183835,52.12733931360446,47.68734007155385,45.37156010063018,41.333501377480445,36.09919748664401,0,1,9,0,"NoCut,Lim",010
