scs,period,load_zone,Battery_new,Biomass_new,Coal_new,Diesel_new,Gas_new,Geothermal_new,Hydro_new,Nuclear_new,Solar_new,Wind_new,emis_policy,exist_trd,op_char,fixed_pv,Fossil_new,pol,group
prm15_wcost_re15_c2p1_t1,2050,Region-wide,2.5756610444768886,0.0,0.0,0.125,159.90218621462589,0.0,57.174,0.0,88.27090056277528,85.86922192717675,0,1,15,1,160.02718621462589,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Region-wide,3.5186539430226067,0.0,0.0,0.125,159.14301495175195,0.0,53.59,0.0,60.49071586316366,113.07064884180184,0,1,16,1,159.26801495175195,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Region-wide,2.5753555688749765,0.0,0.0,0.125,158.73145032041646,0.0,57.174,0.0,86.42939653690239,95.23755288566696,0,1,17,1,158.85645032041646,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Region-wide,2.382265706185433,0.0,0.0,0.125,163.50673432758904,0.0,57.174,0.0,117.0624685085188,58.57999972980275,0,1,18,1,163.63173432758904,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Region-wide,2.411538630742577,0.0,0.0,0.125,163.70934106598375,0.0,57.174,0.0,117.79352740094038,56.724962426188966,0,1,19,1,163.83434106598375,"NoCut,Lim",011
prm15_wcost_re1_c2p1_t1,2050,Region-wide,3.596233569912263,0.0,0.0,0.125,161.25155771984734,0.0,53.32,0.0,134.2638411374437,97.74166968192232,0,1,1,0,161.37655771984734,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,2050,Region-wide,3.2144854022734437,0.0,0.0,0.125,156.61086492041858,0.0,53.32,0.0,24.18838433404207,137.92119741846247,0,1,20,1,156.73586492041858,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,2050,Region-wide,4.163329682138997,0.0,0.0,0.125,165.4797836265128,0.0,53.59,0.0,150.0932695365069,57.219093530784896,0,1,2,0,165.6047836265128,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Region-wide,4.339660022762391,0.0,0.0,0.125,164.52297475380442,0.0,57.174,0.0,153.1980762135844,34.790921787464455,0,1,3,0,164.64797475380442,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Region-wide,4.074458018828953,0.0,0.0,0.125,165.4799837622537,0.0,53.59,0.0,145.76328692555728,57.92846575133751,0,1,5,0,165.6049837622537,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,2050,Region-wide,3.593245634923309,0.0,0.0,0.125,163.40030632694217,0.0,53.32,0.0,137.88442191562226,80.57558430507498,0,1,6,0,163.52530632694217,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,2050,Region-wide,3.955161981082301,0.0,0.0,0.125,164.9769545730658,0.0,53.59,0.0,144.11062140652686,62.90706756681436,0,1,7,0,165.1019545730658,"NoCut,Lim",010
prm15_wcost_re8_c2p1_t1,2050,Region-wide,4.216085900929027,0.0,0.0,0.125,163.33493793896602,0.0,57.174,0.0,152.72294477413942,45.28380928083882,0,1,8,0,163.45993793896602,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,2050,Uruguay,0.042129043656311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4636679151903427,7.183921896415075,0,1,20,1,0.0,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Paraguay,3.172356358617132,0.0,0.0,0.125,3.1113221555739297,0.0,0.0,0.0,3.5633164188517275,1.8403347537687444,0,1,20,1,3.2363221555739297,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Chile,0.0,0.0,0.0,0.0,20.93184673015873,0.0,0.575,0.0,0.0,0.0,0,1,20,1,20.93184673015873,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Brazil,0.0,0.0,0.0,0.0,62.600004629557965,0.0,50.635,0.0,18.1614,116.14694076827864,0,1,20,1,62.600004629557965,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Argentina,0.0,0.0,0.0,0.0,69.96769140512797,0.0,2.11,0.0,0.0,12.75,0,1,20,1,69.96769140512797,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Uruguay,0.0492800671870361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853095773447498,7.584227203482047,0,1,19,1,0.0,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Paraguay,2.362258563555541,0.0,0.0,0.125,4.395691627661139,0.0,0.0,0.0,2.488623316887591,0.0,0,1,19,1,4.520691627661139,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Chile,0.0,0.0,0.0,0.0,21.38011857142857,0.0,0.575,0.0,0.0,0.0,0,1,19,1,21.38011857142857,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Brazil,0.0,0.0,0.0,0.0,80.725,0.0,54.489,0.0,114.4798,42.54467802780746,0,1,13,1,80.725,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Argentina,0.0,0.0,0.0,0.0,53.649497469124434,0.0,2.11,0.0,1.8788,0.585,0,1,13,1,53.649497469124434,"NoCut,Lim",011
prm15_wcost_re4_c2p1_t1,2050,Region-wide,4.15993573317847,0.0,0.0,0.125,162.31440701597884,0.0,57.174,0.0,151.75047135214257,53.89725800674147,0,1,4,0,162.43940701597884,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,2050,Paraguay,2.4344305397975767,0.0,0.0,0.125,4.310684111517428,0.0,0.0,0.0,2.571046059269936,0.1149784016360185,0,1,12,1,4.435684111517428,"NoCut,Lim",011
prm15_wcost_re6_c2p1_t1,2050,Brazil,0.0,0.0,0.0,0.0,51.46388837470959,0.0,50.635,0.0,118.1068,68.85,0,1,6,0,51.46388837470959,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,2050,Argentina,0.0,0.0,0.0,0.0,73.42432572159476,0.0,2.11,0.0,6.0130467615311805,3.258,0,1,6,0,73.42432572159476,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Uruguay,0.0790191532076422,0.0,0.0,0.0,5.53,0.0,0.0,0.0,3.754941805602406,6.648635064140196,0,1,5,0,5.53,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Paraguay,3.995438865621311,0.0,0.0,0.125,2.9985478188822983,0.0,0.0,0.0,6.0602,0.0488306871973184,0,1,5,0,3.1235478188822983,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Chile,0.0,0.0,0.0,0.0,18.579588116862464,0.0,0.575,0.0,6.566879393697937,0.0,0,1,5,0,18.579588116862464,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Brazil,0.0,0.0,0.0,0.0,62.62134668501936,0.0,50.905,0.0,122.90679867398651,51.231,0,1,5,0,62.62134668501936,"NoCut,Lim",010
