scs,transmission_line,period,new_build_transmission_capacity_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re3_c2p1_tn,Argentina_Uruguay_New,14245,2.950037433153,0,0,3,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,4,0,"90%Cut,Full",100
prm15_wcost_re4_c2p1_tn,Argentina_Uruguay_New,14245,1.3970955301210002,0,0,4,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,5,0,"90%Cut,Full",100
prm15_wcost_re5_c2p1_tn,Argentina_Uruguay_New,14245,0.359405643372,0,0,5,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,6,0,"90%Cut,Full",100
prm15_wcost_re6_c2p1_tn,Argentina_Uruguay_New,14245,0.0313790079731,0,0,6,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,7,0,"90%Cut,Full",100
prm15_wcost_re7_c2p1_tn,Argentina_Uruguay_New,14245,0.311810553814,0,0,7,0,"NoCut,Full",000
prm15_wcost_re8_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0135253918495,1,0,8,0,"90%Cut,Full",100
prm15_wcost_re8_c2p1_tn,Argentina_Uruguay_New,14245,2.259549090909,0,0,8,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0110125466754,1,0,9,0,"90%Cut,Full",100
prm15_wcost_re3_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0363609171702,1,0,3,0,"90%Cut,Full",100
prm15_wcost_re15_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0615811177041,1,0,15,1,"90%Cut,Full",101
prm15_wcost_re9_c2p1_tn,Argentina_Uruguay_New,14245,2.261697112299,0,0,9,0,"NoCut,Full",000
prm15_wcost_re10_c2p1_tn,Argentina_Uruguay_New,14245,0.0,0,0,10,0,"NoCut,Full",000
prm15_wcost_re12_c2p1_tn,Argentina_Uruguay_New,14245,1.3469525095610002,0,0,12,1,"NoCut,Full",001
