rscen,tech,emis,diff
prm15_wcost_re6_c2p1_co2_cut90p,Hydro,cut90p,0.8128373850713491
prm15_wcost_re16_c2p1,Hydro,nocut,-0.0
prm15_wcost_re12_c2p1_co2_cut90p,Hydro,cut90p,0.025993173831549754
prm15_wcost_re17_c2p1,Hydro,nocut,-0.0
prm15_wcost_re11_c2p1_co2_cut90p,Battery,cut90p,-1.9068678927772722
prm15_wcost_re20_c2p1_co2_cut90p,Battery,cut90p,-1.806923210619207
prm15_wcost_re3_c2p1,Battery,nocut,-0.5373382294697768
prm15_wcost_re7_c2p1_co2_cut90p,Battery,cut90p,-1.8491105495430507
prm15_wcost_re12_c2p1_co2_cut90p,Battery,cut90p,-2.0964129456259384
prm15_wcost_re19_c2p1_co2_cut90p,Battery,cut90p,-2.6625224428319463
prm15_wcost_re13_c2p1_co2_cut90p,Battery,cut90p,-2.720131578072503
prm15_wcost_re15_c2p1_co2_cut90p,Battery,cut90p,-2.107831538424552
prm15_wcost_re18_c2p1_co2_cut90p,Battery,cut90p,-2.6757108374665624
prm15_wcost_re17_c2p1_co2_cut90p,Battery,cut90p,-2.0959499606900676
prm15_wcost_re8_c2p1_co2_cut90p,Battery,cut90p,-2.434103265906255
prm15_wcost_re2_c2p1,Battery,nocut,-0.5154097326700936
prm15_wcost_re14_c2p1_co2_cut90p,Battery,cut90p,-2.4373595778759416
prm15_wcost_re9_c2p1_co2_cut90p,Battery,cut90p,-2.422673305365324
prm15_wcost_re10_c2p1_co2_cut90p,Battery,cut90p,-2.024670042345708
prm15_wcost_re16_c2p1_co2_cut90p,Battery,cut90p,-1.916815069988814
prm15_wcost_re6_c2p1,Battery,nocut,-0.4450860139207178
prm15_wcost_re6_c2p1_co2_cut90p,Battery,cut90p,-1.6444010436117988
prm15_wcost_re20_c2p1,Battery,nocut,-0.39865600919861577
prm15_wcost_re19_c2p1,Battery,nocut,-0.29973930132845217
prm15_wcost_re4_c2p1,Battery,nocut,-0.5149910661360702
prm15_wcost_re18_c2p1,Battery,nocut,-0.2961282883145247
