type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
export,Brazil,-1,14245,44.46995,-44.46995,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
export,Brazil,-1,14245,36.47792,-36.47792,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
export,Brazil,-1,14245,36.282199999999996,-36.282199999999996,prm15_wcost_re5_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
export,Brazil,-1,14245,38.47661,-38.47661,prm15_wcost_re15_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Fixed,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
export,Brazil,-1,14245,19.810380000000002,-19.810380000000002,prm15_wcost_re18_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Fixed,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
export,Brazil,-1,14245,34.55194,-34.55194,prm15_wcost_re6_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Single-Axis,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
export,Brazil,-1,14245,32.21913,-32.21913,prm15_wcost_re16_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Fixed,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
export,Brazil,-1,14245,36.81386,-36.81386,prm15_wcost_re17_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Fixed,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
export,Brazil,-1,14245,24.563209999999998,-24.563209999999998,prm15_wcost_re9_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Single-Axis,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
export,Brazil,-1,14245,36.99964,-36.99964,prm15_wcost_re19_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Fixed,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
