lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Argentina,Chile,Argentina-Chile,14245,174.41838330154968,prm15_wcost_re17_c2p1_co2_cut90p_tn,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,183.18954361479175,prm15_wcost_re18_c2p1_co2_cut90p_tn,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,141.8893188565222,prm15_wcost_re5_c2p1_co2_cut90p_tn,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,163.90605839754858,prm15_wcost_re16_c2p1_co2_cut90p_tn,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,180.11596514039664,prm15_wcost_re12_c2p1_co2_cut90p_tn,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,177.49737897413593,prm15_wcost_re15_c2p1_co2_cut90p_tn,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,166.32116939976777,prm15_wcost_re20_c2p1_co2_cut90p_tn,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,156.12633175352227,prm15_wcost_re4_c2p1_co2_cut90p_tn,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,166.63781570725791,prm15_wcost_re11_c2p1_co2_cut90p_tn,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,130.3828600702105,prm15_wcost_re7_c2p1_co2_cut90p_tn,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
Argentina,Chile,Argentina-Chile,14245,0.13489752375,prm15_wcost_re1_c2p1_tn,vestas2_1axis,0,0,1,0,"NoCut,Full",000
Argentina,Chile,Argentina-Chile,14245,0.1704805319382755,prm15_wcost_re14_c2p1_tn,siemens36_fixed,0,0,14,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.1761961181355318,prm15_wcost_re15_c2p1_tn,siemens23_fixed,0,0,15,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.1852506350126088,prm15_wcost_re18_c2p1_tn,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,191.4304769410943,prm15_wcost_re19_c2p1_co2_cut90p_tn,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
Argentina,Chile,Argentina-Chile,14245,0.1825453575,prm15_wcost_re13_c2p1_tn,vestas3_fixed,0,0,13,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,0.17002420875000002,prm15_wcost_re16_c2p1_tn,ge25_fixed,0,0,16,1,"NoCut,Full",001
Argentina,Chile,Argentina-Chile,14245,137.7166227358871,prm15_wcost_re3_c2p1_co2_cut90p_tn,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
