Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed,all_avg
-29.75,-68.75,p_solar_Argentina_AR227,Argentina,144.4,0.2,15.21528245,0.3217835837887063,0.2415336976320583,0.28165864071038227
-30.25,-68.75,p_solar_Argentina_AR228,Argentina,144.4,0.2,0.696466295,0.3118346994535521,0.2357262067395264,0.27378045309653926
-30.75,-68.75,p_solar_Argentina_AR229,Argentina,144.3,0.2,11.04828099,0.3110265255009103,0.2348570127504553,0.2729417691256828
-31.75,-68.75,p_solar_Argentina_AR231,Argentina,144.2,0.23,14.02598716,0.30822427140255,0.2327698087431694,0.2704970400728597
-32.25,-68.75,p_solar_Argentina_AR232,Argentina,144.2,0.23,10.83480687,0.3008886612021855,0.2287818761384335,0.2648352686703095
-32.75,-68.75,p_solar_Argentina_AR233,Argentina,143.9,0.23,4.038415152,0.2926045081967214,0.2238666894353369,0.25823559881602914
-33.25,-68.75,p_solar_Argentina_AR234,Argentina,143.7,0.23,2.607231911,0.288687841530055,0.2211908014571948,0.2549393214936249
-33.75,-68.75,p_solar_Argentina_AR235,Argentina,143.6,0.23,18.98836799,0.2920883424408008,0.2224940801457195,0.25729121129326016
-34.25,-68.75,p_solar_Argentina_AR236,Argentina,143.4,0.23,0.416428961,0.2979002732240434,0.2252760701275045,0.261588171675774
-34.75,-68.75,p_solar_Argentina_AR237,Argentina,143.1,0.23,8.923626507,0.3006944444444449,0.2265992714025501,0.2636468579234975
-35.25,-68.75,p_solar_Argentina_AR238,Argentina,142.9,0.23,28.45018955,0.3054688069216763,0.2292856329690346,0.26737721994535546
-35.75,-68.75,p_solar_Argentina_AR239,Argentina,142.9,0.23,60.69556337,0.3104682377049179,0.2320432604735883,0.2712557490892531
-36.25,-68.75,p_solar_Argentina_AR240,Argentina,142.9,0.22,42.04360675,0.304423724954462,0.2275053506375227,0.2659645377959924
-36.75,-68.75,p_solar_Argentina_AR241,Argentina,142.9,0.22,26.47975814,0.2925443989071031,0.2192529599271402,0.25589867941712163
-37.25,-68.75,p_solar_Argentina_AR242,Argentina,142.8,0.21,20.54559766,0.2863981102003643,0.2149109744990892,0.25065454234972673
-37.75,-68.75,p_solar_Argentina_AR243,Argentina,142.7,0.21,19.90895717,0.2807416894353375,0.2116005236794171,0.24617110655737728
-38.25,-68.75,p_solar_Argentina_AR244,Argentina,142.5,0.21,4.52562235,0.275660519125683,0.2086339936247723,0.24214725637522766
-38.75,-68.75,p_solar_Argentina_AR245,Argentina,142.5,0.21,22.15650206,0.2738484744990884,0.2075107012750455,0.24067958788706695
-39.25,-68.75,p_solar_Argentina_AR246,Argentina,142.5,0.21,0.39539936,0.2738186475409839,0.2071820355191256,0.24050034153005473
-39.75,-68.75,p_solar_Argentina_AR247,Argentina,142.4,0.21,23.56852484,0.2769097222222217,0.2086919398907104,0.24280083105646605
-40.25,-68.75,p_solar_Argentina_AR248,Argentina,142.3,0.21,50.40666688,0.2806703096539165,0.2109867941712204,0.24582855191256844
-40.75,-68.75,p_solar_Argentina_AR249,Argentina,142.3,0.2,103.3996328,0.2767596766848818,0.2087296220400728,0.2427446493624773
-41.25,-68.75,p_solar_Argentina_AR250,Argentina,142.2,0.2,157.7185239,0.2715091074681239,0.2050447404371584,0.23827692395264116
-41.75,-68.75,p_solar_Argentina_AR251,Argentina,142.1,0.19,152.685745,0.2685891393442614,0.2042476092896175,0.23641837431693943
-42.25,-68.75,p_solar_Argentina_AR252,Argentina,142.1,0.19,98.2132058,0.262760245901639,0.201897427140255,0.232328836520947
-42.75,-68.75,p_solar_Argentina_AR253,Argentina,142.0,0.18,43.50423932,0.2588638433515481,0.1989672131147541,0.2289155282331511
-43.25,-68.75,p_solar_Argentina_AR254,Argentina,141.8,0.18,11.06688153,0.2577970173041882,0.1969060792349727,0.22735154826958043
-43.75,-68.75,p_solar_Argentina_AR255,Argentina,141.7,0.18,66.15070405,0.2560242486338795,0.1946828324225865,0.225353540528233
-44.25,-68.75,p_solar_Argentina_AR256,Argentina,141.7,0.18,121.0035559,0.2516755464480874,0.1917201730418943,0.22169785974499084
-24.75,-68.25,p_solar_Argentina_AR270,Argentina,140.6,0.28,87.1647166,0.3912865437158546,0.2793145491803279,0.33530054644809126
-25.25,-68.25,p_solar_Argentina_AR271,Argentina,140.5,0.28,140.5447714,0.3930028460837994,0.2812186930783242,0.3371107695810618
-25.75,-68.25,p_solar_Argentina_AR272,Argentina,140.3,0.28,157.3557681,0.3936402550091185,0.2819421675774134,0.33779121129326595
-26.25,-68.25,p_solar_Argentina_AR273,Argentina,140.2,0.27,107.5977155,0.3950905054644928,0.2830588570127504,0.3390746812386216
-26.75,-68.25,p_solar_Argentina_AR274,Argentina,140.2,0.26,67.30712104,0.3949398907103956,0.284088456284153,0.3395141734972743
-27.25,-68.25,p_solar_Argentina_AR275,Argentina,140.2,0.24,46.52646749,0.3885033014572059,0.2803454007285975,0.3344243510929017
-27.75,-68.25,p_solar_Argentina_AR276,Argentina,140.1,0.22,58.02656119,0.3743466530054703,0.271496698542805,0.32292167577413766
-28.25,-68.25,p_solar_Argentina_AR277,Argentina,140.1,0.2,52.8741763,0.3534042577413491,0.2591261384335154,0.30626519808743224
-28.75,-68.25,p_solar_Argentina_AR278,Argentina,140.0,0.19,66.16299516,0.3335034153005466,0.2476154371584699,0.29055942622950826
-29.25,-68.25,p_solar_Argentina_AR279,Argentina,139.9,0.18,11.35067821,0.3208842213114763,0.2401909153005464,0.28053756830601134
-29.75,-68.25,p_solar_Argentina_AR280,Argentina,139.8,0.18,18.51614867,0.3127145947176691,0.2354864526411657,0.2741005236794174
-30.25,-68.25,p_solar_Argentina_AR281,Argentina,139.7,0.18,4.704408792,0.3047416894353368,0.2309285063752276,0.2678350979052822
-30.75,-68.25,p_solar_Argentina_AR282,Argentina,139.5,0.19,36.76064982,0.2990624999999998,0.2276703096539162,0.263366404826958
-31.25,-68.25,p_solar_Argentina_AR283,Argentina,139.5,0.2,34.42360091,0.2985796903460836,0.227444558287796,0.2630121243169398
-31.75,-68.25,p_solar_Argentina_AR284,Argentina,139.3,0.22,11.08616524,0.2960824225865209,0.2260513433515482,0.2610668829690346
-32.25,-68.25,p_solar_Argentina_AR285,Argentina,139.2,0.22,24.65994944,0.2923494990892529,0.223970514571949,0.2581600068306009
-32.75,-68.25,p_solar_Argentina_AR286,Argentina,139.0,0.22,25.44912075,0.2906774817850635,0.2227946265938069,0.2567360541894352
-33.25,-68.25,p_solar_Argentina_AR287,Argentina,139.0,0.22,8.708867257,0.2901055327868839,0.2220382513661202,0.25607189207650205
-33.75,-68.25,p_solar_Argentina_AR288,Argentina,139.0,0.22,50.83036326,0.2895089936247722,0.2212809653916211,0.2553949795081967
-34.25,-68.25,p_solar_Argentina_AR289,Argentina,138.9,0.22,37.2317222,0.2874418260473593,0.2197399817850637,0.25359090391621153
