horizon,variable,value,pol,month
203006,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,17
203007,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,18
203008,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,19
203009,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,20
203010,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,21
203011,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,22
203012,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,23
203501,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.7322188144474092,True,24
203502,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,25
203503,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,26
203504,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,10.4757051770813,True,27
203505,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1.5865937613857028,True,28
203506,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,29
203507,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,30
203508,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,31
203509,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0,True,32
203510,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0016992981846443,True,33
203511,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.4057671384378731,True,34
203512,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.0745487158620088,True,35
204001,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,3.450811801823943,True,36
204002,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.446302571428436,True,37
204003,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.5016826566,True,38
204004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,14.827378822206166,True,39
204005,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,5.596226816417958,True,40
204006,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.3393420990259606,True,41
204007,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.3313630376,True,42
204008,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,2.3376334282667974,True,43
204009,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,0.3479622940177266,True,44
204010,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,2.0278439767295326,True,45
204011,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,3.4016469698435197,True,46
204012,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,2.624893812260756,True,47
204501,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,8.405682589045929,True,48
204502,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,4.842707410235657,True,49
204503,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1.8468276984953764,True,50
204504,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,23.506293123880095,True,51
204505,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,13.446235964628798,True,52
204506,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,7.913804675103526,True,53
204507,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,3.1706872678778915,True,54
204508,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,9.113296163473432,True,55
204509,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,3.1288587428369046,True,56
204510,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,8.90182738553181,True,57
204511,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,9.887916281760333,True,58
204512,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,9.466050734342629,True,59
205001,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,19.041829893089826,True,60
205002,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,12.822580946732899,True,61
205003,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,2.8503909682946347,True,62
205004,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,31.349743261093764,True,63
205005,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,23.152257049951007,True,64
205006,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,20.14233150420992,True,65
205007,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,5.962088424146522,True,66
205008,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,22.016187040559803,True,67
205009,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,11.095515812256654,True,68
205010,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,19.481403027251588,True,69
205011,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,19.99160756682068,True,70
205012,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,19.708904080274316,True,71
202501,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,0
