load_zone,scs_id,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,total_costs,operations_cost_total,emis_policy,exist_trd,op_char,fixed_pv,pol,group,split_tx_cost,new_total_cost
Argentina,prm15_wcost_re5_c2p1_tn,10208473079.576078,21149080070.70557,0.0,21.784195144564407,183979627.12243024,1682695804.525,517.1052727885469,53325727921.96849,31.357553150281653,0,0,5,0,"NoCut,Full",0,0.0919898135612151,53.23373810840728
Brazil,prm15_wcost_re6_c2p1_tn,28980201433.792885,51342268110.01102,0.0,118.15811557032612,0.0,7114586509.525,530.0996228775227,198480585114.13004,80.32246954380389,0,0,6,0,"NoCut,Full",0,0.0,198.48058511413
Argentina,prm15_wcost_re8_c2p1_tn,10361199708.888416,21633124233.08276,0.0,23.441981914810263,675660285.6011683,1682695804.525,528.8072396954764,56111966142.38261,31.99432394197117,0,0,8,0,"NoCut,Full",0,0.3378301428005841,55.774135999582015
Argentina,prm15_wcost_re6_c2p1_tn,9955558548.99079,20236168727.756588,0.0,24.225125410087063,18631926.5456402,1682695804.525,494.8773350564268,54435484613.38008,30.191727276747372,0,0,6,0,"NoCut,Full",0,0.0093159632728201,54.42616865010727
Argentina,prm15_wcost_re17_c2p1_tn,9871109555.24136,20021151599.20406,0.0,21.180418744015515,139902491.71833193,1682695804.525,490.52942022748624,51212582390.17926,29.892261154445418,0,0,17,1,"NoCut,Full",1,0.0699512458591659,51.142631144320106
Chile,prm15_wcost_re12_c2p1_tn,3908493629.9152274,11315530418.098654,4.454705049284153e-09,11.25834318857814,0.0,878433556.575,279.07951013706173,26482367236.592026,15.22402404801388,0,0,12,1,"NoCut,Full",1,0.0,26.482367236592022
Argentina,prm15_wcost_re18_c2p1_tn,10828720978.023905,23146216801.226177,0.0,20.04479725855026,931117159.7419196,1682695804.525,566.1410123076863,54950852197.54227,33.974937779250084,0,0,18,1,"NoCut,Full",1,0.4655585798709598,54.4852936176713
Brazil,prm15_wcost_re19_c2p1_tn,31215440771.703533,68616360851.579865,0.0,111.4896020722498,0.0,7114586509.525,734.8337943870825,211321403695.5332,99.8318016232834,0,0,19,1,"NoCut,Full",1,0.0,211.3214036955332
Argentina,prm15_wcost_re10_c2p1_tn,9578577349.68165,18913123802.22568,0.0,25.80082943653629,0.0,1682695804.525,462.5736619376245,54292530588.44362,28.49170115190733,0,0,10,0,"NoCut,Full",0,0.0,54.29253058844362
Brazil,prm15_wcost_re18_c2p1_tn,31043715262.481125,67248157930.90397,0.0,112.71481668879056,0.0,7114586509.525,718.703795515612,211006689882.1757,98.2918731933851,0,0,18,1,"NoCut,Full",1,0.0,211.0066898821757
Chile,prm15_wcost_re16_c2p1_tn,3907702983.487093,11278258622.546043,8.909410098563411e-09,11.180575731216386,0.0,878433556.575,278.20402095711137,26366537337.249527,15.18596160603314,0,0,16,1,"NoCut,Full",1,0.0,26.366537337249525
Argentina,prm15_wcost_re11_c2p1_tn,9664954705.299591,19241555154.273727,0.0,23.05991711237455,883503.6652089367,1682695804.525,470.8441691736467,51967310475.61308,28.90650985957332,0,0,11,1,"NoCut,Full",1,0.0004417518326044,51.96686872378047
Brazil,prm15_wcost_re16_c2p1_tn,29565499862.22713,55537833172.02115,0.0,117.612060526695,0.0,7114586509.525,578.9150120316788,202715393560.9433,85.10333303424828,0,0,16,1,"NoCut,Full",1,0.0,202.7153935609433
Argentina,prm15_wcost_re12_c2p1_tn,10013493339.07738,20458131624.547832,0.0,24.224191600239703,541676773.0601994,1682695804.525,500.90862786759135,55237493336.92512,30.471624963625214,0,0,12,1,"NoCut,Full",1,0.2708383865300997,54.96665495039502
