sc_name,period,load_zone,Battery_new,twh,MtCO2,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re13_c2p1_t1,2050,Brazil,0.0,0.019513900999998095,775.4258178427426,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Uruguay,0.1248386864272949,1.1681983668962952,1.6628858429034703,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,283.3592774938677,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Paraguay,2.362258563555539,0.33275146856248117,8.131896757500588,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Uruguay,0.1079665405144082,0.9327516251639424,3.86042077305453,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,472.4663243117273,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Brazil,0.0,0.2236839914701209,729.0755154118807,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,281.9958914019698,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Paraguay,2.362258563555544,0.3367005942567328,8.136375709508691,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Uruguay,3.6736377010129e-06,1.1042431696510666,2.01022192194626,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,470.3182940694308,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Brazil,0.0,0.6759014164355176,690.0568351137821,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,281.9128828793122,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Paraguay,2.4508223580495936,0.3804170806158856,7.892757738059915,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Argentina,0.0,1.37007050149407e-15,445.7643597833604,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Paraguay,2.3622585635555406,0.3324065011748203,8.136501889834669,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Brazil,0.0,1.6526650992473004,590.805736867574,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,279.23641650218553,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Paraguay,3.420621279621019,1.6813112262677161,4.942052783225528,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Uruguay,0.0980326634015879,1.2425321151249364,1.45791373520819,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,470.02554158210177,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Brazil,0.0,1.5921561073376251,670.2294191413708,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Chile,0.0,2.6182078727288166e-16,281.68421129757894,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Paraguay,2.450344299444132,0.3666993505217991,7.890175319529644,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Uruguay,0.1250112694308444,1.170744599930741,1.572982258420241,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,514.6206149671889,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Brazil,0.0,0.083062024999998,750.5572849863462,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,521.7795050384777,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Uruguay,0.0200071426298929,0.9841476089171872,3.1633423134418925,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Argentina,0.0,1.145130656965421e-16,512.5395111920346,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Chile,0.0,2.6182078727288166e-16,283.0343512844171,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Uruguay,0.042129043656311,1.3228103468323964,1.2737635514648311,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,283.19755424567006,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Paraguay,2.362258563555541,0.3226212459973892,8.13650188983467,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Uruguay,0.0492800671870361,0.9758577498118427,3.2417680451295854,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Argentina,0.0,-7.531697487905833e-16,447.1279285355961,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Brazil,0.0,5.24601855697827,542.8300630284982,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Chile,0.0,2.618207872728817e-16,276.96118263928247,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Paraguay,3.172356358617132,1.7180232982896486,4.906477446979116,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Brazil,0.0,0.022085863999999546,768.7641727102072,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,2050,Region-wide,4.216085900929027,12.763068392381854,1364.940132694035,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,2050,Region-wide,3.955161981082301,14.58747492481214,1291.3371743542916,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re6_c2p1_t1,2050,Region-wide,3.593245634923309,14.044540599544963,1232.668207914733,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Region-wide,4.339660022762391,14.941843111234606,1380.6916331811296,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Region-wide,4.163329682138997,15.03783300902152,1318.0970534169708,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Region-wide,4.074458018828953,11.597677842380033,1309.194174605679,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,2050,Region-wide,3.596233569912263,17.662935742339933,1165.1911321717016,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,2050,Region-wide,4.265449024138839,14.364588578398616,1367.4610164236003,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,2050,Region-wide,3.4038018069642413,11.76242236432114,1143.651732670804,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re11_c2p1_t1,2050,Region-wide,3.3663856140982333,7.403579136011354,1309.811902310369,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,2050,Region-wide,2.56991812945088,1.9761089599896926,1481.3786415495256,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,2050,Region-wide,3.2144854022734437,8.286852202100315,1273.0994152018209,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re14_c2p1_t1,2050,Region-wide,2.362262237193245,1.6646277553779207,1493.6843287570327,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,2050,Region-wide,2.470225104069947,1.285016994726422,1592.556917905643,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,2050,Region-wide,3.5186539430226067,4.576508440639954,1322.2064796715536,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,2050,Region-wide,2.5753555688749765,3.1296000577901655,1431.4023295990014,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re18_c2p1_t1,2050,Region-wide,2.382265706185433,1.3996161350920058,1559.512095441229,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,2050,Region-wide,2.411538630742577,1.3205648598092319,1575.879508082876,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re15_c2p1_t1,2050,Region-wide,2.5756610444768886,2.2245168639476987,1451.8436556434883,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,278.20402095711137,0,0,16,1,"NoCut,Full",001
prm15_wcost_re15_c2p1_tn,2050,Uruguay,0.0,0.0024033700008057684,2.6260264783269003,0,0,15,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_tn,2050,Argentina,0.0,-3.2969787333581003e-13,476.3173267950747,0,0,16,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_tn,2050,Brazil,0.0,2.763897553567986,578.9150120316788,0,0,16,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_tn,2050,Paraguay,0.0,-8.08667870444425e-14,0.0312398351999999,0,0,16,1,"NoCut,Full",001
