scenario,technology_wind,load_zone,new_build_mw_wind,cap_mw_wind,new_cap_mw_wind,emis_policy,exist_trd,op_char,fixed_pv,pol,group,technology_solar,new_build_mw_solar,cap_mw_solar,new_cap_mw_solar,pref
prm15_wcost_re12_c2p1_t1,Wind,Argentina,5851.4430192310265,631578.0,5851.4430192310265,0,1,12,1,"NoCut,Lim",11,SolarPV,239.0,68590.4,239.0,0.9607581912768349
prm15_wcost_re9_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,9,0,"NoCut,Lim",10,SolarPV,7126.616401915071,68590.4,7126.616401915071,0.0
prm15_wcost_re9_c2p1_t1,Wind,Brazil,38430.0,281991.0,38430.0,0,1,9,0,"NoCut,Lim",10,SolarPV,128578.9,134739.3,128578.9,0.2301074972651158
prm15_wcost_re9_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,9,0,"NoCut,Lim",10,SolarPV,6566.879393697941,94117.1,6566.879393697941,0.0
prm15_wcost_re9_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,9,0,"NoCut,Lim",10,SolarPV,6146.4953248761885,11360.1,6146.4953248761885,0.0
prm15_wcost_re7_c2p1_t1,Wind,Uruguay,6589.2044816263415,102552.0,6589.2044816263415,0,1,7,0,"NoCut,Lim",10,SolarPV,3694.142012828936,8111.2,3694.142012828936,0.6407646076283827
prm15_wcost_re8_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,8,0,"NoCut,Lim",10,SolarPV,7134.310606093096,68590.4,7134.310606093096,0.0
prm15_wcost_re8_c2p1_t1,Wind,Brazil,38745.0,281991.0,38745.0,0,1,8,0,"NoCut,Lim",10,SolarPV,128578.9,134739.3,128578.9,0.23155687860490942
prm15_wcost_re8_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,8,0,"NoCut,Lim",10,SolarPV,6566.879393697938,94117.1,6566.879393697938,0.0
prm15_wcost_re10_c2p1_t1,Wind,Brazil,86047.00931161719,281991.0,86047.00931161719,0,1,10,0,"NoCut,Lim",10,SolarPV,110461.4,134739.3,110461.4,0.4378795269527952
prm15_wcost_re10_c2p1_t1,Wind,Argentina,12750.0,631578.0,12750.0,0,1,10,0,"NoCut,Lim",10,SolarPV,4759.7,68590.4,4759.7,0.7281678155536645
prm15_wcost_re17_c2p1_t1,Wind,Paraguay,144.51832886240393,80313.0,144.51832886240393,0,1,17,1,"NoCut,Lim",11,SolarPV,2577.870703893069,11360.1,2577.870703893069,0.05308511279011779
prm15_wcost_re10_c2p1_t1,Wind,Uruguay,6530.60097365173,102552.0,6530.60097365173,0,1,10,0,"NoCut,Lim",10,SolarPV,3174.616552191111,8111.2,3174.616552191111,0.6728958888620671
prm15_wcost_re17_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,17,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re17_c2p1_t1,Wind,Argentina,5921.185416290466,631578.0,5921.185416290466,0,1,17,1,"NoCut,Lim",11,SolarPV,0.0,68590.4,0.0,1.0
prm15_wcost_re18_c2p1_t1,Wind,Uruguay,7717.999729802756,102552.0,7717.999729802756,0,1,18,1,"NoCut,Lim",11,SolarPV,3628.520595912104,8111.2,3628.520595912104,0.680208513998013
prm15_wcost_re8_c2p1_t1,Wind,Uruguay,6538.809280838827,102552.0,6538.809280838827,0,1,8,0,"NoCut,Lim",10,SolarPV,4296.359449472198,8111.2,4296.359449472198,0.6034801527867973
prm15_wcost_re8_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,8,0,"NoCut,Lim",10,SolarPV,6146.4953248761885,11360.1,6146.4953248761885,0.0
prm15_wcost_re17_c2p1_t1,Wind,Brazil,81609.0,281991.0,81609.0,0,1,17,1,"NoCut,Lim",11,SolarPV,80845.52113893225,134739.3,80845.52113893225,0.5023498233712277
prm15_wcost_re10_c2p1_t1,Wind,Paraguay,1940.373831368368,80313.0,1940.373831368368,0,1,10,0,"NoCut,Lim",10,SolarPV,3554.8663669040743,11360.1,3554.8663669040743,0.3531008220493019
prm15_wcost_re11_c2p1_t1,Wind,Argentina,7973.857284734425,631578.0,7973.857284734425,0,1,11,1,"NoCut,Lim",11,SolarPV,0.0,68590.4,0.0,1.0
prm15_wcost_re11_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,11,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re6_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,6,0,"NoCut,Lim",10,SolarPV,6566.879393697939,94117.1,6566.879393697939,0.0
prm15_wcost_re6_c2p1_t1,Wind,Brazil,68850.0,281991.0,68850.0,0,1,6,0,"NoCut,Lim",10,SolarPV,118106.8,134739.3,118106.8,0.3682668937422977
prm15_wcost_re6_c2p1_t1,Wind,Argentina,3258.0,631578.0,3258.0,0,1,6,0,"NoCut,Lim",10,SolarPV,6013.046761531181,68590.4,6013.046761531181,0.35141662897425807
prm15_wcost_re17_c2p1_t1,Wind,Uruguay,7562.849140514099,102552.0,7562.849140514099,0,1,17,1,"NoCut,Lim",11,SolarPV,3006.004694077064,8111.2,3006.004694077064,0.7155789321034407
prm15_wcost_re6_c2p1_t1,Wind,Paraguay,1809.378018794368,80313.0,1809.378018794368,0,1,6,0,"NoCut,Lim",10,SolarPV,3841.6,11360.1,3841.6,0.32018847229216396
prm15_wcost_re18_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,18,1,"NoCut,Lim",11,SolarPV,2488.623316887592,11360.1,2488.623316887592,0.0
prm15_wcost_re18_c2p1_t1,Wind,Brazil,49410.0,281991.0,49410.0,0,1,18,1,"NoCut,Lim",11,SolarPV,109583.5,134739.3,109583.5,0.31076742130967616
