project,specified,new_build,capacity_type
P_Hydro_Amazon1073,,,gen_spec
P_Hydro_Sao_Francisco1074,,,gen_spec
P_Hydro_Parnaiba1075,,,gen_spec
P_Hydro_Sao_Francisco1076,,,gen_spec
P_Hydro_Tocantins1077,,,gen_spec
P_Hydro_Parnaiba1078,,,gen_spec
P_Hydro_Parnaiba1079,,,gen_spec
P_Hydro_Parnaiba1080,,,gen_spec
P_Hydro_Parnaiba1081,,,gen_spec
P_Hydro_Amazon1082,,,gen_spec
P_Hydro_Parnaiba1083,,,gen_spec
P_Hydro_Amazon1084,,,gen_spec
P_Hydro_Tocantins1085,,,gen_spec
P_Hydro_Amazon1086,,,gen_spec
P_Hydro_Parnaiba1087,,,gen_spec
P_Hydro_Tocantins1088,,,gen_spec
P_Hydro_Tocantins1089,,,gen_spec
P_Hydro_Amazon1091,,,gen_spec
U_Hydro_Amazon1093,,,gen_spec
P_Hydro_Amazon1094,,,gen_spec
P_Hydro_Amazon1095,,,gen_spec
P_Hydro_Amazon1096,,,gen_spec
U_Hydro_Amazon1097,,,gen_spec
U_Hydro_NEast_SAmerica_SAtlantic_Coast1098,,,gen_spec
P_Hydro_NEast_SAmerica_SAtlantic_Coast1099,,,gen_spec
P_Hydro_SChile_Pacific_Coast1206,,,gen_spec
P_Hydro_SChile_Pacific_Coast1207,,,gen_spec
P_Hydro_SChile_Pacific_Coast1208,,,gen_spec
P_Hydro_NChile_Pacific_Coast1209,,,gen_spec
P_Hydro_NChile_Pacific_Coast1210,,,gen_spec
U_Hydro_SChile_Pacific_Coast1211,,,gen_spec
P_Hydro_SChile_Pacific_Coast1212,,,gen_spec
P_Hydro_SChile_Pacific_Coast1213,,,gen_spec
P_Hydro_SChile_Pacific_Coast1214,,,gen_spec
P_Hydro_SChile_Pacific_Coast1215,,,gen_spec
U_Hydro_SChile_Pacific_Coast1217,,,gen_spec
U_Hydro_Amazon1230,,,gen_spec
P_Hydro_Amazon1231,,,gen_spec
U_Hydro_Amazon1252,,,gen_spec
P_Hydro_Amazon1253,,,gen_spec
P_Hydro_Amazon1254,,,gen_spec
U_Hydro_Amazon1255,,,gen_spec
P_Hydro_Amazon1257,,,gen_spec
P_Hydro_Amazon1261,,,gen_spec
P_Hydro_Amazon1262,,,gen_spec
P_Hydro_Amazon1263,,,gen_spec
P_Hydro_Amazon1264,,,gen_spec
P_Hydro_Amazon1265,,,gen_spec
P_Hydro_Amazon1266,,,gen_spec
P_Hydro_Amazon1267,,,gen_spec
P_Hydro_Amazon1268,,,gen_spec
P_Hydro_Amazon1269,,,gen_spec
U_Hydro_Amazon1270,,,gen_spec
P_Hydro_Amazon1272,,,gen_spec
P_Hydro_Amazon1273,,,gen_spec
P_Hydro_Amazon1274,,,gen_spec
P_Hydro_Amazon1276,,,gen_spec
U_Hydro_Amazon1277,,,gen_spec
P_Hydro_Amazon1278,,,gen_spec
P_Hydro_Amazon1280,,,gen_spec
U_Hydro_Amazon1285,,,gen_spec
P_Hydro_Tocantins1286,,,gen_spec
P_Hydro_Tocantins1287,,,gen_spec
P_Hydro_Amazon1288,,,gen_spec
P_Hydro_Amazon1289,,,gen_spec
P_Hydro_Amazon1290,,,gen_spec
P_Hydro_Tocantins1291,,,gen_spec
P_Hydro_Tocantins1292,,,gen_spec
P_Hydro_La_Plata1293,,,gen_spec
P_Hydro_Tocantins1294,,,gen_spec
P_Hydro_Tocantins1295,,,gen_spec
P_Hydro_Tocantins1296,,,gen_spec
P_Hydro_Tocantins1297,,,gen_spec
U_Hydro_Tocantins1298,,,gen_spec
P_Hydro_Tocantins1299,,,gen_spec
P_Hydro_Tocantins1300,,,gen_spec
P_Hydro_Tocantins1301,,,gen_spec
P_Hydro_Tocantins1302,,,gen_spec
P_Hydro_Tocantins1303,,,gen_spec
P_Hydro_Tocantins1304,,,gen_spec
P_Hydro_Tocantins1305,,,gen_spec
P_Hydro_Tocantins1306,,,gen_spec
P_Hydro_Tocantins1308,,,gen_spec
P_Hydro_Tocantins1309,,,gen_spec
P_Hydro_Tocantins1310,,,gen_spec
U_Hydro_Uruguay_Brazil_SAtlantic_Coast1313,,,gen_spec
P_Hydro_Negro1314,,,gen_spec
U_Hydro_SChile_Pacific_Coast1315,,,gen_spec
U_Hydro_SChile_Pacific_Coast1316,,,gen_spec
U_Hydro_SChile_Pacific_Coast1324,,,gen_spec
P_Hydro_SChile_Pacific_Coast1325,,,gen_spec
U_Hydro_La_Plata1329,,,gen_spec
P_Hydro_SChile_Pacific_Coast3590,,,gen_spec
E_Argentina_SolarPV,,,gen_spec
E_Argentina_Wind,,,gen_spec
E_Brazil_SolarPV,,,gen_spec
E_Brazil_Wind,,,gen_spec
E_Chile_SolarPV,,,gen_spec
E_Chile_Wind,,,gen_spec
E_Uruguay_SolarPV,,,gen_spec
E_Uruguay_Wind,,,gen_spec
p_solar_Argentina_AR13,,,gen_spec
p_solar_Argentina_AR14,,,gen_spec
p_solar_Argentina_AR15,,,gen_spec
p_solar_Argentina_AR33,,,gen_spec
p_solar_Argentina_AR34,,,gen_spec
p_solar_Argentina_AR35,,,gen_spec
p_solar_Argentina_AR36,,,gen_spec
p_solar_Argentina_AR37,,,gen_spec
p_solar_Argentina_AR58,,,gen_spec
p_solar_Argentina_AR59,,,gen_spec
p_solar_Argentina_AR60,,,gen_spec
p_solar_Argentina_AR61,,,gen_spec
p_solar_Argentina_AR62,,,gen_spec
p_solar_Argentina_AR63,,,gen_spec
p_solar_Argentina_AR64,,,gen_spec
p_solar_Argentina_AR65,,,gen_spec
p_solar_Argentina_AR66,,,gen_spec
p_solar_Argentina_AR67,,,gen_spec
p_solar_Argentina_AR89,,,gen_spec
p_solar_Argentina_AR90,,,gen_spec
p_solar_Argentina_AR91,,,gen_spec
p_solar_Argentina_AR92,,,gen_spec
p_solar_Argentina_AR93,,,gen_spec
p_solar_Argentina_AR94,,,gen_spec
p_solar_Argentina_AR95,,,gen_spec
p_solar_Argentina_AR96,,,gen_spec
p_solar_Argentina_AR97,,,gen_spec
p_solar_Argentina_AR98,,,gen_spec
p_solar_Argentina_AR99,,,gen_spec
p_solar_Argentina_AR100,,,gen_spec
p_solar_Argentina_AR101,,,gen_spec
p_solar_Argentina_AR102,,,gen_spec
p_solar_Argentina_AR103,,,gen_spec
p_solar_Argentina_AR104,,,gen_spec
p_solar_Argentina_AR105,,,gen_spec
p_solar_Argentina_AR106,,,gen_spec
p_solar_Argentina_AR107,,,gen_spec
p_solar_Argentina_AR128,,,gen_spec
p_solar_Argentina_AR129,,,gen_spec
p_solar_Argentina_AR130,,,gen_spec
p_solar_Argentina_AR131,,,gen_spec
p_solar_Argentina_AR132,,,gen_spec
p_solar_Argentina_AR133,,,gen_spec
p_solar_Argentina_AR134,,,gen_spec
p_solar_Argentina_AR135,,,gen_spec
p_solar_Argentina_AR136,,,gen_spec
p_solar_Argentina_AR137,,,gen_spec
p_solar_Argentina_AR138,,,gen_spec
p_solar_Argentina_AR139,,,gen_spec
p_solar_Argentina_AR140,,,gen_spec
p_solar_Argentina_AR141,,,gen_spec
p_solar_Argentina_AR142,,,gen_spec
p_solar_Argentina_AR143,,,gen_spec
