project,period,specified_capacity_mw,specified_capacity_mwh
E_Brazil_Biomass_2006_rest,2045,1224.5,
E_Brazil_Biomass_2006_rest,2050,1224.5,
E_Brazil_Biomass_60s,2020,0.0,
E_Brazil_Biomass_60s,2025,0.0,
E_Brazil_Biomass_60s,2030,0.0,
E_Brazil_Biomass_60s,2035,0.0,
E_Brazil_Biomass_60s,2040,0.0,
E_Brazil_Biomass_60s,2045,0.0,
E_Brazil_Biomass_60s,2050,0.0,
E_Brazil_Biomass_70s,2020,725.4,
E_Brazil_Biomass_70s,2025,0.0,
E_Brazil_Biomass_70s,2030,0.0,
E_Brazil_Biomass_70s,2035,0.0,
E_Brazil_Biomass_70s,2040,0.0,
E_Brazil_Biomass_70s,2045,0.0,
E_Brazil_Biomass_70s,2050,0.0,
E_Brazil_Biomass_80s,2020,519.5,
E_Brazil_Biomass_80s,2025,519.5,
E_Brazil_Biomass_80s,2030,519.5,
E_Brazil_Biomass_80s,2035,0.0,
E_Brazil_Biomass_80s,2040,0.0,
E_Brazil_Biomass_80s,2045,0.0,
E_Brazil_Biomass_80s,2050,0.0,
E_Brazil_Biomass_90s,2020,979.0,
E_Brazil_Biomass_90s,2025,979.0,
E_Brazil_Biomass_90s,2030,979.0,
E_Brazil_Biomass_90s,2035,979.0,
E_Brazil_Biomass_90s,2040,979.0,
E_Brazil_Biomass_90s,2045,0.0,
E_Brazil_Biomass_90s,2050,0.0,
E_Brazil_Coal_Sub_00s,2020,297.1,
E_Brazil_Coal_Sub_00s,2025,297.1,
E_Brazil_Coal_Sub_00s,2030,297.1,
E_Brazil_Coal_Sub_00s,2035,297.1,
E_Brazil_Coal_Sub_00s,2040,297.1,
E_Brazil_Coal_Sub_00s,2045,297.1,
E_Brazil_Coal_Sub_00s,2050,297.1,
E_Brazil_Coal_Sub_10s,2020,1148.3,
E_Brazil_Coal_Sub_10s,2025,1148.3,
E_Brazil_Coal_Sub_10s,2030,1148.3,
E_Brazil_Coal_Sub_10s,2035,1148.3,
E_Brazil_Coal_Sub_10s,2040,1148.3,
E_Brazil_Coal_Sub_10s,2045,1148.3,
E_Brazil_Coal_Sub_10s,2050,1148.3,
E_Brazil_Coal_Sub_1996_rest,2020,3063.2,
E_Brazil_Coal_Sub_1996_rest,2025,3063.2,
E_Brazil_Coal_Sub_1996_rest,2030,3063.2,
E_Brazil_Coal_Sub_1996_rest,2035,3063.2,
E_Brazil_Coal_Sub_1996_rest,2040,3063.2,
E_Brazil_Coal_Sub_1996_rest,2045,3063.2,
E_Brazil_Coal_Sub_1996_rest,2050,3063.2,
E_Brazil_Coal_Sub_60s,2020,252.0,
E_Brazil_Coal_Sub_60s,2025,252.0,
E_Brazil_Coal_Sub_60s,2030,252.0,
E_Brazil_Coal_Sub_60s,2035,0.0,
E_Brazil_Coal_Sub_60s,2040,0.0,
E_Brazil_Coal_Sub_60s,2045,0.0,
E_Brazil_Coal_Sub_60s,2050,0.0,
E_Brazil_Coal_Sub_70s,2020,708.0,
E_Brazil_Coal_Sub_70s,2025,708.0,
E_Brazil_Coal_Sub_70s,2030,708.0,
E_Brazil_Coal_Sub_70s,2035,708.0,
E_Brazil_Coal_Sub_70s,2040,708.0,
E_Brazil_Coal_Sub_70s,2045,0.0,
E_Brazil_Coal_Sub_70s,2050,0.0,
E_Brazil_Coal_Sub_90s,2020,387.4,
E_Brazil_Coal_Sub_90s,2025,387.4,
E_Brazil_Coal_Sub_90s,2030,387.4,
E_Brazil_Coal_Sub_90s,2035,387.4,
E_Brazil_Coal_Sub_90s,2040,387.4,
E_Brazil_Coal_Sub_90s,2045,387.4,
E_Brazil_Coal_Sub_90s,2050,387.4,
E_Brazil_Diesel_00s,2020,180.79999999999973,
E_Brazil_Diesel_00s,2025,180.79999999999973,
E_Brazil_Diesel_00s,2030,180.79999999999973,
E_Brazil_Diesel_00s,2035,180.79999999999973,
E_Brazil_Diesel_00s,2040,180.79999999999973,
E_Brazil_Diesel_00s,2045,180.79999999999973,
E_Brazil_Diesel_00s,2050,180.79999999999973,
E_Brazil_Diesel_10s,2020,4116.2,
E_Brazil_Diesel_10s,2025,4116.2,
E_Brazil_Diesel_10s,2030,4116.2,
E_Brazil_Diesel_10s,2035,4116.2,
E_Brazil_Diesel_10s,2040,4116.2,
E_Brazil_Diesel_10s,2045,4116.2,
E_Brazil_Diesel_10s,2050,4116.2,
E_Brazil_Gas_CCGT_00s,2020,5730.2,
E_Brazil_Gas_CCGT_00s,2025,5730.2,
E_Brazil_Gas_CCGT_00s,2030,5730.2,
E_Brazil_Gas_CCGT_00s,2035,5730.2,
E_Brazil_Gas_CCGT_00s,2040,5730.2,
E_Brazil_Gas_CCGT_00s,2045,5730.2,
E_Brazil_Gas_CCGT_00s,2050,5730.2,
E_Brazil_Gas_CCGT_10s,2020,1624.7,
E_Brazil_Gas_CCGT_10s,2025,1624.7,
E_Brazil_Gas_CCGT_10s,2030,1624.7,
E_Brazil_Gas_CCGT_10s,2035,1624.7,
E_Brazil_Gas_CCGT_10s,2040,1624.7,
E_Brazil_Gas_CCGT_10s,2045,1624.7,
E_Brazil_Gas_CCGT_10s,2050,1624.7,
E_Brazil_Gas_CCGT_2005_rest,2020,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2025,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2030,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2035,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2040,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2045,3331.0,
E_Brazil_Gas_CCGT_2005_rest,2050,3331.0,
E_Brazil_Gas_CCGT_60s,2020,20.5,
E_Brazil_Gas_CCGT_60s,2025,0.0,
E_Brazil_Gas_CCGT_60s,2030,0.0,
E_Brazil_Gas_CCGT_60s,2035,0.0,
E_Brazil_Gas_CCGT_60s,2040,0.0,
E_Brazil_Gas_CCGT_60s,2045,0.0,
E_Brazil_Gas_CCGT_60s,2050,0.0,
E_Brazil_Gas_CCGT_70s,2020,69.6,
E_Brazil_Gas_CCGT_70s,2025,69.6,
E_Brazil_Gas_CCGT_70s,2030,69.6,
E_Brazil_Gas_CCGT_70s,2035,0.0,
E_Brazil_Gas_CCGT_70s,2040,0.0,
E_Brazil_Gas_CCGT_70s,2045,0.0,
E_Brazil_Gas_CCGT_70s,2050,0.0,
E_Brazil_Gas_CCGT_80s,2020,33.5,
E_Brazil_Gas_CCGT_80s,2025,33.5,
E_Brazil_Gas_CCGT_80s,2030,33.5,
E_Brazil_Gas_CCGT_80s,2035,33.5,
E_Brazil_Gas_CCGT_80s,2040,33.5,
E_Brazil_Gas_CCGT_80s,2045,0.0,
E_Brazil_Gas_CCGT_80s,2050,0.0,
E_Brazil_Gas_CCGT_90s,2020,238.5,
E_Brazil_Gas_CCGT_90s,2025,238.5,
E_Brazil_Gas_CCGT_90s,2030,238.5,
E_Brazil_Gas_CCGT_90s,2035,238.5,
E_Brazil_Gas_CCGT_90s,2040,238.5,
E_Brazil_Gas_CCGT_90s,2045,238.5,
E_Brazil_Gas_CCGT_90s,2050,238.5,
E_Brazil_Gas_OCGT_00s,2020,2643.6,
E_Brazil_Gas_OCGT_00s,2025,2643.6,
E_Brazil_Gas_OCGT_00s,2030,2643.6,
E_Brazil_Gas_OCGT_00s,2035,2643.6,
E_Brazil_Gas_OCGT_00s,2040,2643.6,
E_Brazil_Gas_OCGT_00s,2045,2643.6,
E_Brazil_Gas_OCGT_00s,2050,2643.6,
E_Brazil_Gas_OCGT_10s,2020,749.5,
E_Brazil_Gas_OCGT_10s,2025,749.5,
E_Brazil_Gas_OCGT_10s,2030,749.5,
E_Brazil_Gas_OCGT_10s,2035,749.5,
E_Brazil_Gas_OCGT_10s,2040,749.5,
E_Brazil_Gas_OCGT_10s,2045,749.5,
E_Brazil_Gas_OCGT_10s,2050,749.5,
E_Brazil_Gas_OCGT_2005_rest,2020,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2025,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2030,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2035,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2040,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2045,1536.8000000000006,
E_Brazil_Gas_OCGT_2005_rest,2050,1536.8000000000006,
E_Brazil_Gas_OCGT_60s,2020,9.5,
E_Brazil_Gas_OCGT_60s,2025,0.0,
E_Brazil_Gas_OCGT_60s,2030,0.0,
E_Brazil_Gas_OCGT_60s,2035,0.0,
E_Brazil_Gas_OCGT_60s,2040,0.0,
E_Brazil_Gas_OCGT_60s,2045,0.0,
E_Brazil_Gas_OCGT_60s,2050,0.0,
E_Brazil_Gas_OCGT_70s,2020,32.1,
E_Brazil_Gas_OCGT_70s,2025,32.1,
E_Brazil_Gas_OCGT_70s,2030,32.1,
E_Brazil_Gas_OCGT_70s,2035,0.0,
E_Brazil_Gas_OCGT_70s,2040,0.0,
E_Brazil_Gas_OCGT_70s,2045,0.0,
E_Brazil_Gas_OCGT_70s,2050,0.0,
E_Brazil_Gas_OCGT_80s,2020,15.5,
E_Brazil_Gas_OCGT_80s,2025,15.5,
E_Brazil_Gas_OCGT_80s,2030,15.5,
E_Brazil_Gas_OCGT_80s,2035,15.5,
E_Brazil_Gas_OCGT_80s,2040,15.5,
E_Brazil_Gas_OCGT_80s,2045,0.0,
E_Brazil_Gas_OCGT_80s,2050,0.0,
E_Brazil_Gas_OCGT_90s,2020,110.0,
E_Brazil_Gas_OCGT_90s,2025,110.0,
E_Brazil_Gas_OCGT_90s,2030,110.0,
E_Brazil_Gas_OCGT_90s,2035,110.0,
E_Brazil_Gas_OCGT_90s,2040,110.0,
E_Brazil_Gas_OCGT_90s,2045,110.0,
E_Brazil_Gas_OCGT_90s,2050,110.0,
E_Brazil_Nuclear_2015_rest,2020,1990.0,
E_Brazil_Nuclear_2015_rest,2025,1990.0,
E_Brazil_Nuclear_2015_rest,2030,1990.0,
E_Brazil_Nuclear_2015_rest,2035,1990.0,
E_Brazil_Nuclear_2015_rest,2040,1990.0,
E_Brazil_Nuclear_2015_rest,2045,1990.0,
E_Brazil_Nuclear_2015_rest,2050,1990.0,
E_Brazil_SolarPV,2020,2074.0,
E_Brazil_SolarPV,2025,2074.0,
E_Brazil_SolarPV,2030,2074.0,
E_Brazil_SolarPV,2035,2074.0,
E_Brazil_SolarPV,2040,2074.0,
E_Brazil_SolarPV,2045,2074.0,
E_Brazil_SolarPV,2050,0.0,
E_Brazil_Wind,2020,1487.0,
E_Brazil_Wind,2025,1487.0,
E_Brazil_Wind,2030,1487.0,
E_Brazil_Wind,2035,1487.0,
E_Brazil_Wind,2040,1487.0,
E_Brazil_Wind,2045,1487.0,
E_Brazil_Wind,2050,0.0,
E_Chile_Biomass_10s,2020,383.9,
E_Chile_Biomass_10s,2025,383.9,
E_Chile_Biomass_10s,2030,383.9,
E_Chile_Biomass_10s,2035,383.9,
E_Chile_Biomass_10s,2040,383.9,
E_Chile_Biomass_10s,2045,383.9,
E_Chile_Biomass_10s,2050,383.9,
E_Chile_Biomass_2015_rest,2020,88.10000000000002,
E_Chile_Biomass_2015_rest,2025,88.10000000000002,
E_Chile_Biomass_2015_rest,2030,88.10000000000002,
E_Chile_Biomass_2015_rest,2035,88.10000000000002,
E_Chile_Biomass_2015_rest,2040,88.10000000000002,
E_Chile_Biomass_2015_rest,2045,88.10000000000002,
E_Chile_Biomass_2015_rest,2050,88.10000000000002,
E_Chile_Coal_Sub_10s,2020,4600.0,
E_Chile_Coal_Sub_10s,2025,4600.0,
E_Chile_Coal_Sub_10s,2030,4600.0,
E_Chile_Coal_Sub_10s,2035,4600.0,
E_Chile_Coal_Sub_10s,2040,4600.0,
E_Chile_Coal_Sub_10s,2045,4600.0,
E_Chile_Coal_Sub_10s,2050,4600.0,
E_Chile_Diesel_10s,2020,1404.0000000000002,
E_Chile_Diesel_10s,2025,1404.0000000000002,
E_Chile_Diesel_10s,2030,1404.0000000000002,
E_Chile_Diesel_10s,2035,1404.0000000000002,
E_Chile_Diesel_10s,2040,1404.0000000000002,
E_Chile_Diesel_10s,2045,1404.0000000000002,
E_Chile_Diesel_10s,2050,1404.0000000000002,
E_Chile_Gas_CCGT_10s,2020,1490.4,
E_Chile_Gas_CCGT_10s,2025,1490.4,
E_Chile_Gas_CCGT_10s,2030,1490.4,
E_Chile_Gas_CCGT_10s,2035,1490.4,
E_Chile_Gas_CCGT_10s,2040,1490.4,
E_Chile_Gas_CCGT_10s,2045,1490.4,
E_Chile_Gas_CCGT_10s,2050,1490.4,
E_Chile_Gas_CCGT_2015_rest,2020,1947.6,
